pair,heldout_examples,delta_class_centered_norm,preceding_accuracy,feature_change_only_accuracy,readout_change_only_accuracy,actual_later_accuracy,readout_change_norm_over_delta,readout_change_squared_norm_over_delta_squared,feature_change_norm_over_delta,feature_change_squared_norm_over_delta_squared,interaction_norm_over_delta,interaction_squared_norm_over_delta_squared,readout_change__feature_change_normalized_cross_term,readout_change__interaction_normalized_cross_term,feature_change__interaction_normalized_cross_term,identity_predicted_accuracy,identity_actual_class_agreement,identity_class_centered_relative_error_to_actual,identity_cross_entropy,linear_predicted_accuracy,linear_actual_class_agreement,linear_class_centered_relative_error_to_actual,linear_cross_entropy,squared_norm_identity_relative_error,logit_identity_error_max_abs
adjacent_seed0,8939,8572.659339857051,0.9549166573442219,0.9638662042734086,0.3186038706790469,0.3187157400156617,1.0058013969464306,1.011636450099391,0.0695008527532653,0.004830368533431065,0.005409466854362189,2.926233164844316e-05,-0.006213013072194808,-0.01035345320304574,7.0385310769757e-05,0.3186038706790469,0.9514487079091621,0.0597960692581993,6.710345587153362,0.31647835328336504,0.9814296901219376,0.017084492527541618,6.669210173169743,4.0552625428111243e-16,2.2808421817899216e-12
adjacent_seed4,8939,30470.153472081558,0.9134131334601185,0.98657567960622,0.6675243315807138,0.66327329678935,1.034545557992124,1.0702845115612354,0.06281506733604615,0.003945732684432012,0.03527131570268299,0.0012440657113983319,-0.0030674091077200066,-0.0726006147566112,0.00019371390726536975,0.6675243315807138,0.8071372636760265,0.07452046826469466,12.375402421355796,0.6743483611142186,0.8644143640228213,0.03967752547442904,11.847247817036278,0.0,1.0516032489249483e-12
pipeline_identity_smoke,8939,0.0,0.039378006488421526,0.039378006488421526,0.039378006488421526,0.039378006488421526,,,,,,,,,,0.039378006488421526,1.0,0.0,57.17970159623645,0.039378006488421526,1.0,3.2982870031815344e-15,57.179701596236434,,0.0
seed0_dense_event,8939,8896.572954271327,0.9911623224074281,0.14050788678823134,0.08681060521311108,0.3187157400156617,1.7875316616363723,3.1952694413524902,1.9545556339866983,3.820287726349144,0.6357986702436755,0.40423994908362604,-6.2333351190778385,0.92759436246464,-1.1140563601720632,0.08681060521311108,0.048327553417608235,1.5587222786819745,21.916901597056604,0.33113323637990827,0.7442666964984898,0.25489656784673603,5.951276362747649,1.8826718276821102e-16,1.8758328224066645e-12
seed0_matched_healthy_16906_17200,8939,1746.0675280846822,0.9991050453070813,0.3013759928403625,0.8935003915426781,0.9911623224074281,2.429272654161706,5.901365628257858,5.80486091517243,33.6964102444965,3.4636625359850854,11.996958163186633,-26.897637391941462,15.47847577164879,-39.17557241564834,0.8935003915426781,0.8941716075623671,1.0303501965353006,0.38075866541129555,0.9970913972480143,0.9929522317932654,0.3206429007670294,0.01176730663435389,8.553346973403882e-15,7.673861546209082e-13
seed0_near_features,8939,8126.17219437604,0.9648730283029422,0.963642465600179,0.3203937800648842,0.3187157400156617,1.0045497259244043,1.0091201518547959,0.07135811909561923,0.005091981160864578,0.00287916424857749,8.289586770286781e-06,-0.00944590722788488,-0.004821262573854784,4.674719930869855e-05,0.3203937800648842,0.9480926278107171,0.057915760053305405,6.660187991867286,0.3180445239959727,0.981094082112093,0.017189121777772064,6.633711396927416,4.513132320044947e-16,2.1160850849355484e-12
seed1_adjacent_event,8939,10480.367261434523,0.9413804676138271,0.9418279449602864,0.13558563597717865,0.09094977066785993,1.0123244399025175,1.0248007716239458,0.08388794287500026,0.007037186959799307,0.009846169329339025,9.69470504620165e-05,-0.013284808931735451,-0.018981009324046786,0.000330912621574703,0.13558563597717865,0.9550285266808368,0.07536639135941603,15.940076514550071,0.09039042398478576,0.9914979304172726,0.03851893900084526,18.151401178403415,2.713295563935768e-16,1.909139513145419e-12
seed1_first_event,8939,10670.60555421556,0.991945407763732,0.22664727598165343,0.2160196890032442,0.09094977066785993,1.1363536754073216,1.2912996756117283,1.5238974719274856,2.3222635049469815,0.8388749532301556,0.7037111871568957,-2.8944123961125,1.530900618624521,-1.953762590227626,0.2160196890032442,0.051571764179438415,0.9196326367007414,10.521769747588662,0.08636312786665175,0.9476451504642578,0.23529247454222074,17.11729440117622,1.1778350928904825e-15,1.7053025658242404e-12
seed1_matched_healthy,8939,451.8285018004137,1.0,0.9994406533169258,1.0,1.0,1.7435907796638297,3.0401088069287217,2.3350278488563703,5.452355054934808,0.3313598062875546,0.10979932122292572,-7.340849225400956,1.0449798537462989,-1.3063938114317963,1.0,1.0,0.30199675243357815,0.0009704910248569898,1.0,1.0,0.09400174976812742,0.0010224139965888512,1.2830554177369293e-15,2.7533531010703882e-14
seed2_adjacent_event,8939,6647.706945143555,0.9998881306633851,1.0,0.010068240295335049,0.00928515493903121,0.9798339857270651,0.9600746395857865,0.04456685015466071,0.0019862041327079814,0.0025087318559383455,6.2937355249998556e-06,0.032969915735741005,0.0048706122284414306,9.23345817982679e-05,0.010068240295335049,0.9992169146436961,0.04177704620421364,19.11523471476137,0.00928515493903121,1.0,0.007528341553336308,20.753548897537986,1.6859565782924945e-16,1.624478329631529e-12
seed2_first_event,8939,6040.750825388014,1.0,0.7807361002349256,0.026736771450945294,0.00928515493903121,1.349401878670342,1.820885430159048,1.121281512638029,1.2572722305838266,0.19877661847342326,0.03951214405172887,-2.251352637010131,0.4347393118602084,-0.30105647964468135,0.026736771450945294,0.9816534287951673,0.8296435560713408,18.324466152968974,0.009397024275646046,0.9998881306633851,0.04583368941511935,20.36347616690933,8.167107359559e-16,1.3926637620897964e-12
seed2_matched_healthy,8939,117.7517317243039,1.0,1.0,1.0,1.0,2.1655255416965122,4.689500871739972,2.4739098347171935,6.120229870310451,0.16072450207894234,0.025832365568523943,-9.80078025514851,0.685000243525836,-0.7197830959962781,1.0,1.0,0.08556934254193237,0.00022056956077181009,1.0,1.0,0.023489275720044406,0.0002041018757239648,2.2302034577646553e-15,3.774758283725532e-14
