pair,healthy_accuracy,later_accuracy,backward_linear_accuracy,backward_relative_error,backward_centered_error,backward_affine_centered_error,backward_map_condition,oracle_backward_relative_error,median_principal_angle_degrees,max_principal_angle_degrees,basis_predicted_accuracy,residual_only_accuracy,readout_change_only_accuracy,basis_predicted_argmax_agreement,basis_predicted_actual_flip_recall,basis_norm_over_delta,residual_norm_over_delta,normalized_cross_term,native_cond100_backward_relative_floor
adjacent_seed0,0.9549166573442219,0.3187157400156617,0.9553641346906813,0.0025185051116919637,0.01877388387902274,0.0187499518151828,5.371220321611472,0.0024775936237753315,0.875706243417965,4.342391772079827,0.31647835328336504,0.9550285266808368,0.3186038706790469,0.9814296901219376,0.997051114023591,0.9997784916285963,0.020061048092684504,4.0522026271478824e-05,2.559115247630304e-06
adjacent_seed4,0.9134131334601185,0.66327329678935,0.8394675019577134,0.016378926008035907,0.25625863630889195,0.25547056373904065,589.119399184724,0.01603786873289799,11.3030281084662,41.87114743162918,0.6743483611142186,0.8920460901666853,0.6675243315807138,0.8644143640228213,0.9724080267558528,0.9993616621802365,0.0390662620473427,-0.00024990466599675244,2.930822789904085e-06
pipeline_identity_smoke,0.039378006488421526,0.039378006488421526,0.039378006488421526,3.211952818185216e-15,3.367012750876806e-15,2.7412484523696052e-15,1.000000000000017,3.875390119138887e-15,1.4787793334710982e-06,5.3318147119265075e-06,0.039378006488421526,0.039378006488421526,0.039378006488421526,1.0,,,,,2.2495765467182787e-06
seed0_dense_event,0.9911623224074281,0.3187157400156617,0.9540217026513033,0.07778595439639344,0.4363092645422442,0.43386386570524377,2720.607258900415,0.07597386362862434,24.34868320613598,59.049620004547926,0.33113323637990827,0.9551403960174516,0.08681060521311108,0.7442666964984898,0.9233295025447381,0.9601615343526678,0.2884086922646847,-0.0050897458242948205,2.5276202085779536e-06
seed4_dense_event,1.0,0.66327329678935,0.9998881306633851,0.017125837836641344,0.25598887222842104,0.2552255883385243,581.4328265852811,0.016769924833032333,11.266595376321437,41.72911345427058,0.6754670544803669,0.9998881306633851,0.6825148226871015,0.8655330573889697,0.9518272425249169,0.9992911817835475,0.04028916810529489,-0.00020608305697544666,2.92125201575234e-06
seed4_generalization_drop_16000_17000,1.0,0.843718536749077,0.9662154603423202,0.049012127818453335,0.644651908995456,0.6408302378965494,89297.1724721495,0.04822597709790317,38.60695347007474,89.57925339527078,0.900995637095872,0.6577916992952232,0.06342991386061081,0.8568072491330126,0.5998568360773086,0.9499701380541156,0.32435930404943475,-0.007652221317988333,2.857915348707381e-06
seed4_healthy_temporal_16044_16050,1.0,1.0,1.0,0.0008203121505690129,0.011762902942186801,0.011418553138397809,6.061930290301758,0.0008006652444644724,0.47240708669354675,2.219808709709967,1.0,1.0,1.0,1.0,,0.9765021326252851,0.22144336616113075,-0.0025935794385035954,2.9009603247732656e-06
seed4_healthy_temporal_6000_7000,0.9984338292873923,1.0,0.9998881306633851,0.19169931030339551,0.4142902910842883,0.4137650981163917,2984.8279136024485,0.1856387974663051,20.94417648500894,59.36791832172066,0.9957489652086363,0.9998881306633851,0.9989931759704664,0.9957489652086363,0.42857142857142855,0.5506086433317754,0.8339731646262446,0.0013188825716283,2.432411598223149e-06
seed4_peak_event,1.0,0.1813401946526457,0.9997762613267703,0.022528282180413185,0.3367417986292582,0.33293731297161233,651.4144273832825,0.022109509566622707,17.56273117092309,50.11457015182853,0.18693366148338741,0.9931759704664951,0.12540552634522878,0.6954916657344222,0.9841486745012299,0.9994314283931192,0.04033735147654546,-0.0004902819840528719,2.92125201575234e-06
seed0_matched_healthy_16906_17200,0.9991050453070813,0.9911623224074281,0.9929522317932654,0.10852043932195402,0.32657748488103633,0.3243502800871476,1773.574958909495,0.10591564934074454,17.22558545043786,42.06635899894187,0.9970913972480143,0.9933997091397248,0.8935003915426781,0.9929522317932654,0.2602739726027397,0.6133861142749943,0.7944876523978692,-0.007453154998053755,2.475380165303e-06
