study_group,event,arm,steps,initial_test_accuracy,final_test_accuracy,minimum_train_accuracy,minimum_measured_test_accuracy,first_post_update_train_below90,train_below90_states,measured_test_below90_states,measured_test_states,only_head_parameters_changed,every_optimizer_state_preserved,head_optimizer_control,hidden_and_embedding_optimizer_states_preserved,head_adam_step_counter_reset,source
interventions,seed0_first,inverse_gl,500,0.962300033560801,0.5386508558004252,0.5164490861618799,0.3547376664056382,1,10,59,60,True,True,preserve,True,False,work/basis_study/interventions/seed0_first/continuation/inverse_gl/summary.json
interventions,seed0_first,old_head,500,0.14050788678823134,0.9543573106611478,0.21723237597911227,0.14050788678823134,1,11,36,60,True,True,preserve,True,False,work/basis_study/interventions/seed0_first/continuation/old_head/summary.json
interventions,seed0_first,original,500,0.3187157400156617,0.9275086698735876,0.4825065274151436,0.3187157400156617,1,9,37,59,True,True,preserve,True,False,work/basis_study/interventions/seed0_first/continuation/original/summary.json
interventions,seed0_first,orthogonal,500,0.9551403960174516,0.9546929186709923,0.5067885117493472,0.3721892829175523,1,9,34,60,True,True,preserve,True,False,work/basis_study/interventions/seed0_first/continuation/orthogonal/summary.json
interventions,seed0_first,random_correction_0,500,0.012529365700861394,0.3202819107282694,0.01227154046997389,0.007718984226423537,1,149,185,185,True,True,preserve,True,False,work/basis_study/interventions/seed0_first/continuation/random_correction_0/summary.json
interventions,seed4_first,inverse_gl,500,0.9998881306633851,0.8959615169482045,0.16605744125326372,0.10705895514039601,1,17,62,67,True,True,preserve,True,False,work/basis_study/interventions/seed4_first/continuation/inverse_gl/summary.json
interventions,seed4_first,old_head,500,0.9980982212775478,0.861282022597606,0.21723237597911227,0.15762389529030094,1,15,41,65,True,True,preserve,True,False,work/basis_study/interventions/seed4_first/continuation/old_head/summary.json
interventions,seed4_first,original,500,0.66327329678935,0.873363910952008,0.21775456919060052,0.172390647723459,1,16,48,65,True,True,preserve,True,False,work/basis_study/interventions/seed4_first/continuation/original/summary.json
interventions,seed4_first,orthogonal,500,0.9998881306633851,0.871350262892941,0.15509138381201043,0.12562926501845845,1,16,45,66,True,True,preserve,True,False,work/basis_study/interventions/seed4_first/continuation/orthogonal/summary.json
interventions,seed4_first,random_correction_0,500,0.009061416265801543,0.7817429242644591,0.00835509138381201,0.009061416265801543,1,58,103,103,True,True,preserve,True,False,work/basis_study/interventions/seed4_first/continuation/random_correction_0/summary.json
intervention_specificity,seed0_first,random_orthogonal_size_0,500,0.09620762948875713,0.9367938248126189,0.12924281984334204,0.09620762948875713,1,12,42,61,True,True,preserve,True,False,work/basis_study/intervention_specificity/seed0_first/continuation/random_orthogonal_size_0/summary.json
intervention_specificity,seed4_first,random_orthogonal_size_0,500,0.12305627027631726,0.8665398814185031,0.15900783289817233,0.12305627027631726,1,16,49,65,True,True,preserve,True,False,work/basis_study/intervention_specificity/seed4_first/continuation/random_orthogonal_size_0/summary.json
optimizer_memory_results,seed0_first,native_head_clear_state,500,0.3187157400156617,0.9870231569526793,0.4825065274151436,0.3187157400156617,2,2,18,52,True,False,clear_head_state,True,True,work/basis_study/optimizer_memory_results/seed0_first/continuation/native_head_clear_state/summary.json
optimizer_memory_results,seed0_first,orthogonal_clear_state,500,0.9551403960174516,0.9958608345452511,0.5757180156657964,0.544803669314241,1,2,10,53,True,False,clear_head_state,True,True,work/basis_study/optimizer_memory_results/seed0_first/continuation/orthogonal_clear_state/summary.json
optimizer_memory_results,seed0_first,orthogonal_zero_first_moment,500,0.9551403960174516,0.9435059850095089,0.5216710182767624,0.376440317708916,1,10,34,60,True,False,zero_head_first_moment,True,False,work/basis_study/optimizer_memory_results/seed0_first/continuation/orthogonal_zero_first_moment/summary.json
optimizer_memory_results,seed4_first,native_head_clear_state,500,0.66327329678935,0.9553641346906813,0.3467362924281984,0.3109967557892382,1,6,7,56,True,False,clear_head_state,True,True,work/basis_study/optimizer_memory_results/seed4_first/continuation/native_head_clear_state/summary.json
optimizer_memory_results,seed4_first,orthogonal_clear_state,500,0.9998881306633851,0.9791923033896409,0.4496083550913838,0.3471305515158295,1,5,12,56,True,False,clear_head_state,True,True,work/basis_study/optimizer_memory_results/seed4_first/continuation/orthogonal_clear_state/summary.json
optimizer_memory_results,seed4_first,orthogonal_zero_first_moment,500,0.9998881306633851,0.9159861282022598,0.1898172323759791,0.17585859715851884,2,16,39,66,True,False,zero_head_first_moment,True,False,work/basis_study/optimizer_memory_results/seed4_first/continuation/orthogonal_zero_first_moment/summary.json
