local_step,step,train_accuracy,train_loss,heldout_measured,test_accuracy,test_cross_entropy,test_minimum_margin,test_centered_healthy_logit_relative_error,elapsed_seconds
0,17494,0.013054830287206266,4030.831298828125,True,0.012529365700861394,4029.937813216564,-10198.83251953125,417.39070089039456,0.03532004216685891
1,17495,0.01227154046997389,3447.724853515625,True,0.013424320393780064,3456.87981920755,-9056.82666015625,382.85543732944205,0.2609610001090914
2,17496,0.014621409921671017,2897.72412109375,True,0.010291978968564717,2920.750878509719,-7745.1083984375,341.75040317220993,0.4770268329884857
3,17497,0.018537859007832898,2416.00341796875,True,0.01040384830517955,2450.40732459544,-6471.116455078125,299.15730702159175,0.6852995830122381
4,17498,0.017754569190600523,1985.5596923828125,True,0.011746280344557557,2033.144348181685,-5531.4012451171875,255.6347391385303,0.9057102920487523
5,17499,0.018015665796344647,1580.7474365234375,True,0.012976843047320729,1638.3103281930769,-4622.3370361328125,213.71696592691472,1.152854291955009
6,17500,0.015665796344647518,1236.7755126953125,True,0.011858149681172391,1297.7728644180813,-3949.667724609375,174.77689100933173,1.3830212079919875
7,17501,0.018798955613577025,961.4639892578125,True,0.01040384830517955,1024.5929166476342,-3269.4644775390625,140.01793194660982,1.6037597921676934
8,17502,0.021409921671018278,764.0125732421875,True,0.01129880299809822,829.3449607503289,-2694.3240966796875,109.83929954302347,1.832893667044118
9,17503,0.018798955613577025,608.5535888671875,True,0.009956370958720215,676.5088288896912,-2221.8666381835938,84.66117754810482,2.0705731669440866
10,17504,0.0195822454308094,482.2049560546875,True,0.009732632285490548,550.5187143813054,-1759.9241943359375,65.12699752482759,2.3129807920195162
11,17505,0.019321148825065273,388.410888671875,True,0.009173285602416377,454.7016405908355,-1444.9622192382812,51.19642286611143,2.54363050009124
12,17506,0.023237597911227155,330.2691955566406,True,0.008613938919342208,395.5336231279839,-1245.1474609375,42.504702748628695,2.7688182920683175
