local_step,step,train_accuracy,train_loss,heldout_measured,test_accuracy,test_cross_entropy,test_minimum_margin,test_centered_healthy_logit_relative_error,elapsed_seconds
0,16056,0.7007832898172324,11.152029991149902,True,0.66327329678935,11.993163407272103,-103.55999755859375,7.611518015078116,0.024321667151525617
1,16057,0.3174934725848564,51.45144271850586,True,0.25316030875936907,55.34084435572969,-162.02105712890625,11.8633864607067,0.15417862520553172
2,16058,0.27154046997389036,59.227317810058594,True,0.23503747622776597,63.47220890065308,-183.872802734375,13.32588937536567,0.2758077092003077
3,16059,0.218798955613577,56.77898025512695,True,0.172390647723459,61.302763793484075,-206.2045440673828,14.230944357732344,0.4001232502050698
4,16060,0.21775456919060052,54.19935607910156,True,0.1813401946526457,58.4698590618793,-234.4273681640625,16.393596981860842,0.5635347501374781
5,16061,0.38093994778067886,49.71004104614258,True,0.342767647387851,53.475792968785605,-272.74481201171875,18.169292433522187,0.7177532091736794
6,16062,0.39242819843342036,51.509822845458984,True,0.34892046090166684,55.9400954360818,-293.0244483947754,19.254930735445974,0.8802500842139125
7,16063,0.4516971279373368,47.34053039550781,True,0.377111533728605,52.14716453498349,-304.00686264038086,19.156558846495017,1.041845167055726
8,16064,0.5018276762402089,39.40616989135742,True,0.4207405750083902,44.83741549194467,-299.9185619354248,18.047596305316425,1.2035236251540482
9,16065,0.5488250652741514,30.526275634765625,True,0.4725360778610583,35.959761081200476,-285.5171813964844,16.262147999671807,1.3658439591526985
10,16066,0.643603133159269,20.53850746154785,True,0.531267479583846,25.54528371498006,-257.8463191986084,13.952432629311405,1.529364125104621
11,16067,0.710443864229765,12.602859497070312,True,0.6002908602751986,17.30842377867561,-220.25004386901855,11.42602328872534,1.7182000000029802
12,16068,0.7817232375979112,5.97172212600708,True,0.6700973263228549,10.334912198804153,-177.8693733215332,9.103044974493404,1.8413447090424597
13,16069,0.8733681462140992,1.885340929031372,True,0.7301711600850207,5.505416396711926,-148.55640411376953,7.607076642412816,1.963653959101066
14,16070,0.8819843342036554,1.430276870727539,True,0.733303501510236,4.802244520507772,-110.86196327209473,7.565649122765531,2.0901280420366675
15,16071,0.8718015665796345,1.9170948266983032,True,0.7203266584629153,5.678605699577648,-99.34878349304199,8.454803710264624,2.216763084055856
16,16072,0.9127937336814621,1.120770812034607,False,,,,,2.3422989591490477
17,16073,0.9718015665796345,0.29782071709632874,False,,,,,2.40368637512438
18,16074,0.9892950391644909,0.09620194137096405,False,,,,,2.462864709086716
19,16075,0.9942558746736292,0.04163236916065216,False,,,,,2.52118575014174
20,16076,0.9947780678851175,0.027861222624778748,True,0.9228101577357646,1.2327063996462975,-78.50486373901367,9.247689366222845,2.5797827090136707
21,16077,0.9942558746736292,0.024262838065624237,False,,,,,2.70691804215312
22,16078,0.993733681462141,0.02245185524225235,False,,,,,2.765843750210479
23,16079,0.9960835509138382,0.013031530193984509,False,,,,,2.821720334002748
24,16080,0.9968668407310705,0.012282123789191246,False,,,,,2.9201693751383573
25,16081,0.9963446475195823,0.016463562846183777,False,,,,,3.0153557502198964
26,16082,0.9950391644908616,0.018843749538064003,False,,,,,3.114240000024438
27,16083,0.9966057441253263,0.011761017143726349,False,,,,,3.211663167225197
28,16084,0.9973890339425587,0.005182600114494562,False,,,,,3.307939042104408
29,16085,0.9984334203655353,0.0029917978681623936,False,,,,,3.402172875124961
30,16086,0.9981723237597911,0.0025404763873666525,True,0.9148674348361114,1.5846335638831162,-104.82594680786133,10.553205862866687,3.4988682500552386
31,16087,0.9994778067885117,0.0019022179767489433,False,,,,,3.712171500083059
32,16088,0.9992167101827676,0.0013775151455774903,False,,,,,3.778464750153944
33,16089,1.0,0.0010238480754196644,False,,,,,3.8364330420736223
34,16090,1.0,0.0009425755706615746,False,,,,,3.894692584173754
35,16091,1.0,0.0008852915489114821,False,,,,,3.954961792100221
36,16092,1.0,0.0007762846071273088,False,,,,,4.013422417221591
37,16093,1.0,0.000524511793628335,False,,,,,4.0698270841967314
38,16094,1.0,0.0004174227942712605,False,,,,,4.127110834000632
39,16095,1.0,0.00034195237094536424,False,,,,,4.185130334226415
