step,local_step,arm,train_loss,train_loss64,train_accurate_loss64,train_objective_loss,train_accuracy,train_minimum_margin,test_loss,test_loss64,test_accurate_loss64,test_objective_loss,test_accuracy,test_minimum_margin,max_abs_logit,last_training_loss,elapsed_seconds
15000,0,original32,5.847479087606189e-07,6.489107089186433e-07,6.489107089144266e-07,5.847479087606189e-07,1.0,13.545744895935059,0.0008311285055242479,0.000831182896951803,0.0008311828969518043,0.0008311285055242479,1.0,1.3301887512207031,20.187652587890625,,0.06766225001774728
15010,10,original32,5.810128413941129e-07,6.46964242787466e-07,6.469642427861608e-07,5.810128413941129e-07,1.0,13.541357040405273,0.0008344833040609956,0.0008345384904998647,0.0008345384904998607,0.0008344833040609956,1.0,1.3198189735412598,20.2052059173584,5.842499035679793e-07,0.5803656668867916
15020,20,original32,5.792387582914671e-07,6.449907384421332e-07,6.449907384424218e-07,5.792387582914671e-07,1.0,13.546920776367188,0.0008386392146348953,0.0008386941436159805,0.0008386941436159818,0.0008386392146348953,1.0,1.3148999214172363,20.246492385864258,5.797367634841066e-07,1.0985521669499576
15030,30,original32,5.797678568342235e-07,6.429575955069855e-07,6.429575955113665e-07,5.797678568342235e-07,1.0,13.543213844299316,0.0008427511202171445,0.0008428040591967773,0.0008428040591967696,0.0008427511202171445,1.0,1.2917983531951904,20.291994094848633,5.769977633462986e-07,1.640748207923025
15040,40,original32,5.749745923822047e-07,6.408656057939179e-07,6.408656058019887e-07,5.749745923822047e-07,1.0,13.555315017700195,0.0008468246087431908,0.0008468783246397849,0.0008468783246397809,0.0008468246087431908,1.0,1.266195297241211,20.345783233642578,5.763441208728182e-07,2.183894457994029
15050,50,original32,5.727335974370362e-07,6.385522882495522e-07,6.385522882370187e-07,5.727335974370362e-07,1.0,13.560934066772461,0.0008520438568666577,0.0008520975771778516,0.000852097577177848,0.0008520438568666577,1.0,1.239524483680725,20.400171279907227,5.727958409806888e-07,2.7298425419721752
15060,60,original32,5.682204005097446e-07,6.356302714710976e-07,6.356302714657073e-07,5.682204005097446e-07,1.0,13.561487197875977,0.0008575254469178617,0.0008575788237420859,0.0008575788237420785,0.0008575254469178617,1.0,1.2115607261657715,20.462772369384766,5.706170895791729e-07,3.2327864998951554
15070,70,original32,5.683448875970498e-07,6.316889949077876e-07,6.316889949037001e-07,5.683448875970498e-07,1.0,13.565208435058594,0.0008624876500107348,0.0008625408139828363,0.0008625408139828404,0.0008624876500107348,1.0,1.1855661869049072,20.531692504882812,5.638006541630602e-07,3.7308646249584854
15080,80,original32,5.584782911682851e-07,6.264215948629806e-07,6.264215948616832e-07,5.584782911682851e-07,1.0,13.557737350463867,0.0008643910987302661,0.0008644458702169129,0.000864445870216913,0.0008643910987302661,1.0,1.1584357023239136,20.61129379272461,5.632715556203038e-07,4.229360499884933
15090,90,original32,5.576067678703112e-07,6.216384568417059e-07,6.216384568410056e-07,5.576067678703112e-07,1.0,13.55524730682373,0.0008655211422592402,0.0008655748168955743,0.0008655748168955747,0.0008655211422592402,1.0,1.1391727924346924,20.698823928833008,5.555214102059836e-07,4.729753667023033
15100,100,original32,5.529691406991333e-07,6.180874695293714e-07,6.1808746953346e-07,5.529691406991333e-07,1.0,13.565408706665039,0.0008658558363094926,0.0008659090847465742,0.0008659090847465706,0.0008658558363094926,1.0,1.1334211826324463,20.781536102294922,5.51724099295825e-07,5.231307500042021
15110,110,original32,5.497943789123383e-07,6.150967737123906e-07,6.150967737083291e-07,5.497943789123383e-07,1.0,13.572683334350586,0.000866832968313247,0.0008668862857436814,0.0008668862857436887,0.000866832968313247,1.0,1.1200047731399536,20.865449905395508,5.491407364388579e-07,5.731907125096768
15120,120,original32,5.47957995422621e-07,6.124695161753017e-07,6.124695161691722e-07,5.47957995422621e-07,1.0,13.583111763000488,0.0008664006600156426,0.0008664543435841474,0.0008664543435841462,0.0008664006600156426,1.0,1.0969524383544922,20.953369140625,5.46526223388355e-07,6.250463374890387
15130,130,original32,5.459037311084103e-07,6.098383813402398e-07,6.098383813337096e-07,5.459037311084103e-07,1.0,13.595431327819824,0.0008658604347147048,0.0008659142006695363,0.0008659142006695308,0.0008658604347147048,1.0,1.0742738246917725,21.0413818359375,5.431335807770665e-07,6.782214167062193
15140,140,original32,5.397409381657781e-07,6.062543429629591e-07,6.062543429549171e-07,5.397409381657781e-07,1.0,13.612333297729492,0.000864767876919359,0.0008648226216803974,0.0008648226216803949,0.000864767876919359,1.0,1.0553723573684692,21.12044334411621,5.400210625339241e-07,7.31138762505725
15150,150,original32,5.371886686589278e-07,6.016419204698398e-07,6.016419204722743e-07,5.371886686589278e-07,1.0,13.638931274414062,0.000862110173329711,0.000862164188582897,0.0008621641885829035,0.000862110173329711,1.0,1.0442560911178589,21.192354202270508,5.335159016794933e-07,7.839276541955769
15160,160,original32,5.304656269800034e-07,5.965513700158509e-07,5.965513700086118e-07,5.304656269800034e-07,1.0,13.656174659729004,0.0008592722588218749,0.0008593257063453723,0.0008593257063453707,0.0008592722588218749,1.0,1.0202622413635254,21.25111198425293,5.314927875588182e-07,8.391314042033628
