seed,step,objective,checkpoint,checkpoint_sha256,train_accuracy,heldout_accuracy,feature_mean_norm,head_mean_norm,mean_cosine,global_mean_feature_power,within_between_energy,actual_logit_gradient_relative_error,actual_readout_gradient_relative_error,actual_logit_row_sum_relative_l2,actual_zero_target_fraction,hypothetical_stock_logit_gradient_relative_error,hypothetical_stock_readout_gradient_relative_error,hypothetical_stock_zero_target_fraction
0,20000,accurate32,work/causal_study/main_runs/seed0_stable3215000/final.pt,5b49c18cbb24968480a477e9533eb2c739226cf3cf85941437124ec08f75b48b,1.0,1.0,516.3610939390198,0.006736483460375182,-0.22542702866989606,0.25211687325802823,0.9142959553860072,2.5529254429522176e-07,1.910514883506522e-07,4.475812178512753e-08,0.0,0.8161568486156723,1.1518095842456295,0.9848563968668407
0,20000,target_repair,work/causal_study/main_runs/seed0_target_repair15000/final.pt,b52a41b632740f7ff17943ffad7e951a2ff4a190976c7f9cb2ebeada62c71af0,1.0,1.0,521.7612363839435,0.00673652864413834,-0.22339979674502589,0.2555367929743508,0.9158643957770386,2.8739542215505405e-07,2.1145201124144287e-07,2.5317156805646194e-08,0.0,0.8001795395112457,1.1422899741210515,0.9827676240208877
0,20000,row_projection,work/causal_study/projection_runs/seed0/final.pt,f9c518b136e2dd997891b245c934dd662252a2e9680b6dac31566e97488d70d1,1.0,1.0,234.14999014283856,0.006450991235395247,-0.030660888730866784,0.08926690953438457,0.6393968529888848,0.6647596995234578,0.6699622156678664,1.8486427313326985e-08,0.0,0.6677207829021089,0.7105602099649431,0.6511749347258485
1,20000,accurate32,work/causal_study/main_runs/seed1_stable3215000/final.pt,b038680a4e6fc454304fa3f4b8b132baec6f714761d8c01996c0ad36335c4890,1.0,1.0,725.5957041860639,0.00778082127779871,-0.15276277414797373,0.36605651082444296,1.2488274265735662,2.60592170768608e-07,2.022965697609642e-07,4.575165972235924e-08,0.0,0.7129813372459108,1.2279653727005038,0.9616187989556135
1,20000,target_repair,work/causal_study/main_runs/seed1_target_repair15000/final.pt,80e090c58593f5416f587f0d9a588c9ce9a205fed144d87a095a14d2a9da6b63,1.0,1.0,722.7841354239204,0.0077769155788008975,-0.15320919505091085,0.3644404618939532,1.2417871741318347,3.1182669696457135e-07,2.2311896730487155e-07,2.5695367940772503e-08,0.0,0.7021409586697721,1.2122873698312593,0.960313315926893
1,20000,row_projection,work/causal_study/projection_runs/seed1/final.pt,94c366b05e9df443aa397313a9909592fb8a8ae50fbb25235a133b1a4b011f09,1.0,1.0,386.3020784493321,0.007410754883731948,-0.01694802370871175,0.2009048264742362,0.8437968977999015,0.5819608946943249,0.6131817218633752,1.946757164665072e-08,0.0,0.5845531625242105,0.7097383500751415,0.5866840731070496
2,20000,accurate32,work/causal_study/main_runs/seed2_stable3215000/final.pt,0d16518a335d6ec3b5a7465846ddbc4d3fd0903a65ff5049f862891975400814,1.0,1.0,614.6799704657357,0.008111821665288446,-0.1507572408797836,0.3654242616999701,1.2882588383348577,2.3139016056098114e-07,1.948050260282257e-07,4.356004872715656e-08,0.0,0.6379599272014793,1.052678066008055,0.8451697127937337
2,20000,target_repair,work/causal_study/main_runs/seed2_target_repair15000/final.pt,99520cd24ffe5fd72de49c6e2cc0404bb82945dedc09d550afe2258e6b7ddb93,1.0,1.0,614.2555568472106,0.008110162241432977,-0.15071957962959373,0.3649064113235128,1.2889723138170368,2.926057196565331e-07,2.603856802557059e-07,2.466241512037802e-08,0.0,0.6362991238371952,1.0513439809087997,0.8436031331592689
2,20000,row_projection,work/causal_study/projection_runs/seed2/final.pt,ca98d5222e5eb67de3106d03689270bc6f44fc4dc59672d3c3a0d6cbc7c91faa,1.0,1.0,295.17390819680855,0.007882966450879597,-0.12215654664224106,0.15173444112185808,0.9146797899063864,0.5293721996784558,0.5308229223490089,2.0875819641578574e-08,0.0,0.5317302182753721,0.5947437823781815,0.4070496083550914
3,20000,accurate32,work/causal_study/main_runs/seed3_stable3215000/final.pt,abbb4ea68025095e119e60834bd1edb72a4cfeeeb46fc8248167458ddac97bd5,1.0,1.0,415.7732072482948,0.007140076947671066,-0.23294392304623784,0.16746367974653312,0.6339413312956708,2.517982987594849e-07,1.701762287948911e-07,4.50158585732625e-08,0.0,0.9539834809065334,1.2102710049478995,1.0
