step,train_accuracy,test_accuracy
28000,1.0,1.0
28010,1.0,1.0
28020,1.0,1.0
28030,1.0,1.0
28040,1.0,1.0
28050,1.0,1.0
28060,1.0,1.0
28070,1.0,1.0
28080,1.0,1.0
28090,1.0,1.0
28100,1.0,1.0
28110,1.0,1.0
28120,1.0,1.0
28130,1.0,1.0
28140,1.0,1.0
28150,1.0,1.0
28160,1.0,1.0
28170,1.0,1.0
28180,1.0,1.0
28190,1.0,1.0
28200,1.0,1.0
28210,1.0,1.0
28220,1.0,1.0
28230,1.0,1.0
28240,1.0,1.0
28250,1.0,1.0
28260,1.0,1.0
28270,1.0,1.0
28280,1.0,1.0
28290,1.0,1.0
28300,1.0,1.0
28310,1.0,1.0
28320,1.0,1.0
28330,1.0,1.0
28340,1.0,1.0
28350,1.0,1.0
28360,1.0,1.0
28370,1.0,1.0
28380,1.0,1.0
28390,1.0,1.0
28400,1.0,1.0
28410,1.0,1.0
28420,1.0,1.0
28430,1.0,1.0
28440,1.0,1.0
28450,1.0,1.0
28460,1.0,1.0
28470,1.0,1.0
28480,1.0,1.0
28490,1.0,1.0
28495,0.01174934725848564,0.008837677592571876
28496,0.009921671018276762,0.007718984226423537
28497,0.013315926892950391,0.007271506879964202
28498,0.0195822454308094,0.007159637543349368
28499,0.029242819843342035,0.007495245553193869
28500,0.03994778067885117,0.007607114889808703
28501,0.045169712793733684,0.005593466830741693
28502,0.0577023498694517,0.006600290860275198
28503,0.06762402088772845,0.005257858820897192
