step,train_accuracy,test_accuracy
28000,1.0,1.0
28010,1.0,1.0
28020,1.0,1.0
28030,1.0,1.0
28040,1.0,1.0
28050,1.0,1.0
28060,1.0,1.0
28070,1.0,1.0
28080,1.0,1.0
28090,1.0,1.0
28100,1.0,1.0
28110,1.0,1.0
28120,1.0,1.0
28130,1.0,1.0
28140,1.0,1.0
28150,1.0,1.0
28160,1.0,1.0
28170,1.0,1.0
28180,1.0,1.0
28190,1.0,1.0
28200,1.0,1.0
28210,1.0,1.0
28220,1.0,1.0
28230,1.0,1.0
28240,1.0,1.0
28250,1.0,1.0
28260,1.0,1.0
28270,1.0,1.0
28280,1.0,1.0
28290,1.0,1.0
28300,1.0,1.0
28310,1.0,1.0
28320,1.0,1.0
28330,1.0,1.0
28340,1.0,1.0
28350,1.0,1.0
28360,1.0,1.0
28370,1.0,1.0
28380,1.0,1.0
28390,1.0,1.0
28400,1.0,1.0
28410,1.0,1.0
28420,1.0,1.0
28430,1.0,1.0
28440,1.0,1.0
28450,1.0,1.0
28460,1.0,1.0
28470,1.0,1.0
28480,1.0,1.0
28490,1.0,1.0
28500,1.0,1.0
28510,1.0,1.0
28520,1.0,1.0
28530,1.0,1.0
28535,0.639686684073107,0.613491441995749
28536,0.0060052219321148825,0.010851325651638885
28537,0.027676240208877285,0.00839020024611254
28538,0.05039164490861619,0.007383376216579036
28539,0.08511749347258486,0.0069358988701197005
28540,0.12715404699738903,0.004810381474437857
