step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
15000,0,5.099852842249675e-07,1.0,1.0,0.0011503106131165904,False,0.17294604214839637
15001,1,4.889446927336394e-07,1.0,,,False,0.3465227091219276
15002,2,4.841514282816206e-07,1.0,,,False,0.4408618751913309
15003,3,4.807587856703321e-07,1.0,,,False,0.5413507921621203
15004,4,4.773972932525794e-07,1.0,,,False,0.6304685841314495
15005,5,4.741291377285961e-07,1.0,,,False,0.6994835841469467
15006,6,4.7101664790716313e-07,1.0,,,False,0.7910922090522945
15007,7,4.673438809277286e-07,1.0,,,False,0.8618196251336485
15008,8,4.642002409127599e-07,1.0,,,False,0.9504447921644896
15009,9,4.612122097569227e-07,1.0,,,False,1.0404231671709567
15010,10,4.5750832100566186e-07,1.0,,,False,1.1539908749982715
15011,11,4.5383555402622733e-07,1.0,,,False,1.2462106251623482
15012,12,4.501939088186191e-07,1.0,,,False,1.3585994171444327
15013,13,4.4611653038373333e-07,1.0,,,False,1.4538448341190815
15014,14,4.4275500954427116e-07,1.0,,,False,1.5896910841111094
15015,15,4.3895772705582203e-07,1.0,,,False,1.7077295000199229
15016,16,4.360008460935205e-07,1.0,,,False,1.817725625121966
15017,17,4.31736737027677e-07,1.0,,,False,1.9207113340962678
15018,18,4.2828185087273596e-07,1.0,,,False,2.046177042182535
15019,19,4.2535609168226074e-07,1.0,,,False,2.1363288750872016
15020,20,4.2205681438645115e-07,1.0,,,False,2.2197949590627104
15021,21,4.195356950731366e-07,1.0,,,False,2.2979119170922786
15022,22,4.16827759863736e-07,1.0,,,False,2.386973167071119
15023,23,4.1486688928671356e-07,1.0,,,False,2.4867738340981305
15024,24,4.124702854824136e-07,1.0,,,False,2.577609750209376
15025,25,4.1106963521997386e-07,1.0,,,False,2.6711810000706464
15026,26,4.101047750282305e-07,1.0,,,False,2.736601375043392
15027,27,4.0892200559028424e-07,1.0,,,False,2.8261333340778947
15028,28,4.0820611957315123e-07,1.0,,,False,2.9456066670827568
15029,29,4.079882671703672e-07,1.0,,,False,3.039324042154476
15030,30,4.0724125938140787e-07,1.0,,,False,3.10804520919919
15031,31,4.0680552615413035e-07,1.0,,,False,3.177394000114873
15032,32,4.064320364705054e-07,1.0,,,False,3.278468750184402
15033,33,4.0599627482151845e-07,1.0,,,False,3.392102000070736
15034,34,4.05996246399809e-07,1.0,,,False,3.486787584144622
15035,35,4.060896117152879e-07,1.0,,,False,3.5786228750366718
15036,36,4.062763707679551e-07,1.0,,,False,3.6456011252012104
15037,37,4.0668101064511575e-07,1.0,,,False,3.741161792073399
15038,38,4.0733462469688675e-07,1.0,,,False,3.8347435840405524
15039,39,4.076769926086854e-07,1.0,,,False,3.9029770421329886
15040,40,4.083928786258184e-07,1.0,,,False,3.9699919591657817
15041,41,4.092021299584303e-07,1.0,,,False,4.057058709207922
15042,42,4.101981403437094e-07,1.0,,,False,4.2015265841037035
15043,43,4.1119415072898846e-07,1.0,,,False,4.3107144590467215
15044,44,4.124702854824136e-07,1.0,,,False,4.388698084047064
15045,45,4.13715270042303e-07,1.0,,,False,4.473224584013224
15046,46,4.154271664447151e-07,1.0,,,False,4.569575167028233
15047,47,4.1657878568912565e-07,1.0,,,False,4.6913466670084745
15048,48,4.1804165107350855e-07,1.0,,,False,4.7807085840031505
15049,49,4.1900656810867076e-07,1.0,,,False,4.868677709018812
15050,50,4.201581873530813e-07,1.0,,,False,5.003593625035137
15051,51,4.2143432210650644e-07,1.0,,,False,5.153805750189349
15052,52,4.225548195790907e-07,1.0,,,False,5.30292775016278
15053,53,4.233640709117026e-07,1.0,,,False,5.421239209128544
15054,54,4.2439120306880795e-07,1.0,,,False,5.5660924590192735
15055,55,4.2526269794507243e-07,1.0,,,False,5.700841542100534
15056,56,4.260719492776843e-07,1.0,,,False,5.803076834185049
15057,57,4.2669446997933846e-07,1.0,,,False,5.9181356250774115
15058,58,4.2744147776829777e-07,1.0,,,False,6.0233791670762
15059,59,4.278772109955753e-07,1.0,,,False,6.130041875177994
15060,60,4.286553405563609e-07,1.0,,,False,6.254806084092706
15061,61,4.2927786125801504e-07,1.0,,,False,6.337354375049472
15062,62,4.2986923176613345e-07,1.0,,,False,6.448694667080417
15063,63,4.3061623955509276e-07,1.0,,,False,6.529134834185243
15064,64,4.309897292387177e-07,1.0,,,False,6.62537887506187
15065,65,4.3123873183503747e-07,1.0,,,False,6.750487417215481
15066,66,4.3145661265953095e-07,1.0,,,False,6.868046791991219
15067,67,4.3148773443135724e-07,1.0,,,False,6.989490042207763
15068,68,4.319234960803442e-07,1.0,,,False,7.104953084141016
15069,69,4.31736737027677e-07,1.0,,,False,7.233776084147394
15070,70,4.319546178521705e-07,1.0,,,False,7.353914709063247
15071,71,4.3161224994037184e-07,1.0,,,False,7.457009334117174
15072,72,4.317678587995033e-07,1.0,,,False,7.545698125148192
15073,73,4.316744934840244e-07,1.0,,,False,7.649891125038266
15074,74,4.315810997468361e-07,1.0,,,False,7.7526843750383705
15075,75,4.310519727823703e-07,1.0,,,False,7.847326167160645
15076,76,4.310519727823703e-07,1.0,,,False,7.916738542029634
15077,77,4.305539960114402e-07,1.0,,,False,7.987739959033206
15078,78,4.3008711259062693e-07,1.0,,,False,8.057367542060092
15079,79,4.2980698822248087e-07,1.0,,,False,8.149293875088915
15080,80,4.2965135094164e-07,1.0,,,False,8.248655542032793
15081,81,4.2912222397717414e-07,1.0,,,False,8.344366542063653
15082,82,4.2902885866169527e-07,1.0,,,False,8.465909500140697
15083,83,4.28561975240882e-07,1.0,,,False,8.576070209033787
15084,84,4.284374597318674e-07,1.0,,,False,8.679416792001575
15085,85,4.280017265045899e-07,1.0,,,False,8.761946959188208
15086,86,4.279083327674016e-07,1.0,,,False,8.830934124998748
15087,87,4.27192475171978e-07,1.0,,,False,8.900573917198926
15088,88,4.270990814347897e-07,1.0,,,False,8.999810042092577
15089,89,4.2656995447032386e-07,1.0,,,False,9.073546292027459
15090,90,4.263521020675398e-07,1.0,,,False,9.16463250014931
15091,91,4.258540968749003e-07,1.0,,,False,9.28324745921418
15092,92,4.256362160504068e-07,1.0,,,False,9.381718750111759
15093,93,4.248269647177949e-07,1.0,,,False,9.478740542195737
15094,94,4.247024492087803e-07,1.0,,,False,9.58527462510392
15095,95,4.241110787006619e-07,1.0,,,False,9.683599667157978
15096,96,4.239865916133567e-07,1.0,,,False,9.802820792188868
15097,97,4.2358195173619606e-07,1.0,,,False,9.909544709138572
15098,98,4.233951926835289e-07,1.0,,,False,10.032031500013545
15099,99,4.2302170299990394e-07,1.0,,,False,10.150317167164758
15100,100,4.2292830926271563e-07,1.0,1.0,0.0011108037766074188,False,10.366038209060207
15101,101,4.22585941350917e-07,1.0,,,False,10.460815459024161
15102,102,4.224614542636118e-07,1.0,,,False,10.5374510420952
15103,103,4.223369387545972e-07,1.0,,,False,10.639060209039599
15104,104,4.2211905793010374e-07,1.0,,,False,10.763515084050596
15105,105,4.21932327299146e-07,1.0,,,False,10.843013417208567
15106,106,4.219012055273197e-07,1.0,,,False,10.918540250044316
15107,107,4.215276874219853e-07,1.0,,,False,11.017660750076175
15108,108,4.2146544387833274e-07,1.0,,,False,11.116970667149872
15109,109,4.2118531951018667e-07,1.0,,,False,11.216333959018812
15110,110,4.209985604575195e-07,1.0,,,False,11.3397440421395
15111,111,4.209051951420406e-07,1.0,,,False,11.451352334115654
15112,112,4.2071843608937343e-07,1.0,,,False,11.56623245915398
15113,113,4.2062507077389455e-07,1.0,,,False,11.663621042156592
15114,114,4.2046943349305366e-07,1.0,,,False,11.76354429218918
15115,115,4.2046943349305366e-07,1.0,,,False,11.860300542088225
15116,116,4.201893091249076e-07,1.0,,,False,11.94513429212384
15117,117,4.2028267444038647e-07,1.0,,,False,12.015372375026345
15118,118,4.202204308967339e-07,1.0,,,False,12.111397167202085
15119,119,4.200336718440667e-07,1.0,,,False,12.21968745905906
15120,120,4.200648220376024e-07,1.0,,,False,12.311388292117044
15121,121,4.200025500722404e-07,1.0,,,False,12.382956084096804
15122,122,4.200025500722404e-07,1.0,,,False,12.448246625019237
15123,123,4.200025500722404e-07,1.0,,,False,12.517315417062491
15124,124,4.1969130393226806e-07,1.0,,,False,12.586883875075728
15125,125,4.1969130393226806e-07,1.0,,,False,12.689600959187374
15126,126,4.19411179564122e-07,1.0,,,False,12.771315459161997
15127,127,4.1950454487960087e-07,1.0,,,False,12.890939875040203
15128,128,4.19411179564122e-07,1.0,,,False,13.016008459031582
15129,129,4.19411179564122e-07,1.0,,,False,13.130916375201195
15130,130,4.19411179564122e-07,1.0,,,False,13.250338084064424
15131,131,4.193178142486431e-07,1.0,,,False,13.351216542068869
15132,132,4.193800577922957e-07,1.0,,,False,13.448533167131245
15133,133,4.193489360204694e-07,1.0,,,False,13.55406333412975
15134,134,4.192555422832811e-07,1.0,,,False,13.655975667061284
15135,135,4.192244205114548e-07,1.0,,,False,13.747737375088036
15136,136,4.1909993342414964e-07,1.0,,,False,13.817079500062391
15137,137,4.1885093082782987e-07,1.0,,,False,13.896787625038996
15138,138,4.187886872841773e-07,1.0,,,False,13.965403959155083
15139,139,4.185708064596838e-07,1.0,,,False,14.068875000113621
15140,140,4.186019282315101e-07,1.0,,,False,14.170664167031646
15141,141,4.1825956031971145e-07,1.0,,,False,14.243452834198251
15142,142,4.1832180386336404e-07,1.0,,,False,14.315218792064115
15143,143,4.178237986707245e-07,1.0,,,False,14.38801058405079
15144,144,4.178860422143771e-07,1.0,,,False,14.456959834089503
15145,145,4.17605917846231e-07,1.0,,,False,14.530467625008896
15146,146,4.1769931158341933e-07,1.0,,,False,14.598482000175864
15147,147,4.1732579347808496e-07,1.0,,,False,14.6669691670686
15148,148,4.1732579347808496e-07,1.0,,,False,14.737357500009239
15149,149,4.171701846189535e-07,1.0,,,False,14.818046167027205
15150,150,4.171701846189535e-07,1.0,,,False,14.935758459148929
15151,151,4.170456691099389e-07,1.0,,,False,15.041466917144135
15152,152,4.170145473381126e-07,1.0,,,False,15.192513042129576
15153,153,4.1692118202263373e-07,1.0,,,False,15.283107375027612
15154,154,4.16890031829098e-07,1.0,,,False,15.352299959165975
15155,155,4.1670330119814025e-07,1.0,,,False,15.431402584072202
15156,156,4.1657878568912565e-07,1.0,,,False,15.531803125049919
15157,157,4.163297830928059e-07,1.0,,,False,15.665499792201445
15158,158,4.160496587246598e-07,1.0,,,False,15.77754579205066
15159,159,4.161741742336744e-07,1.0,,,False,15.874901042087004
15160,160,4.1589404986552836e-07,1.0,,,False,15.979956042021513
15161,161,4.1586292809370207e-07,1.0,,,False,16.084304417017847
15162,162,4.156761690410349e-07,1.0,,,False,16.220101584214717
15163,163,4.157072908128612e-07,1.0,,,False,16.350170167163014
15164,164,4.154582882165414e-07,1.0,,,False,16.46860754210502
15165,165,4.1533380112923624e-07,1.0,,,False,16.54076537513174
15166,166,4.1492916125207557e-07,1.0,,,False,16.614916125079617
15167,167,4.1508479853291647e-07,1.0,,,False,16.718190500047058
