step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
15000,0,3.6124490065958526e-07,1.0,1.0,0.0020196973216203835,False,0.15448162495158613
15001,1,3.578681742055778e-07,1.0,,,False,0.30806316691450775
15002,2,3.541733519796253e-07,1.0,,,False,0.427967166993767
15003,3,3.5017808386328397e-07,1.0,,,False,0.5546735839452595
15004,4,3.4603976928337943e-07,1.0,,,False,0.6759467499796301
15005,5,3.4186439279437764e-07,1.0,,,False,0.8390764589421451
15006,6,3.3771951279959467e-07,1.0,,,False,0.9584431669209152
15007,7,3.3366711704729823e-07,1.0,,,False,1.0749460419174284
15008,8,3.2974602959257027e-07,1.0,,,False,1.21581841702573
15009,9,3.2598734378552763e-07,1.0,,,False,1.342830500099808
15010,10,3.2240708947028907e-07,1.0,,,False,1.4624218749813735
15011,11,3.190059203461715e-07,1.0,,,False,1.5942201251164079
15012,12,3.1577616255162866e-07,1.0,,,False,1.7107801670208573
15013,13,3.1270494105228863e-07,1.0,,,False,1.8374197920784354
15014,14,3.097832745879714e-07,1.0,,,False,1.9298623751383275
15015,15,3.0701238529218244e-07,1.0,,,False,2.037543584126979
15016,16,3.0438889098149957e-07,1.0,,,False,2.1673860840965062
15017,17,3.01916372791311e-07,1.0,,,False,2.3149227499961853
15018,18,2.9959707603666175e-07,1.0,,,False,2.4519385839812458
15019,19,2.9744526841568586e-07,1.0,,,False,2.5687105839606375
15020,20,2.954722333470272e-07,1.0,,,False,2.7091289591044188
15021,21,2.9368641207838664e-07,1.0,,,False,2.8196147501002997
15022,22,2.9208501928223995e-07,1.0,,,False,2.9578429590910673
15023,23,2.9065495255053975e-07,1.0,,,False,3.0970345840323716
15024,24,2.893840473916498e-07,1.0,,,False,3.214535792125389
15025,25,2.882570697693154e-07,1.0,,,False,3.351490084081888
15026,26,2.8725631295856147e-07,1.0,,,False,3.489988958928734
15027,27,2.8637040827561577e-07,1.0,,,False,3.5849673750344664
15028,28,2.8558983444781916e-07,1.0,,,False,3.710098500130698
15029,29,2.8490742920439516e-07,1.0,,,False,3.8409714170265943
15030,30,2.843184745415783e-07,1.0,,,False,3.9732942921109498
15031,31,2.838141028860264e-07,1.0,,,False,4.105636541964486
15032,32,2.833888856912381e-07,1.0,,,False,4.229691084008664
15033,33,2.8303836074883293e-07,1.0,,,False,4.34960712492466
15034,34,2.8275701424718136e-07,1.0,,,False,4.456693167099729
15035,35,2.8253742812012206e-07,1.0,,,False,4.586895291926339
15036,36,2.8236917160029407e-07,1.0,,,False,4.702116833999753
15037,37,2.822435760663211e-07,1.0,,,False,4.79653041693382
15038,38,2.8215040970280825e-07,1.0,,,False,4.894777042092755
15039,39,2.820836186856468e-07,1.0,,,False,4.986824458930641
15040,40,2.820371776124375e-07,1.0,,,False,5.0989845839794725
15041,41,2.8200534529787546e-07,1.0,,,False,5.230616084067151
15042,42,2.819844269197347e-07,1.0,,,False,5.349316084058955
15043,43,2.819648159402277e-07,1.0,,,False,5.478931166930124
15044,44,2.819399185227667e-07,1.0,,,False,5.622279542032629
15045,45,2.8190220291435253e-07,1.0,,,False,5.75600679195486
15046,46,2.8185033329464204e-07,1.0,,,False,5.8975186250172555
15047,47,2.8178544653201243e-07,1.0,,,False,6.020132042001933
15048,48,2.8170666155347135e-07,1.0,,,False,6.144584292080253
15049,49,2.816135236116679e-07,1.0,,,False,6.264198041986674
15050,50,2.815035884395911e-07,1.0,,,False,6.380282083991915
15051,51,2.8137236540715094e-07,1.0,,,False,6.480972750112414
15052,52,2.812192860801588e-07,1.0,,,False,6.594392708968371
15053,53,2.8104258831262996e-07,1.0,,,False,6.717811250127852
15054,54,2.808395720421686e-07,1.0,,,False,6.872399291954935
15055,55,2.8061069201612554e-07,1.0,,,False,7.007029291940853
15056,56,2.803524807859503e-07,1.0,,,False,7.132928125094622
15057,57,2.800644551825826e-07,1.0,,,False,7.280047083972022
15058,58,2.797452225422603e-07,1.0,,,False,7.410418959101662
15059,59,2.7939890401285083e-07,1.0,,,False,7.53485674993135
15060,60,2.790213216030679e-07,1.0,,,False,7.657637791940942
15061,61,2.7861557327923947e-07,1.0,,,False,7.783461667131633
15062,62,2.7818387593470106e-07,1.0,,,False,7.910309625091031
15063,63,2.7772722432928276e-07,1.0,,,False,8.023416250012815
15064,64,2.772442542209319e-07,1.0,,,False,8.142303749918938
15065,65,2.7673746672007837e-07,1.0,,,False,8.247344709001482
