step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
16508,0,2.6306932454644993e-07,1.0,0.820897192079651,1.8003750275369972,False,0.12662654207088053
16509,1,2.5304706241513486e-07,1.0,,,False,0.24760787514969707
16510,2,2.4193542458306183e-07,1.0,,,False,0.3377284170128405
16511,3,2.3094828804914869e-07,1.0,,,False,0.42978370911441743
16512,4,2.2139289512779214e-07,1.0,,,False,0.5145463750232011
16513,5,2.1149510587292752e-07,1.0,,,False,0.592608709121123
16514,6,2.0206417161716672e-07,1.0,,,False,0.6768384999595582
16515,7,1.9306905585381173e-07,1.0,,,False,0.7604271669406444
16516,8,1.8382492328328226e-07,1.0,,,False,0.8435450419783592
16517,9,1.757323957463086e-07,1.0,,,False,0.9426715839654207
16518,10,1.6798226454284304e-07,1.0,,,False,1.0353010420221835
16519,11,1.6013872539133445e-07,1.0,,,False,1.134545500157401
16520,12,1.5254420304700034e-07,1.0,,,False,1.2336290839593858
16521,13,1.4538542814079847e-07,1.0,,,False,1.3322862919885665
16522,14,1.3657702879754652e-07,1.0,,,False,1.4251893749460578
16523,15,1.296361205049834e-07,1.0,,,False,1.5237883341033012
16524,16,1.236289790540468e-07,1.0,,,False,1.6180480001494288
16525,17,1.1734172034039148e-07,1.0,,,False,1.7150620419997722
16526,18,1.1145907308218739e-07,1.0,,,False,1.8115115000400692
16527,19,1.0623005408660902e-07,1.0,,,False,1.909836667124182
16528,20,1.0025404151292605e-07,1.0,,,False,2.006415167124942
16529,21,9.518064558733386e-08,1.0,,,False,2.104494584025815
16530,22,8.995162659175548e-08,1.0,,,False,2.1985639589838684
16531,23,8.400673578989881e-08,1.0,,,False,2.2954026670195162
16532,24,7.905783405703914e-08,1.0,,,False,2.382547792047262
16533,25,7.435794913135396e-08,1.0,,,False,2.462888084119186
16534,26,7.049843020467961e-08,1.0,,,False,2.543122084112838
16535,27,6.642104466436649e-08,1.0,,,False,2.62236220901832
16536,28,6.225027249229242e-08,1.0,,,False,2.7010442500468343
16537,29,5.891988408279758e-08,1.0,,,False,2.779594958992675
16538,30,5.487361676159708e-08,1.0,,,False,2.861342125106603
16539,31,5.23836050092541e-08,1.0,,,False,2.9397034170106053
16540,32,4.976909551146491e-08,1.0,,,False,3.022102209040895
