step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
6000,0,7.303555321414024e-06,1.0,0.9984338292873923,0.02727816639830095,False,0.1716808748897165
6001,1,7.301423920580419e-06,1.0,,,False,0.35558808292262256
6002,2,7.299069238797529e-06,1.0,,,False,0.46136187482625246
6003,3,7.296280273294542e-06,1.0,,,False,0.5738678749185055
6004,4,7.2932821240101475e-06,1.0,,,False,0.6786284579429775
6005,5,7.289980658242712e-06,1.0,,,False,0.7835994998458773
6006,6,7.286495474545518e-06,1.0,,,False,0.8904666658490896
6007,7,7.282733349711634e-06,1.0,,,False,0.9846214158460498
6008,8,7.2788670877343975e-06,1.0,,,False,1.0924444578122348
6009,9,7.27474889572477e-06,1.0,,,False,1.1888524999376386
6010,10,7.2705479396972805e-06,1.0,,,False,1.2804596659261733
6011,11,7.2661719059397e-06,1.0,,,False,1.3872634579893202
6012,12,7.261586233653361e-06,1.0,,,False,1.4963826248422265
6013,13,7.256962817336898e-06,1.0,,,False,1.6002758329268545
6014,14,7.252278464875417e-06,1.0,,,False,1.716533500002697
6015,15,7.2475177148589864e-06,1.0,,,False,1.8078513748478144
6016,16,7.242638275783975e-06,1.0,,,False,1.9044204158708453
6017,17,7.237690169858979e-06,1.0,,,False,2.024437957908958
6018,18,7.232732968986966e-06,1.0,,,False,2.1161382908467203
6019,19,7.227758032968268e-06,1.0,,,False,2.237648290814832
6020,20,7.2226325755764265e-06,1.0,,,False,2.3392889578826725
6021,21,7.2175539571617264e-06,1.0,,,False,2.4264902498107404
6022,22,7.2123789323086385e-06,1.0,,,False,2.540275124832988
6023,23,7.20731122783036e-06,1.0,,,False,2.619259790983051
6024,24,7.202108463388868e-06,1.0,,,False,2.737312624929473
6025,25,7.1969866439758334e-06,1.0,,,False,2.8500197909306735
6026,26,7.19190620657173e-06,1.0,,,False,2.9481850408483297
6027,27,7.186856237240136e-06,1.0,,,False,3.0452080408576876
6028,28,7.181699402281083e-06,1.0,,,False,3.1426057079806924
6029,29,7.176690360211069e-06,1.0,,,False,3.2508295828010887
6030,30,7.171610377554316e-06,1.0,,,False,3.3574754998553544
6031,31,7.166534487623721e-06,1.0,,,False,3.427009915933013
6032,32,7.161601388361305e-06,1.0,,,False,3.505247749853879
6033,33,7.156660103646573e-06,1.0,,,False,3.6230972909834236
6034,34,7.151613772293786e-06,1.0,,,False,3.7366519158240408
6035,35,7.146722509787651e-06,1.0,,,False,3.830724040977657
6036,36,7.141784408304375e-06,1.0,,,False,3.9133043750189245
6037,37,7.137053216865752e-06,1.0,,,False,4.008264707867056
6038,38,7.132268819987075e-06,1.0,,,False,4.11251537501812
6039,39,7.127499884518329e-06,1.0,,,False,4.221410665893927
6040,40,7.122819170035655e-06,1.0,,,False,4.3092742909211665
6041,41,7.118243956938386e-06,1.0,,,False,4.385947624919936
6042,42,7.113771061995067e-06,1.0,,,False,4.503820999991149
6043,43,7.10941230863682e-06,1.0,,,False,4.590912290848792
6044,44,7.105271834006999e-06,1.0,,,False,4.6849949159659445
6045,45,7.101272331055952e-06,1.0,,,False,4.775200415868312
6046,46,7.097421075741295e-06,1.0,,,False,4.90301483287476
6047,47,7.0936689553491306e-06,1.0,,,False,5.050301082897931
6048,48,7.0900282480579335e-06,1.0,,,False,5.1223117909394205
6049,49,7.086552614055108e-06,1.0,,,False,5.198542415862903
6050,50,7.083228410920128e-06,1.0,,,False,5.2718414578121156
6051,51,7.079966053424869e-06,1.0,,,False,5.347873415797949
6052,52,7.076960173435509e-06,1.0,,,False,5.42332062497735
6053,53,7.0740270530222915e-06,1.0,,,False,5.4971465829294175
6054,54,7.071352683851728e-06,1.0,,,False,5.567411832977086
