step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
15000,0,3.0241184845181124e-07,1.0,1.0,0.0020196973216203835,False,0.2445511668920517
15001,1,2.808421015743079e-07,1.0,,,False,0.4936295000370592
15002,2,2.809043735396699e-07,1.0,,,False,0.6593312500044703
15003,3,2.8208711455590674e-07,1.0,,,False,0.8276264169253409
15004,4,2.837056172211305e-07,1.0,,,False,0.9908876670524478
15005,5,2.8579100330716756e-07,1.0,,,False,1.1534940828569233
15006,6,2.871916535696073e-07,1.0,,,False,1.32845937483944
15007,7,2.8980616662011016e-07,1.0,,,False,1.4933477079030126
15008,8,2.922961641615984e-07,1.0,,,False,1.6720075828488916
15009,9,2.9528416689572623e-07,1.0,,,False,1.8534858750645071
15010,10,2.97400703175299e-07,1.0,,,False,2.0328128749970347
15011,11,2.99423817295974e-07,1.0,,,False,2.2078877920284867
15012,12,3.0073107382122544e-07,1.0,,,False,2.3890472499188036
15013,13,3.0241184845181124e-07,1.0,,,False,2.5554998328443617
15014,14,3.0452835630967456e-07,1.0,,,False,2.728139291983098
15015,15,3.0515084858961927e-07,1.0,,,False,2.900972041999921
15016,16,3.0602234346588375e-07,1.0,,,False,3.092620041919872
15017,17,3.070494756229891e-07,1.0,,,False,3.2616806249134243
15018,18,3.07858726955601e-07,1.0,,,False,3.4268060829490423
15019,19,3.087924937972275e-07,1.0,,,False,3.6148899169638753
15020,20,3.0910373993719986e-07,1.0,,,False,3.7881666249595582
15021,21,3.096017451298394e-07,1.0,,,False,3.953575874911621
15022,22,3.0910373993719986e-07,1.0,,,False,4.113662458024919
15023,23,3.080766077800945e-07,1.0,,,False,4.2878118748776615
15024,24,3.0617798074672464e-07,1.0,,,False,4.471038082847372
15025,25,3.039058356080204e-07,1.0,,,False,4.648316374979913
15026,26,3.018515997155191e-07,1.0,,,False,4.825043292017654
15027,27,2.9985957894496096e-07,1.0,,,False,4.99454987491481
15028,28,2.986768095070147e-07,1.0,,,False,5.167530916864052
15029,29,2.9733843120993697e-07,1.0,,,False,5.331976833054796
15030,30,2.958755658255541e-07,1.0,,,False,5.496615541866049
15031,31,2.947861901247961e-07,1.0,,,False,5.675980832893401
15032,32,2.940391823358368e-07,1.0,,,False,5.837792666861787
15033,33,2.932299310032249e-07,1.0,,,False,6.010987750021741
15034,34,2.9282529112606426e-07,1.0,,,False,6.190945166861638
15035,35,2.924829232142656e-07,1.0,,,False,6.369799499865621
15036,36,2.916736718816537e-07,1.0,,,False,6.553128500003368
15037,37,2.911134231453616e-07,1.0,,,False,6.732950124889612
15038,38,2.9070878326820093e-07,1.0,,,False,6.906926417024806
15039,39,2.903664153564023e-07,1.0,,,False,7.092097957851365
15040,40,2.894326485147758e-07,1.0,,,False,7.258730582892895
15041,41,2.885611536385113e-07,1.0,,,False,7.431349375052378
15042,42,2.878452676213783e-07,1.0,,,False,7.5923683329019696
15043,43,2.8737838420056505e-07,1.0,,,False,7.780974749941379
15044,44,2.8663140483331517e-07,1.0,,,False,7.9667085418477654
15045,45,2.8610227786884934e-07,1.0,,,False,8.136360416887328
15046,46,2.8610227786884934e-07,1.0,,,False,8.315717041958123
15047,47,2.861956431843282e-07,1.0,,,False,8.499127707909793
15048,48,2.8681813546427293e-07,1.0,,,False,8.695792624959722
15049,49,2.864135240088217e-07,1.0,,,False,8.87890391703695
15050,50,2.8691152920146124e-07,1.0,,,False,9.063343042042106
15051,51,2.870048945169401e-07,1.0,,,False,9.251916207838804
15052,52,2.8666252660514147e-07,1.0,,,False,9.435341750038788
15053,53,2.856665162198624e-07,1.0,,,False,9.616294249892235
15054,54,2.8513738925539656e-07,1.0,,,False,9.81080716685392
15055,55,2.850440239399177e-07,1.0,,,False,9.993382124928758
15056,56,2.848572648872505e-07,1.0,,,False,10.17435620795004
15057,57,2.8507514571174397e-07,1.0,,,False,10.364147249842063
15058,58,2.8495063020272937e-07,1.0,,,False,10.54447204200551
15059,59,2.831764902566647e-07,1.0,,,False,10.736306499922648
15060,60,2.833632493093319e-07,1.0,,,False,10.91438258299604
