Token embedding attribute: token_embedding
Position embedding attribute: position_embedding
Unembedding attribute: unembedding
token_embedding parameters: ['token_embedding.weight']
position_embedding parameters: ['position_embedding.weight']
unembedding parameters: ['unembedding.weight']
other_auxiliary parameters: []
Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Frozen group: None
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/component/trajectory.csv
step= 16000 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0000 | position_delta=0.0000 | unembedding_delta=0.0000
step= 16010 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0033 | position_delta=0.0004 | unembedding_delta=0.0029
step= 16020 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0068 | position_delta=0.0009 | unembedding_delta=0.0058
step= 16030 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0102 | position_delta=0.0014 | unembedding_delta=0.0087
step= 16040 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0137 | position_delta=0.0018 | unembedding_delta=0.0117
step= 16050 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0172 | position_delta=0.0023 | unembedding_delta=0.0146
step= 16060 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0207 | position_delta=0.0028 | unembedding_delta=0.0176
step= 16070 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0243 | position_delta=0.0034 | unembedding_delta=0.0207
step= 16080 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0280 | position_delta=0.0039 | unembedding_delta=0.0238
step= 16090 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0317 | position_delta=0.0044 | unembedding_delta=0.0269
step= 16100 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0354 | position_delta=0.0050 | unembedding_delta=0.0301
step= 16110 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0391 | position_delta=0.0056 | unembedding_delta=0.0334
step= 16120 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0429 | position_delta=0.0062 | unembedding_delta=0.0368
step= 16130 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0467 | position_delta=0.0067 | unembedding_delta=0.0402
step= 16140 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0505 | position_delta=0.0073 | unembedding_delta=0.0437
step= 16150 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0543 | position_delta=0.0079 | unembedding_delta=0.0472
step= 16160 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0582 | position_delta=0.0085 | unembedding_delta=0.0508
step= 16170 | train_acc=1.0000 | test_acc=0.9999 | token_delta=0.0620 | position_delta=0.0091 | unembedding_delta=0.0545
step= 16180 | train_acc=1.0000 | test_acc=0.9998 | token_delta=0.0659 | position_delta=0.0098 | unembedding_delta=0.0581
step= 16190 | train_acc=1.0000 | test_acc=0.9998 | token_delta=0.0698 | position_delta=0.0104 | unembedding_delta=0.0619
step= 16200 | train_acc=1.0000 | test_acc=0.9998 | token_delta=0.0738 | position_delta=0.0110 | unembedding_delta=0.0656
step= 16210 | train_acc=1.0000 | test_acc=0.9998 | token_delta=0.0778 | position_delta=0.0117 | unembedding_delta=0.0694
step= 16220 | train_acc=1.0000 | test_acc=0.9998 | token_delta=0.0818 | position_delta=0.0124 | unembedding_delta=0.0732
step= 16230 | train_acc=1.0000 | test_acc=0.9997 | token_delta=0.0859 | position_delta=0.0131 | unembedding_delta=0.0771
step= 16240 | train_acc=1.0000 | test_acc=0.9997 | token_delta=0.0900 | position_delta=0.0138 | unembedding_delta=0.0809
step= 16250 | train_acc=1.0000 | test_acc=0.9997 | token_delta=0.0942 | position_delta=0.0145 | unembedding_delta=0.0848
step= 16260 | train_acc=1.0000 | test_acc=0.9997 | token_delta=0.0985 | position_delta=0.0152 | unembedding_delta=0.0888
step= 16270 | train_acc=1.0000 | test_acc=0.9997 | token_delta=0.1029 | position_delta=0.0160 | unembedding_delta=0.0927
step= 16280 | train_acc=1.0000 | test_acc=0.9997 | token_delta=0.1074 | position_delta=0.0168 | unembedding_delta=0.0968
step= 16290 | train_acc=1.0000 | test_acc=0.9996 | token_delta=0.1120 | position_delta=0.0176 | unembedding_delta=0.1009
