Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Update hidden Muon group: True
Update auxiliary AdamW group: True
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/group_historical/trajectory.csv
step= 16000 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=0.0000 | aux_delta=0.0000
step= 16010 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=1.1306 | aux_delta=0.0045
step= 16020 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=2.2456 | aux_delta=0.0090
step= 16030 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=3.3540 | aux_delta=0.0135
step= 16040 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=4.4636 | aux_delta=0.0181
step= 16050 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=5.5822 | aux_delta=0.0227
step= 16060 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=6.7106 | aux_delta=0.0274
step= 16070 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=7.8458 | aux_delta=0.0321
step= 16080 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=8.9840 | aux_delta=0.0369
step= 16090 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=10.1249 | aux_delta=0.0418
step= 16100 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=11.2696 | aux_delta=0.0467
step= 16110 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=12.4177 | aux_delta=0.0518
step= 16120 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=13.5677 | aux_delta=0.0568
step= 16130 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=14.7179 | aux_delta=0.0620
step= 16140 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=15.8634 | aux_delta=0.0672
step= 16150 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=17.0010 | aux_delta=0.0724
step= 16160 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=18.1298 | aux_delta=0.0777
step= 16170 | train_acc=1.0000 | test_acc=0.9999 | hidden_delta=19.2542 | aux_delta=0.0830
step= 16180 | train_acc=1.0000 | test_acc=0.9998 | hidden_delta=20.3748 | aux_delta=0.0884
step= 16190 | train_acc=1.0000 | test_acc=0.9998 | hidden_delta=21.4918 | aux_delta=0.0939
step= 16200 | train_acc=1.0000 | test_acc=0.9998 | hidden_delta=22.6064 | aux_delta=0.0994
step= 16210 | train_acc=1.0000 | test_acc=0.9998 | hidden_delta=23.7179 | aux_delta=0.1049
step= 16220 | train_acc=1.0000 | test_acc=0.9998 | hidden_delta=24.8234 | aux_delta=0.1105
step= 16230 | train_acc=1.0000 | test_acc=0.9997 | hidden_delta=25.9245 | aux_delta=0.1161
step= 16240 | train_acc=1.0000 | test_acc=0.9997 | hidden_delta=27.0221 | aux_delta=0.1218
