step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
16000,0,control,3.3347473049616383e-07,1.0,0.0017144985031336546,0.9998881220817566,nan,nan,0.0,0.0,nan,nan,0
16010,10,control,3.339104921451508e-07,1.0,0.0016872237902134657,0.9998881220817566,2.1272493169249148e-07,2.948888203636792e-05,1.1305574261867772,0.004467578006023232,0.8332503903358444,0.01943832077085972,0
16020,20,control,3.2874370958779764e-07,1.0,0.0016787023050710559,0.9998881220817566,2.1248625989588444e-07,2.9655922294451724e-05,2.2456115643136196,0.008954431774984327,0.8334880384197806,0.01962079294025898,0
16030,30,control,3.265026862209197e-07,1.0,0.0016767457127571106,0.9998881220817566,2.1306513972819437e-07,2.955120924816896e-05,3.353954155216158,0.013489810201975585,0.8324886222379135,0.01963840238749981,0
16040,40,control,3.2550670425735007e-07,1.0,0.001675864215940237,0.9998881220817566,2.1412749210602953e-07,2.944753930691993e-05,4.463642061391718,0.018060841934594223,0.8320361749667625,0.01973881945014,0
16050,50,control,3.2317231557499326e-07,1.0,0.0016762749291956425,0.9998881220817566,2.1516390708085992e-07,2.9324170377737898e-05,5.582160779798788,0.022686753264237886,0.8321244397087879,0.019762888550758362,0
16060,60,control,3.2015316264732974e-07,1.0,0.0016785713378340006,0.9998881220817566,2.1579089597152013e-07,2.926121916611123e-05,6.710632165110337,0.027370506723814622,0.8327450784036302,0.0198159608989954,0
16070,70,control,3.1853465998210595e-07,1.0,0.0016864610370248556,0.9998881220817566,2.1712961144567997e-07,2.925646950898782e-05,7.845754416350666,0.03211425502396766,0.8335398594277911,0.01983289048075676,0
16080,80,control,3.14924136546324e-07,1.0,0.0016963803209364414,0.9998881220817566,2.1797958113152774e-07,2.9215888438773475e-05,8.984011162120124,0.03691950511673358,0.8340406185055648,0.019851747900247574,0
16090,90,control,3.1286987223211327e-07,1.0,0.0017059018136933446,0.9998881220817566,2.1965086974807945e-07,2.923336842310067e-05,10.124889917437297,0.04178992967519002,0.8343878428262524,0.019916607066988945,0
16100,100,control,3.0767199632464326e-07,1.0,0.0017156574176624417,0.9998881220817566,2.2053800080690186e-07,2.9123788566454016e-05,11.269637303187292,0.04673279342754805,0.8345865475052782,0.02002537250518799,0
16110,110,control,3.033455868717283e-07,1.0,0.0017222550231963396,0.9998881220817566,2.220276179909296e-07,2.9037577830640873e-05,12.417670481118012,0.051754191808091404,0.8344127039896083,0.02004099451005459,0
16120,120,control,2.9764970577161876e-07,1.0,0.0017220420995727181,0.9998881220817566,2.2352793004205746e-07,2.882234105596622e-05,13.567736893211915,0.0568456148106461,0.8339416801107546,0.020141836255788803,0
16130,130,control,2.94163669423142e-07,1.0,0.0017214944818988442,0.9998881220817566,2.2562830441303852e-07,2.8518696740588422e-05,14.717856075005695,0.06199511042160004,0.8328647829951891,0.020148588344454765,0
16140,140,control,2.911756666890142e-07,1.0,0.0017232113750651479,0.9998881220817566,2.2626030848829805e-07,2.7907160955910525e-05,15.86335103181178,0.06719365733984582,0.8313549689477634,0.020124072209000587,0
