seed,role,step,native_train_accuracy,native_test_accuracy,decoder_train_accuracy,decoder_test_accuracy,selected_regularization,refit_converged,refit_iterations,refit_message,candidate_convergence,unregularized_test_accuracy,unregularized_refit_converged,unregularized_refit_iterations,status
0,initialization,0,0.007571801566579634,0.00839020024611254,0.19765013054830288,0.0012305627027631727,0.01,True,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, False, False, True, True]",0.004474773464593355,False,1000,new control
0,memorization,200,0.9994778067885117,0.0007830853563038371,1.0,0.00022373867322966775,0.0001,True,36,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.0003356080098445016,True,22,new control
0,healthy_reference,17200,1.0,0.9911623224074281,1.0,0.9950777491889473,0.0,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.9950777491889473,True,19,existing result reused
0,failed,17494,0.4825065274151436,0.3187157400156617,1.0,0.987246895625909,0.0,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.987246895625909,True,18,existing result reused
1,initialization,0,0.008093994778067885,0.009173285602416377,0.1835509138381201,0.0012305627027631727,0.01,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,"[False, False, False, True, True]",0.002684864078756013,False,1000,new control
1,memorization,400,0.9997389033942559,0.0022373867322966774,1.0,0.0024611254055263453,0.0001,True,33,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.0032442107618301822,True,22,new control
1,healthy_reference,17300,1.0,0.991945407763732,1.0,0.9956370958720214,0.0,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.9956370958720214,True,19,existing result reused
1,failed,17721,0.1566579634464752,0.09094977066785993,1.0,0.9819890368050117,0.0,True,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.9819890368050117,True,17,existing result reused
2,initialization,0,0.007310704960835509,0.00894954692918671,0.1947780678851175,0.0006712160196890032,0.01,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,"[True, False, False, True, True]",0.003356080098445016,False,1000,new control
2,memorization,200,0.9994778067885117,0.004922250811052691,1.0,0.00548159749412686,0.0001,True,34,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.006264682850430697,True,19,new control
2,healthy_reference,18000,1.0,1.0,1.0,1.0,1e-08,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",1.0,True,19,existing result reused
2,failed,18069,0.009921671018276762,0.00928515493903121,1.0,1.0,0.0,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",1.0,True,18,existing result reused
3,initialization,0,0.008616187989556136,0.009061416265801543,0.21566579634464753,0.0023492560689115116,0.01,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,"[True, False, False, True, True]",0.006152813513815863,False,1000,new control
3,memorization,100,1.0,0.000894954692918671,1.0,0.0006712160196890032,0.0001,True,37,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.0006712160196890032,True,22,new control
3,healthy_reference,15800,1.0,0.9907148450609687,1.0,0.993959055822799,0.0,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.993959055822799,True,19,existing result reused
3,failed,16309,0.42637075718015666,0.32117686542118806,1.0,0.9876943729723683,0.0,True,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.9876943729723683,True,18,existing result reused
4,initialization,0,0.010443864229765013,0.008278330909497707,0.18302872062663186,0.0004474773464593355,0.01,True,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[False, False, False, True, True]",0.001789909385837342,False,1000,new control
4,memorization,200,0.9994778067885117,0.010180109631949883,1.0,0.011186933661483387,0.0001,True,33,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",0.011186933661483387,True,20,new control
4,healthy_reference,16050,1.0,1.0,1.0,1.0,0.0,True,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",1.0,True,19,existing result reused
4,failed,16060,0.21775456919060052,0.1813401946526457,1.0,1.0,0.0,True,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,"[True, True, True, True, True]",1.0,True,17,existing result reused
