step,local_step,train_loss,train_accuracy,heldout_measured,test_loss,test_loss64,test_accuracy,train_below_0_90,joint_failure,elapsed_seconds
16000,0,3.3347473049616383e-07,1.0,True,0.0017144985031336546,0.0017145530555113565,0.9998881306633851,False,False,0.04014091705903411
16010,10,3.2949071737675695e-07,1.0,False,,,,False,False,1.007613291963935
16020,20,3.290238339559437e-07,1.0,False,,,,False,False,1.957624333910644
16030,30,3.2706296337892127e-07,1.0,False,,,,False,False,2.746494624996558
16040,40,3.2575570685366984e-07,1.0,False,,,,False,False,3.4287115840706974
16050,50,3.2407493222308403e-07,1.0,False,,,,False,False,4.218860584078357
16060,60,3.2223854873336677e-07,1.0,False,,,,False,False,5.116743041900918
16070,70,3.204332870154758e-07,1.0,False,,,,False,False,5.921792208915576
16080,80,3.1853465998210595e-07,1.0,False,,,,False,False,6.803521999856457
16090,90,3.1613802775609656e-07,1.0,False,,,,False,False,7.834797208895907
16100,100,3.136791519864346e-07,1.0,True,0.0018392354249954224,0.0018392884193369986,0.9998881306633851,False,False,8.69506649998948
16110,110,3.151731391426438e-07,1.0,False,,,,False,False,9.477668500039726
16120,120,3.1090900165509083e-07,1.0,False,,,,False,False,10.30303458403796
16130,130,3.082322450609354e-07,1.0,False,,,,False,False,11.07864912506193
16140,140,3.067071077111905e-07,1.0,False,,,,False,False,11.851344666909426
16150,150,3.0692498853568395e-07,1.0,False,,,,False,False,12.617268125060946
16160,160,3.0440384080065996e-07,1.0,False,,,,False,False,13.301430708961561
16170,170,3.005443431902677e-07,1.0,False,,,,False,False,14.28708150004968
16180,180,2.9917481469965423e-07,1.0,False,,,,False,False,15.254240874899551
16190,190,2.958133222819015e-07,1.0,False,,,,False,False,16.013717917026952
16200,200,2.942570631603303e-07,1.0,True,0.0019530155695974827,0.0019530670146721068,0.9998881306633851,False,False,16.96708199987188
16210,210,2.927008040387591e-07,1.0,False,,,,False,False,17.711537084076554
16220,220,2.901174127600825e-07,1.0,False,,,,False,False,18.451307416893542
16230,230,2.888412780066574e-07,1.0,False,,,,False,False,19.288138249889016
16240,240,2.877830240777257e-07,1.0,False,,,,False,False,20.051287000067532
16250,250,2.845148685537424e-07,1.0,False,,,,False,False,20.765396208968014
16260,260,2.824295108894148e-07,1.0,False,,,,False,False,21.51497208396904
16270,270,2.7869447194461827e-07,1.0,False,,,,False,False,22.439160333946347
16280,280,2.7664020763040753e-07,1.0,False,,,,False,False,23.250144625082612
16290,290,2.730919561599876e-07,1.0,False,,,,False,False,24.08655787492171
16300,300,2.7334095875630737e-07,1.0,True,0.0021041284780949354,0.0021041796368215957,0.9996643919901554,False,False,24.900935333920643
16310,310,2.731230779318139e-07,1.0,False,,,,False,False,25.72463795891963
16320,320,2.69792678864178e-07,1.0,False,,,,False,False,26.54461295902729
16330,330,2.6711592227002257e-07,1.0,False,,,,False,False,27.486397916916758
16340,340,2.651861734648264e-07,1.0,False,,,,False,False,28.13520370889455
16350,350,2.64594802956708e-07,1.0,False,,,,False,False,28.96471929200925
16360,360,2.639411604832276e-07,1.0,False,,,,False,False,29.93904966698028
16370,370,2.6101540129275236e-07,1.0,False,,,,False,False,30.942822084063664
16380,380,2.598637820483418e-07,1.0,False,,,,False,False,31.914081084076315
16390,390,2.597703883111535e-07,1.0,False,,,,False,False,32.83689529192634
16400,400,2.5640886747169134e-07,1.0,True,0.0023556877858936787,0.002355740223232236,0.9996643919901554,False,False,33.86817074986175
16410,410,2.5644001766522706e-07,1.0,False,,,,False,False,34.82583025004715
16420,420,2.551950046836282e-07,1.0,False,,,,False,False,35.76832679193467
16430,430,2.5289176619480713e-07,1.0,False,,,,False,False,36.707425334025174
16440,440,2.5251824808947276e-07,1.0,False,,,,False,False,37.56684241699986
16450,450,2.473514655321196e-07,1.0,False,,,,False,False,38.33730775001459
16460,460,2.460130872350419e-07,1.0,False,,,,False,False,39.10391720896587
16470,470,2.4663560793669603e-07,1.0,False,,,,False,False,39.86993462499231
16480,480,2.4411446020167205e-07,1.0,False,,,,False,False,40.90224345889874
16490,490,2.4339857418453903e-07,1.0,False,,,,False,False,41.613926958991215
16500,500,2.4262044462375343e-07,1.0,True,0.0025806294288486242,0.0025806789953903863,0.9996643919901554,False,False,42.33827691688202
16510,510,2.397258072051045e-07,1.0,False,,,,False,False,43.09865445899777
16520,520,2.397569573986402e-07,1.0,False,,,,False,False,43.952047124970704
16530,530,2.3785831615441566e-07,1.0,False,,,,False,False,44.76648495905101
16540,540,2.3658218140099052e-07,1.0,False,,,,False,False,45.63401587493718
16550,550,2.3689342754096288e-07,1.0,False,,,,False,False,46.39394412492402
16560,560,2.3692456352364388e-07,1.0,False,,,,False,False,47.07454883400351
16570,570,2.3767155710174848e-07,1.0,False,,,,False,False,47.71749966708012
16580,580,2.3770267887357477e-07,1.0,False,,,,False,False,48.33816970908083
16590,590,2.3708018659363006e-07,1.0,False,,,,False,False,48.988123416900635
16600,600,2.3113527447549131e-07,1.0,True,0.0026249554939568043,0.0026250072013115633,0.9996643919901554,False,False,49.73846158385277
16610,610,2.2774264607505756e-07,1.0,False,,,,False,False,50.48195325001143
16620,620,2.3110415270366502e-07,1.0,False,,,,False,False,51.13487308402546
