seed,lookup,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,positive_margin_rows,tied_maximum_rows,minimum_margin,mean_margin
0,one_hot,raw_lookup,training,3830,3830,1.0,1.0,3830,0,1.0,1.0
0,one_hot,raw_lookup,heldout,8939,79,0.008837677592571876,0.008849557522123894,0,8939,0.0,0.0
0,one_hot,raw_lookup,full_grid,12769,3909,0.30613203853081683,0.30614035513276416,3830,8939,0.0,0.29994517973216384
0,one_hot,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.18584070796460178,0.3050717438018439
0,one_hot,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.18584070796460178,0.2977486543504797
0,one_hot,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.18584070796460178,0.29994517973216384
0,one_hot,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,0.61954734121701,0.6942613546556432
0,one_hot,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,70,-0.38045265878299006,-0.29848062797447794
0,one_hot,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,70,-0.38045265878299006,-0.0007124555668215618
0,training_count_normalized,raw_lookup,training,3830,3830,1.0,1.0,3830,0,2.627906976744186,3.3339425587467364
0,training_count_normalized,raw_lookup,heldout,8939,79,0.008837677592571876,0.008849557522123894,0,8939,0.0,0.0
0,training_count_normalized,raw_lookup,full_grid,12769,3909,0.30613203853081683,0.30614035513276416,3830,8939,0.0,1.0
0,training_count_normalized,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.9999999999999999,1.0
0,training_count_normalized,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.9999999999999999,1.0
0,training_count_normalized,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.9999999999999999,1.0
0,training_count_normalized,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,1.6279069767441858,2.3339425587467364
0,training_count_normalized,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,8939,-1.0000000000000002,-1.0
0,training_count_normalized,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,8939,-1.0000000000000002,0.0
1,one_hot,raw_lookup,training,3830,3830,1.0,1.0,3830,0,1.0,1.0
1,one_hot,raw_lookup,heldout,8939,68,0.007607114889808703,0.008849557522123894,0,8939,0.0,0.0
1,one_hot,raw_lookup,full_grid,12769,3898,0.30527057717910566,0.30614035513276416,3830,8939,0.0,0.29994517973216384
1,one_hot,complete_family_with_dc,training,3830,3830,1.0,1.0,3830,0,0.18584070796460178,0.3060283278264285
1,one_hot,complete_family_with_dc,heldout,8939,8939,1.0,1.0,8939,0,0.18584070796460178,0.2973387967809351
1,one_hot,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,12769,0,0.18584070796460178,0.29994517973216384
1,one_hot,family_ablated_dc_retained,training,3830,3830,1.0,1.0,3830,0,0.6018482261727622,0.6931566475351225
1,one_hot,family_ablated_dc_retained,heldout,8939,0,0.0,0.0,0,0,-0.3981517738272379,-0.29823104432176556
1,one_hot,family_ablated_dc_retained,full_grid,12769,3830,0.29994517973216384,0.29994517973216384,3830,0,-0.3981517738272379,-0.000869084903496214
1,training_count_normalized,raw_lookup,training,3830,3830,1.0,1.0,3830,0,2.511111111111111,3.3339425587467364
