seed,pair,endpoint,step,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
0,adjacent_seed0,0,17493,raw,training,3830,3830,1.0,1.0,0,3830,5.907704335197309,16.437347258076105
0,adjacent_seed0,0,17493,raw,heldout,8939,8536,0.9549166573442219,0.9549166573442219,0,8536,-12.83256597295076,10.206843138879215
0,adjacent_seed0,0,17493,raw,full_grid,12769,12366,0.968439188660036,0.968439188660036,0,12366,-12.83256597295076,12.075652816733713
0,adjacent_seed0,0,17493,complete_family_with_dc,training,3830,3830,1.0,1.0,0,3830,10.493392591066254,15.873028925240295
0,adjacent_seed0,0,17493,complete_family_with_dc,heldout,8939,8939,1.0,1.0,0,8939,10.493392591066254,15.771082967943821
0,adjacent_seed0,0,17493,complete_family_with_dc,full_grid,12769,12769,1.0,1.0,0,12769,10.493392591066254,15.80166116642808
0,adjacent_seed0,0,17493,training_donors_only,training,3830,3830,1.0,1.0,0,3830,15.507398142119996,19.09089550353261
0,adjacent_seed0,0,17493,training_donors_only,heldout,8939,8939,1.0,1.0,0,8939,15.507398142119996,19.097887229517998
0,adjacent_seed0,0,17493,training_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,15.507398142119996,19.095790095010674
0,adjacent_seed0,0,17493,heldout_donors_only,training,3830,3830,1.0,1.0,0,3830,8.19832871123458,14.43454903028052
0,adjacent_seed0,0,17493,heldout_donors_only,heldout,8939,8939,1.0,1.0,0,8939,8.19832871123458,14.341613173083973
0,adjacent_seed0,0,17493,heldout_donors_only,full_grid,12769,12769,1.0,1.0,0,12769,8.19832871123458,14.369488835474355
0,adjacent_seed0,0,17493,heldout_donors_leave_one_out,training,3830,3830,1.0,1.0,0,3830,8.19832871123458,14.43454903028052
0,adjacent_seed0,0,17493,heldout_donors_leave_one_out,heldout,8939,8939,1.0,1.0,0,8939,7.9830941965090005,14.341039482548341
0,adjacent_seed0,0,17493,heldout_donors_leave_one_out,full_grid,12769,12769,1.0,1.0,0,12769,7.9830941965090005,14.369087220649542
0,adjacent_seed0,1,17494,raw,training,3830,1848,0.4825065274151436,0.4825065274151436,0,1848,-47.38280613491531,1.5029123237436242
0,adjacent_seed0,1,17494,raw,heldout,8939,2849,0.3187157400156617,0.3187157400156617,0,2849,-52.6755938114444,-3.9100124231059343
0,adjacent_seed0,1,17494,raw,full_grid,12769,4697,0.36784399718067196,0.36784399718067196,0,4697,-52.6755938114444,-2.286431737035466
0,adjacent_seed0,1,17494,complete_family_with_dc,training,3830,1437,0.3751958224543081,0.3751958224543081,0,1437,-36.88976866891733,-0.16569030574128535
0,adjacent_seed0,1,17494,complete_family_with_dc,heldout,8939,3196,0.35753439982100904,0.35753439982100904,0,3196,-36.88976866891733,-0.6017130775332284
0,adjacent_seed0,1,17494,complete_family_with_dc,full_grid,12769,4633,0.36283185840707965,0.36283185840707965,0,4633,-36.88976866891733,-0.4709301488807778
0,adjacent_seed0,1,17494,training_donors_only,training,3830,2060,0.5378590078328982,0.5378590078328982,0,2060,-33.292128818369065,3.081763785407442
0,adjacent_seed0,1,17494,training_donors_only,heldout,8939,4607,0.5153820337845396,0.5153820337845396,0,4607,-33.292128818369065,2.734930437547519
0,adjacent_seed0,1,17494,training_donors_only,full_grid,12769,6667,0.5221238938053098,0.5221238938053098,0,6667,-33.292128818369065,2.8389614284084717
0,adjacent_seed0,1,17494,heldout_donors_only,training,3830,1231,0.3214099216710183,0.3214099216710183,0,1231,-38.24985202705045,-1.588718758319261
0,adjacent_seed0,1,17494,heldout_donors_only,heldout,8939,2724,0.3047320729388075,0.3047320729388075,0,2724,-38.24985202705045,-2.01313056630331
0,adjacent_seed0,1,17494,heldout_donors_only,full_grid,12769,3955,0.30973451327433627,0.30973451327433627,0,3955,-38.24985202705045,-1.8858302902770816
0,adjacent_seed0,1,17494,heldout_donors_leave_one_out,training,3830,1231,0.3214099216710183,0.3214099216710183,0,1231,-38.24985202705045,-1.588718758319261
0,adjacent_seed0,1,17494,heldout_donors_leave_one_out,heldout,8939,2723,0.30462020360219266,0.30462020360219266,0,2723,-38.45989430832958,-2.0133647529507277
0,adjacent_seed0,1,17494,heldout_donors_leave_one_out,full_grid,12769,3954,0.3096561986059989,0.3096561986059989,0,3954,-38.45989430832958,-1.8859942337684488
1,seed1_adjacent_event,0,17720,raw,training,3830,3830,1.0,1.0,0,3830,3.439737930064325,16.899902314648553
1,seed1_adjacent_event,0,17720,raw,heldout,8939,8415,0.9413804676138271,0.9413804676138271,0,8415,-13.815787975364515,9.851310056731293
