seed,lookup,ranking,retained_pairs,selected_frequencies,split,n,correct,accuracy,uniform_tie_expected_accuracy,positive_margin_rows,tied_maximum_rows,minimum_margin,mean_margin
0,one_hot,ascending_frequency_mathematical_tie,1,1,training,3830,371,0.09686684073107049,0.09686684073107049,371,0,-0.00454069748073003,-0.0013291506225647826
0,one_hot,ascending_frequency_mathematical_tie,1,1,heldout,8939,646,0.07226759145318268,0.07226759145318268,646,0,-0.00454069748073003,-0.0015178239214657893
0,one_hot,ascending_frequency_mathematical_tie,1,1,full_grid,12769,1017,0.07964601769911504,0.07964601769911504,1017,0,-0.00454069748073003,-0.0014612322749162666
0,one_hot,ascending_frequency_mathematical_tie,2,1|2,training,3830,518,0.1352480417754569,0.1352480417754569,518,0,-0.007048346482815897,-0.0017456969850306143
0,one_hot,ascending_frequency_mathematical_tie,2,1|2,heldout,8939,951,0.10638773912070701,0.10638773912070701,951,0,-0.007048346482815897,-0.0020363999389774188
0,one_hot,ascending_frequency_mathematical_tie,2,1|2,full_grid,12769,1469,0.11504424778761062,0.11504424778761062,1469,0,-0.007048346482815897,-0.0019492049892071736
0,one_hot,ascending_frequency_mathematical_tie,3,1|2|3,training,3830,628,0.1639686684073107,0.1639686684073107,628,0,-0.0091908652760613,-0.001967905537712762
0,one_hot,ascending_frequency_mathematical_tie,3,1|2|3,heldout,8939,1180,0.13200581720550397,0.13200581720550397,1180,0,-0.0091908652760613,-0.0023633774999167524
0,one_hot,ascending_frequency_mathematical_tie,3,1|2|3,full_grid,12769,1808,0.1415929203539823,0.1415929203539823,1808,0,-0.0091908652760613,-0.002244757591134445
0,one_hot,ascending_frequency_mathematical_tie,5,1|2|3|4|5,training,3830,1094,0.2856396866840731,0.2856396866840731,1094,90,-0.014141110128087699,-0.0019722051493917796
0,one_hot,ascending_frequency_mathematical_tie,5,1|2|3|4|5,heldout,8939,2183,0.24421076183018234,0.24421076183018234,2183,249,-0.014141110128087699,-0.002586484688174859
0,one_hot,ascending_frequency_mathematical_tie,5,1|2|3|4|5,full_grid,12769,3277,0.25663716814159293,0.25663716814159293,3277,339,-0.014141110128087699,-0.0024022345015087777
0,one_hot,ascending_frequency_mathematical_tie,10,1|2|3|4|5|6|7|8|9|10,training,3830,1955,0.5104438642297651,0.5104438642297651,1955,28,-0.024475568570080847,0.00018190765459815317
0,one_hot,ascending_frequency_mathematical_tie,10,1|2|3|4|5|6|7|8|9|10,heldout,8939,4034,0.45128090390423986,0.45128090390423986,4034,85,-0.024475568570080847,-0.001028842850721975
0,one_hot,ascending_frequency_mathematical_tie,10,1|2|3|4|5|6|7|8|9|10,full_grid,12769,5989,0.4690265486725664,0.4690265486725664,5989,113,-0.024475568570080847,-0.0006656840727929209
0,one_hot,ascending_frequency_mathematical_tie,20,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,training,3830,3423,0.8937336814621409,0.8937336814621409,3423,0,-0.029839969516036804,0.01781579368820092
0,one_hot,ascending_frequency_mathematical_tie,20,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,heldout,8939,7651,0.855912294440094,0.855912294440094,7651,0,-0.029839969516036804,0.015384674114699135
0,one_hot,ascending_frequency_mathematical_tie,20,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,full_grid,12769,11074,0.8672566371681416,0.8672566371681416,11074,0,-0.029839969516036804,0.01611387671212351
