seed,frequency,heldout_correct,heldout_n,minimum_margin
0,1,8939,8939,2.735347515332373e-05
0,2,8939,8939,2.73534751533272e-05
0,3,8939,8939,2.735347515332026e-05
0,4,8939,8939,2.735347515332026e-05
0,5,8939,8939,2.735347515332026e-05
0,6,8939,8939,2.735347515332026e-05
0,7,8939,8939,2.735347515332026e-05
0,8,8939,8939,2.735347515332373e-05
0,9,8939,8939,2.735347515332026e-05
0,10,8939,8939,2.73534751533272e-05
0,11,8939,8939,2.7353475153309853e-05
0,12,8939,8939,2.735347515332373e-05
0,13,8939,8939,2.73534751533272e-05
0,14,8939,8939,2.735347515332026e-05
0,15,8939,8939,2.735347515332373e-05
0,16,8939,8939,2.735347515332026e-05
0,17,8939,8939,2.73534751533272e-05
0,18,8939,8939,2.735347515333067e-05
0,19,8939,8939,2.735347515332026e-05
0,20,8939,8939,2.735347515332026e-05
0,21,8939,8939,2.73534751533272e-05
0,22,8939,8939,2.735347515332026e-05
0,23,8939,8939,2.7353475153313322e-05
0,24,8939,8939,2.73534751533272e-05
0,25,8939,8939,2.735347515332026e-05
0,26,8939,8939,2.735347515332373e-05
0,27,8939,8939,2.735347515332373e-05
0,28,8939,8939,2.735347515332026e-05
0,29,8939,8939,2.7353475153316792e-05
0,30,8939,8939,2.73534751533272e-05
0,31,8939,8939,2.73534751533272e-05
0,32,8939,8939,2.735347515332373e-05
0,33,8939,8939,2.735347515332026e-05
0,34,8939,8939,2.735347515332373e-05
0,35,8939,8939,2.735347515332373e-05
0,36,8939,8939,2.73534751533272e-05
0,37,8939,8939,2.73534751533272e-05
0,38,8939,8939,2.7353475153316792e-05
0,39,8939,8939,2.73534751533272e-05
0,40,8939,8939,2.735347515332373e-05
0,41,8939,8939,2.735347515332373e-05
0,42,8939,8939,2.735347515332026e-05
0,43,8939,8939,2.735347515332373e-05
0,44,8939,8939,2.735347515332373e-05
0,45,8939,8939,2.735347515332026e-05
0,46,8939,8939,2.735347515332026e-05
0,47,8939,8939,2.73534751533272e-05
0,48,8939,8939,2.735347515332026e-05
0,49,8939,8939,2.735347515332026e-05
0,50,8939,8939,2.735347515332026e-05
0,51,8939,8939,2.735347515332373e-05
0,52,8939,8939,2.735347515332373e-05
0,53,8939,8939,2.73534751533272e-05
0,54,8939,8939,2.735347515332373e-05
0,55,8939,8939,2.735347515332373e-05
0,56,8939,8939,2.735347515332373e-05
1,1,8939,8939,2.735347515332373e-05
1,2,8939,8939,2.735347515332373e-05
1,3,8939,8939,2.735347515332026e-05
1,4,8939,8939,2.735347515332026e-05
1,5,8939,8939,2.735347515332026e-05
1,6,8939,8939,2.735347515332026e-05
1,7,8939,8939,2.735347515332026e-05
1,8,8939,8939,2.735347515332373e-05
1,9,8939,8939,2.735347515332373e-05
1,10,8939,8939,2.7353475153316792e-05
1,11,8939,8939,2.7353475153309853e-05
1,12,8939,8939,2.735347515332373e-05
1,13,8939,8939,2.73534751533272e-05
1,14,8939,8939,2.735347515332026e-05
1,15,8939,8939,2.735347515332373e-05
1,16,8939,8939,2.73534751533272e-05
1,17,8939,8939,2.735347515332373e-05
1,18,8939,8939,2.735347515332026e-05
1,19,8939,8939,2.735347515332026e-05
1,20,8939,8939,2.7353475153316792e-05
1,21,8939,8939,2.73534751533272e-05
1,22,8939,8939,2.735347515332026e-05
1,23,8939,8939,2.7353475153313322e-05
1,24,8939,8939,2.73534751533272e-05
1,25,8939,8939,2.735347515332026e-05
1,26,8939,8939,2.735347515332373e-05
1,27,8939,8939,2.735347515332373e-05
1,28,8939,8939,2.735347515332373e-05
1,29,8939,8939,2.7353475153316792e-05
1,30,8939,8939,2.73534751533272e-05
1,31,8939,8939,2.73534751533272e-05
1,32,8939,8939,2.735347515332373e-05
1,33,8939,8939,2.735347515332026e-05
1,34,8939,8939,2.735347515332373e-05
1,35,8939,8939,2.735347515332373e-05
1,36,8939,8939,2.735347515332373e-05
1,37,8939,8939,2.735347515332373e-05
1,38,8939,8939,2.7353475153316792e-05
1,39,8939,8939,2.73534751533272e-05
1,40,8939,8939,2.735347515332373e-05
1,41,8939,8939,2.735347515332026e-05
1,42,8939,8939,2.735347515332026e-05
1,43,8939,8939,2.735347515332373e-05
1,44,8939,8939,2.735347515332026e-05
1,45,8939,8939,2.735347515332026e-05
1,46,8939,8939,2.7353475153316792e-05
1,47,8939,8939,2.73534751533272e-05
1,48,8939,8939,2.735347515332026e-05
1,49,8939,8939,2.735347515332026e-05
1,50,8939,8939,2.735347515332026e-05
1,51,8939,8939,2.735347515332373e-05
1,52,8939,8939,2.735347515332373e-05
1,53,8939,8939,2.735347515332373e-05
1,54,8939,8939,2.735347515332373e-05
1,55,8939,8939,2.735347515332373e-05
1,56,8939,8939,2.73534751533272e-05
2,1,8939,8939,2.735347515332373e-05
2,2,8939,8939,2.735347515332373e-05
2,3,8939,8939,2.735347515332026e-05
