step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
30000,0,1.4443433116184679e-09,1.0,0.9996643919901554,0.0010271570688905475,False,0.17626029183156788
30001,1,1.4450851626435224e-09,1.0,,,False,0.3374756670091301
30002,2,1.4358019218008167e-09,1.0,,,False,0.4393056249246001
30003,3,1.4401315695522499e-09,1.0,,,False,0.5310005829669535
30004,4,1.426359808043287e-09,1.0,,,False,0.638678832910955
30005,5,1.431566754028779e-09,1.0,,,False,0.7352267079986632
30006,6,1.418838824207569e-09,1.0,,,False,0.8283358330372721
30007,7,1.4247818480583874e-09,1.0,,,False,0.8951021248940378
30008,8,1.4194311281912064e-09,1.0,,,False,0.9811809998936951
30009,9,1.431161300580186e-09,1.0,,,False,1.0466059169266373
30010,10,1.4350258759066037e-09,1.0,,,False,1.1355769999790937
30011,11,1.4532021141988594e-09,1.0,,,False,1.2227637500036508
30012,12,1.456374132402516e-09,1.0,,,False,1.3005561670288444
30013,13,1.4588549257510408e-09,1.0,,,False,1.4112967080436647
30014,14,1.4553335203615347e-09,1.0,,,False,1.5110654579475522
30015,15,1.451547437802958e-09,1.0,,,False,1.6079813749529421
30016,16,1.4467896880532294e-09,1.0,,,False,1.7071505419444293
30017,17,1.4436684070417982e-09,1.0,,,False,1.7703513749875128
30018,18,1.4370644674244204e-09,1.0,,,False,1.8348420830443501
30019,19,1.4404072379292643e-09,1.0,,,False,1.9318899170029908
30020,20,1.437028607220725e-09,1.0,,,False,1.995543582830578
30021,21,1.440891073123396e-09,1.0,,,False,2.0906006249133497
30022,22,1.4231279488186033e-09,1.0,,,False,2.149568916996941
30023,23,1.4272963921868609e-09,1.0,,,False,2.2083438329864293
30024,24,1.4212756527243187e-09,1.0,,,False,2.2826829999685287
30025,25,1.4282994786896097e-09,1.0,,,False,2.387832749867812
30026,26,1.425297102564116e-09,1.0,,,False,2.48894558288157
30027,27,1.441023855797141e-09,1.0,,,False,2.5659277078229934
30028,28,1.4451367880141675e-09,1.0,,,False,2.6607920420356095
30029,29,1.4614712773308725e-09,1.0,,,False,2.7575414578896016
30030,30,1.456067377780812e-09,1.0,,,False,2.8532837498933077
30031,31,1.452276410240927e-09,1.0,,,False,2.9164235829375684
30032,32,1.4463898967420619e-09,1.0,,,False,2.9762573749758303
30033,33,1.4463835684708215e-09,1.0,,,False,3.0478424169123173
30034,34,1.4448249263665502e-09,1.0,,,False,3.108274041907862
30035,35,1.442484021119128e-09,1.0,,,False,3.197589125018567
30036,36,1.4351962951408836e-09,1.0,,,False,3.2947437500115484
30037,37,1.4413633619980715e-09,1.0,,,False,3.381027749972418
