step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
30000,0,1.4443433116184679e-09,1.0,0.9996643919901554,0.0010271570688905475,False,0.06078541721217334
30001,1,1.4450851626435224e-09,1.0,,,False,0.12899066717363894
30002,2,1.4358019218008167e-09,1.0,,,False,0.1758092080708593
30003,3,1.4401315695522499e-09,1.0,,,False,0.2238703751936555
30004,4,1.426359808043287e-09,1.0,,,False,0.27031337516382337
30005,5,1.431566754028779e-09,1.0,,,False,0.3202399171423167
30006,6,1.418838824207569e-09,1.0,,,False,0.36798225017264485
30007,7,1.4247818480583874e-09,1.0,,,False,0.41700737504288554
30008,8,1.4194311281912064e-09,1.0,,,False,0.46401704219169915
30009,9,1.431161300580186e-09,1.0,,,False,0.5105741252191365
30010,10,1.4350258759066037e-09,1.0,,,False,0.5606492920778692
30011,11,1.4532021141988594e-09,1.0,,,False,0.6089314171113074
30012,12,1.456374132402516e-09,1.0,0.9996643919901554,0.001036604380444302,False,0.7005096671637148
