step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
6000,0,1.3078933989163488e-05,1.0,0.988589327665287,0.07640415951271283,False,0.13698591594584286
6001,1,1.3097142073092982e-05,1.0,,,False,0.3576612500473857
6002,2,1.311687537963735e-05,1.0,,,False,0.4253915408626199
6003,3,1.3137884707248304e-05,1.0,,,False,0.5045688329264522
6004,4,1.315852023253683e-05,1.0,,,False,0.5947967909742147
6005,5,1.3179249435779639e-05,1.0,,,False,0.6610919160302728
6006,6,1.3199044587963726e-05,1.0,,,False,0.7346732500009239
6007,7,1.3219461834523827e-05,1.0,,,False,0.8339698750060052
6008,8,1.3239973668532912e-05,1.0,,,False,0.91327212494798
6009,9,1.3262383617984597e-05,1.0,,,False,1.0096681248396635
6010,10,1.3282332474773284e-05,1.0,,,False,1.0673930409830064
6011,11,1.3303964806254953e-05,1.0,,,False,1.1691063749603927
6012,12,1.3324413885129616e-05,1.0,,,False,1.2352598330471665
6013,13,1.3344862964004278e-05,1.0,,,False,1.3310682908631861
6014,14,1.3364689948502928e-05,1.0,,,False,1.4072620410006493
6015,15,1.3383986697590444e-05,1.0,,,False,1.469910416053608
6016,16,1.3404746823653113e-05,1.0,,,False,1.550251874839887
6017,17,1.3424947610474192e-05,1.0,,,False,1.621088291052729
6018,18,1.3445178410620429e-05,1.0,,,False,1.7041997080668807
6019,19,1.346519093203824e-05,1.0,,,False,1.7872882499359548
6020,20,1.3483772818290163e-05,1.0,,,False,1.8695264998823404
6021,21,1.3502541150955949e-05,1.0,,,False,1.9515290409326553
6022,22,1.3521837900043465e-05,1.0,,,False,2.0321793749462813
6023,23,1.3539984138333239e-05,1.0,,,False,2.114072500029579
6024,24,1.3558814316638745e-05,1.0,,,False,2.1998049579560757
6025,25,1.3578111975220963e-05,1.0,,,False,2.29411954106763
6026,26,1.3595697964774445e-05,1.0,,,False,2.3792884999420494
6027,27,1.3615304851555265e-05,1.0,,,False,2.481470250058919
6028,28,1.3632890841108747e-05,1.0,,,False,2.5770731249358505
6029,29,1.365150365018053e-05,1.0,,,False,2.674506082898006
6030,30,1.3668372957909014e-05,1.0,,,False,2.749620374990627
6031,31,1.3685459634871222e-05,1.0,,,False,2.8161086249165237
6032,32,1.3702267096959986e-05,1.0,,,False,2.873389875050634
6033,33,1.3720319657295477e-05,1.0,,,False,2.9453736660070717
6034,34,1.3735851098317653e-05,1.0,,,False,3.0263396250084043
6035,35,1.3753001439908985e-05,1.0,,,False,3.107743457891047
6036,36,1.3769215911452193e-05,1.0,,,False,3.190604333067313
6037,37,1.3785183000436518e-05,1.0,,,False,3.272793165873736
6038,38,1.3800434317090549e-05,1.0,,,False,3.354450332932174
6039,39,1.381531183142215e-05,1.0,,,False,3.436482416000217
6040,40,1.3830718671670184e-05,1.0,,,False,3.518484832951799
6041,41,1.3845254215993918e-05,1.0,,,False,3.5998141248710454
6042,42,1.3860816579835955e-05,1.0,,,False,3.6811339159030467
6043,43,1.387507018080214e-05,1.0,,,False,3.763710750034079
6044,44,1.3889512047171593e-05,1.0,,,False,3.8602041250560433
6045,45,1.3904359548178036e-05,1.0,,,False,3.9252214999869466
6046,46,1.3918956938141491e-05,1.0,,,False,4.008421457838267
6047,47,1.393237107549794e-05,1.0,,,False,4.0719854158815
6048,48,1.3945941645943094e-05,1.0,,,False,4.140623582992703
6049,49,1.3959543139208108e-05,1.0,,,False,4.223885874962434
6050,50,1.3971899534226395e-05,1.0,,,False,4.303392332978547
6051,51,1.3984754332341254e-05,1.0,,,False,4.365231915842742
6052,52,1.3997733731230255e-05,1.0,,,False,4.421775666065514
6053,53,1.4009840924700256e-05,1.0,,,False,4.4803498750552535
6054,54,1.4021295100974385e-05,1.0,,,False,4.567229083040729
6055,55,1.403256283083465e-05,1.0,,,False,4.6483436659909785
6056,56,1.4043643204786349e-05,1.0,,,False,4.728910082951188
6057,57,1.4055563042347785e-05,1.0,,,False,4.81923395791091
6058,58,1.4067702068132348e-05,1.0,,,False,4.918688416015357
6059,59,1.4078253116167616e-05,1.0,,,False,5.018834457965568
6060,60,1.4088805073697586e-05,1.0,,,False,5.118578874971718
6061,61,1.4099014151724987e-05,1.0,,,False,5.222726125037298
6062,62,1.411025004927069e-05,1.0,,,False,5.324537040898576
6063,63,1.4119867955741938e-05,1.0,,,False,5.428408541018143
6064,64,1.4130792806099635e-05,1.0,,,False,5.526748790871352
6065,65,1.4141592146188486e-05,1.0,,,False,5.6320215000305325
6066,66,1.4150898095977027e-05,1.0,,,False,5.730284707853571
6067,67,1.4160671526042279e-05,1.0,,,False,5.830951540963724
6068,68,1.4170009308145382e-05,1.0,,,False,5.93170908303
6069,69,1.4179159734339919e-05,1.0,,,False,6.035252125002444
6070,70,1.4188186469255015e-05,1.0,,,False,6.1383307909127325
6071,71,1.4198240023688413e-05,1.0,,,False,6.2399335000664
6072,72,1.4207048479875084e-05,1.0,,,False,6.343589207855985
6073,73,1.4216447198123205e-05,1.0,,,False,6.445894999895245
6074,74,1.4224259757611435e-05,1.0,,,False,6.549609750043601
6075,75,1.423331650585169e-05,1.0,,,False,6.6458142078481615
6076,76,1.424115998815978e-05,1.0,,,False,6.705381624866277
6077,77,1.4248381376091857e-05,1.0,,,False,6.762494666036218
6078,78,1.4256628674047533e-05,1.0,,,False,6.8208233749028295
6079,79,1.42633825817029e-05,1.0,,,False,6.87515241606161
6080,80,1.4271008694777265e-05,1.0,,,False,6.933491833042353
6081,81,1.427910137863364e-05,1.0,,,False,6.991895790910348
6082,82,1.4286415535025299e-05,1.0,,,False,7.052365124924108
6083,83,1.429295207344694e-05,1.0,,,False,7.112400499871001
6084,84,1.4300483599072322e-05,1.0,,,False,7.171089458046481
6085,85,1.430733118468197e-05,1.0,,,False,7.232189874863252
6086,86,1.4314366126200184e-05,1.0,,,False,7.291075957939029
6087,87,1.4322676179290283e-05,1.0,,,False,7.349327540956438
6088,88,1.432949193258537e-05,1.0,,,False,7.40464562503621
6089,89,1.4337708307721186e-05,1.0,,,False,7.465040332870558
6090,90,1.434480509487912e-05,1.0,,,False,7.547025250038132
6091,91,1.4351652680488769e-05,1.0,,,False,7.644707832951099
6092,92,1.4357379768625833e-05,1.0,,,False,7.74300608295016
6093,93,1.4364321032189764e-05,1.0,,,False,7.843199790921062
6094,94,1.4370327335200273e-05,1.0,,,False,7.9216568330302835
6095,95,1.437705122953048e-05,1.0,,,False,8.020837208023295
6096,96,1.4382840163307264e-05,1.0,,,False,8.105449332855642
6097,97,1.4389064745046198e-05,1.0,,,False,8.165046457899734
6098,98,1.4394915524462704e-05,1.0,,,False,8.225969874998555
6099,99,1.4400206964637619e-05,1.0,,,False,8.28424883284606
6100,100,1.4405934052774683e-05,1.0,0.9894842823582056,0.07165831194354601,False,8.404551999876276
6101,101,1.4411753909371328e-05,1.0,,,False,8.483578833052889
6102,102,1.4417169950320385e-05,1.0,,,False,8.580230708001181
6103,103,1.442239954485558e-05,1.0,,,False,8.685104040894657
6104,104,1.4427532732952386e-05,1.0,,,False,8.78715116600506
6105,105,1.4432637726713438e-05,1.0,,,False,8.889817249961197
6106,106,1.4438115613302216e-05,1.0,,,False,8.990982832852751
6107,107,1.4443250620388426e-05,1.0,,,False,9.09604433295317
6108,108,1.444854206056334e-05,1.0,,,False,9.198922915849835
6109,109,1.445314865122782e-05,1.0,,,False,9.297962374985218
6110,110,1.4458378245763015e-05,1.0,,,False,9.395526374923065
6111,111,1.4463420484389644e-05,1.0,,,False,9.499069208046421
6112,112,1.4467684195551556e-05,1.0,,,False,9.596805291017517
6113,113,1.4472415386990178e-05,1.0,,,False,9.691787458024919
6114,114,1.4476274373009801e-05,1.0,,,False,9.773329165996984
6115,115,1.4480942809314001e-05,1.0,,,False,9.854398124851286
6116,116,1.4485393876384478e-05,1.0,,,False,9.93572941585444
6117,117,1.4490778085018974e-05,1.0,,,False,10.016980540938675
6118,118,1.4495571122097317e-05,1.0,,,False,10.09752716589719
6119,119,1.4499928511213511e-05,1.0,,,False,10.178538457956165
6120,120,1.4503851161862258e-05,1.0,,,False,10.259590749861673
6121,121,1.4508613276120741e-05,1.0,,,False,10.340760665945709
6122,122,1.4513001588056795e-05,1.0,,,False,10.421309540979564
6123,123,1.4516829651256558e-05,1.0,,,False,10.502214208012447
6124,124,1.4520969671139028e-05,1.0,,,False,10.582938082981855
6125,125,1.4525171536661219e-05,1.0,,,False,10.665219458052889
6126,126,1.4530119187838864e-05,1.0,,,False,10.746555041056126
6127,127,1.4534196452586912e-05,1.0,,,False,10.822642707964405
6128,128,1.4538025425281376e-05,1.0,,,False,10.882923915982246
6129,129,1.454095126973698e-05,1.0,,,False,10.941281165927649
6130,130,1.454425000702031e-05,1.0,,,False,11.00432908302173
6131,131,1.4547611499438062e-05,1.0,,,False,11.067685791058466
6132,132,1.4550506421073806e-05,1.0,,,False,11.127138291019946
6133,133,1.4553743312717415e-05,1.0,,,False,11.18819412495941
6134,134,1.4556607311533298e-05,1.0,,,False,11.247196374926716
6135,135,1.4560061572410632e-05,1.0,,,False,11.307801624992862
