step,local_step,train_loss,train_accuracy,test_accuracy,test_loss64,joint_failure,elapsed_seconds
6000,0,5.747019258706132e-06,1.0,0.9998881306633851,0.014214464857074402,False,0.06406770786270499
6001,1,5.750443051510956e-06,1.0,,,False,0.1670999159105122
6002,2,5.753431196353631e-06,1.0,,,False,0.21385074988938868
6003,3,5.756107839260949e-06,1.0,,,False,0.26118354103527963
6004,4,5.76030970478314e-06,1.0,0.9998881306633851,0.014155245098519545,False,0.4032385409809649
6005,5,5.763795797975035e-06,1.0,,,False,0.4498791249934584
6006,6,5.767375114373863e-06,1.0,,,False,0.4955987080466002
6007,7,5.771048108726973e-06,1.0,,,False,0.604871666058898
6008,8,5.775436875410378e-06,1.0,0.9998881306633851,0.014097070315139227,False,0.7045271249953657
6009,9,5.779078492196277e-06,1.0,,,False,0.7511853750329465
6010,10,5.783062533737393e-06,1.0,,,False,0.8513440410606563
6011,11,5.786766450910363e-06,1.0,,,False,0.9011674160137773
6012,12,5.790688192064408e-06,1.0,0.9998881306633851,0.014046474843489358,False,1.0005194579716772
