cohort,seed,checkpoint,method,fit,regularization,validation_cross_entropy,converged,status,message,iterations,function_evaluations,iteration_limit,function_evaluation_limit,initial_objective,final_objective,gradient_infinity_norm,gradient_l2_norm
historical_cpu_pilot,0,previous,cv_selected,candidate,0.0,1.4110375021618644,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26,29,500,1500,4.727387818712339,3.690879120885083e-07,6.713128883651887e-08,5.309420284325005e-07
historical_cpu_pilot,0,previous,cv_selected,candidate,1e-08,0.6602962388316318,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,50,55,500,1500,4.727387818712339,1.059985827177032e-05,8.876567499810003e-08,8.891906851546342e-07
historical_cpu_pilot,0,previous,cv_selected,candidate,1e-06,0.40405799086042754,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,100,106,500,1500,4.727387818712339,0.00042488296269065247,7.55903806781998e-08,6.565406571989494e-07
historical_cpu_pilot,0,previous,cv_selected,candidate,0.0001,0.2725615373282041,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,70,74,500,1500,4.727387818712339,0.01606637167476408,9.54723024361473e-08,9.164746987572163e-07
historical_cpu_pilot,0,previous,cv_selected,candidate,0.01,0.27815100460025877,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,19,22,500,1500,4.727387818712339,0.4618738979949233,2.1092164845292263e-07,1.6679807121627115e-06
historical_cpu_pilot,0,previous,cv_selected,refit,0.0001,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,67,72,1000,3000,4.72738781871234,0.018277886929220485,9.943093976483343e-08,9.536099248602522e-07
historical_cpu_pilot,0,failed,cv_selected,candidate,0.0,10580.089299106852,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,195,197,500,1500,4.727387818712339,1.2156602032783425e-06,7.042635196885062e-08,8.192290303167882e-07
historical_cpu_pilot,0,failed,cv_selected,candidate,1e-08,889.7920153455832,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,500,502,500,1500,4.727387818712339,0.19479838289888757,3.96980139472314e-05,0.00048411201426479516
historical_cpu_pilot,0,failed,cv_selected,candidate,1e-06,90.08652701728826,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,500,508,500,1500,4.727387818712339,1.0032048368710564,1.4753037699074537e-05,0.00012586767802494136
historical_cpu_pilot,0,failed,cv_selected,candidate,0.0001,15.302495444269416,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,102,105,500,1500,4.727387818712339,1.8992010518574167,8.552057097692645e-08,1.829977931973549e-06
historical_cpu_pilot,0,failed,cv_selected,candidate,0.01,5.464792573785927,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,14,500,1500,4.727387818712339,3.7544725156769085,9.800843063471215e-07,5.485545147183324e-06
historical_cpu_pilot,0,failed,cv_selected,refit,0.01,,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,13,1000,3000,4.72738781871234,3.970210002179304,1.479486771956487e-07,1.4103254114705618e-06
historical_cpu_pilot,0,previous,unregularized_control,candidate,0.0,1.4110375021618644,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,26,29,500,1500,4.727387818712339,3.690879120885083e-07,6.713128883651887e-08,5.309420284325005e-07
historical_cpu_pilot,0,previous,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27,30,1000,3000,4.72738781871234,3.003491747226001e-07,8.394065501841778e-08,5.314206136531129e-07
historical_cpu_pilot,0,failed,unregularized_control,candidate,0.0,10580.089299106852,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,195,197,500,1500,4.727387818712339,1.2156602032783425e-06,7.042635196885062e-08,8.192290303167882e-07
historical_cpu_pilot,0,failed,unregularized_control,refit,0.0,,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,1028,1000,3000,4.72738781871234,2.4566389620365086,7.032355009478825e-05,0.000525968780465311
prospective_cpu,1,previous,cv_selected,candidate,0.0,0.00011470026104808805,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,20,500,1500,4.727387818712339,7.606854891588892e-07,8.437055542396251e-08,7.606160854467073e-07
prospective_cpu,1,previous,cv_selected,candidate,1e-08,0.00011150798160063193,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,18,20,500,1500,4.727387818712339,2.883761352200284e-06,8.749395496178985e-08,7.042805615255856e-07
prospective_cpu,1,previous,cv_selected,candidate,1e-06,0.0002453343406973332,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23,25,500,1500,4.727387818712339,0.0001502565120663898,7.354738689474659e-08,4.5551008765262415e-07
prospective_cpu,1,previous,cv_selected,candidate,0.0001,0.002371659533915504,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23,25,500,1500,4.727387818712339,0.008161949304670502,6.91811795260419e-08,4.445455531311687e-07
