cohort,seed,checkpoint,step,method,selected_regularization,refit_converged,refit_status,refit_iterations,refit_function_evaluations,refit_gradient_infinity_norm,refit_gradient_l2_norm,train_n,train_correct_count,train_accuracy,train_cross_entropy,heldout_n,heldout_correct_count,heldout_accuracy,heldout_cross_entropy
historical_cpu_pilot,0,previous,28494,cv_selected,0.0001,True,0,67,72,9.943093976483343e-08,9.536099248602522e-07,3830,3830,1.0,0.004929427434887453,8939,8704,0.973710705895514,0.20805398517704463
historical_cpu_pilot,0,failed,28495,cv_selected,0.01,True,0,12,13,1.479486771956487e-07,1.4103254114705618e-06,3830,1053,0.274934725848564,3.5701906028740265,8939,141,0.015773576462691577,5.281436782105194
historical_cpu_pilot,0,previous,28494,unregularized_control,0.0,True,0,27,30,8.394065501841778e-08,5.314206136531129e-07,3830,3830,1.0,3.003491747226e-07,8939,8566,0.9582727374426669,1.0520232742484756
historical_cpu_pilot,0,failed,28495,unregularized_control,0.0,False,1,1000,1028,7.032355009478825e-05,0.000525968780465311,3830,1533,0.4002610966057441,2.456638962036507,8939,234,0.026177424767871126,29.944753852923046
prospective_cpu,1,previous,15094,cv_selected,1e-08,True,0,18,20,8.108146479322295e-08,6.55166004003325e-07,3830,3830,1.0,8.676474253270715e-07,8939,8939,1.0,7.210784626542717e-05
prospective_cpu,1,failed,15095,cv_selected,0.01,True,0,15,17,1.9779442504637467e-07,2.331113098637022e-06,3830,2232,0.5827676240208878,2.731355559073559,8939,1551,0.17350934108960733,4.18831774047762
prospective_cpu,1,previous,15094,unregularized_control,0.0,True,0,18,20,7.848069198939027e-08,7.153510560029723e-07,3830,3830,1.0,7.340260445433709e-07,8939,8939,1.0,8.255315037480723e-05
prospective_cpu,1,failed,15095,unregularized_control,0.0,True,0,130,138,9.631807887435318e-08,1.740792686077852e-06,3830,3830,1.0,5.812679337829025e-06,8939,988,0.11052690457545587,800.9308461023999
prospective_cpu,2,previous,15788,cv_selected,0.0,True,0,15,17,9.799419342697612e-08,2.5793646721900297e-06,3830,3830,1.0,2.6340463653685894e-06,8939,8939,1.0,2.688505057493833e-06
prospective_cpu,2,failed,15789,cv_selected,0.01,True,0,17,21,1.1269444765305697e-07,2.1204489447039942e-06,3830,2772,0.7237597911227154,1.4829956749637632,8939,5798,0.6486184136928068,2.0688509198447917
prospective_cpu,2,previous,15788,unregularized_control,0.0,True,0,15,17,9.799419342697612e-08,2.5793646721900297e-06,3830,3830,1.0,2.6340463653685894e-06,8939,8939,1.0,2.688505057493833e-06
prospective_cpu,2,failed,15789,unregularized_control,0.0,True,0,66,71,7.388321425261738e-08,8.811091502083447e-07,3830,3830,1.0,1.747840188038416e-06,8939,4948,0.553529477570198,86.33278004808652
prospective_cpu,3,previous,14270,cv_selected,0.0,True,0,14,17,9.191767976571836e-08,1.9165608994038252e-06,3830,3830,1.0,2.2024945079393428e-06,8939,8939,1.0,3.069487589066915e-06
prospective_cpu,3,failed,14271,cv_selected,1e-06,True,0,77,80,8.878547735919824e-08,1.0860616083976495e-06,3830,3830,1.0,0.00025285086646390404,8939,8387,0.9382481261886118,0.285495377948214
prospective_cpu,3,previous,14270,unregularized_control,0.0,True,0,14,17,9.191767976571836e-08,1.9165608994038252e-06,3830,3830,1.0,2.2024945079393428e-06,8939,8939,1.0,3.069487589066915e-06
prospective_cpu,3,failed,14271,unregularized_control,0.0,True,0,27,29,5.70454863235819e-08,1.0219564321893608e-06,3830,3830,1.0,1.7583906720552488e-06,8939,7925,0.8865644926725584,0.9037261088837193
prospective_cpu,4,previous,15135,cv_selected,0.0001,True,0,59,66,6.117734870704523e-08,7.408682627915431e-07,3830,3830,1.0,0.0032869458231622743,8939,8774,0.9815415594585524,0.11090620998097171
prospective_cpu,4,failed,15136,cv_selected,0.01,True,0,12,13,9.449157699304919e-08,6.628627181942331e-07,3830,1216,0.3174934725848564,3.400175719847609,8939,237,0.026513032777715627,5.102687971001642
prospective_cpu,4,previous,15135,unregularized_control,0.0,True,0,24,29,9.058710164402253e-08,9.181633684534579e-07,3830,3830,1.0,6.613153223235335e-07,8939,8600,0.9620762948875713,0.802127412595502
prospective_cpu,4,failed,15136,unregularized_control,0.0,False,1,1000,1015,4.962417004925982e-05,0.0005509900903717814,3830,2084,0.5441253263707572,1.8484796386642235,8939,369,0.0412797852108737,75.39111735289538
