cohort,seed,checkpoint,step,relative_l2_error,absolute_l2_error,reference_l2_norm,class_sum_residual_l2,class_sum_residual_relative_l2,maximum_absolute_error,accurate_gradient_l2_norm,class_sum_residual_maximum_absolute,reference_class_sum_residual_l2,train_feature_mean_norm
historical_cpu_pilot,0,previous,28494,9.476445445824621e-08,4.056514038094508e-10,0.0042806282812315796,4.3008816190729236e-10,1.004731393737257e-07,1.5011676163202356e-10,0.004280628261518858,1.5465420610816238e-10,9.619064911571075e-19,0.9582755875799147
historical_cpu_pilot,0,failed,28495,5.0807562298816826e-08,8.832970481937031e-10,0.017385149143718567,1.5549033668480529e-09,8.943859808127418e-08,5.962651249483142e-11,0.01738514901512747,9.912048959392905e-11,3.622990331935583e-18,10.62757717226469
prospective_cpu,1,previous,15094,8.117838182694096e-08,1.0039977142538584e-10,0.0012367796593854474,1.1782277119873473e-10,9.526577374120186e-08,4.257246256369161e-11,0.0012367796431882266,5.015760983634321e-11,2.8316218078074154e-19,0.9486936561609993
prospective_cpu,1,failed,15095,3.8846517432928127e-08,6.346814011431664e-10,0.016338180178931065,1.445797585853463e-09,8.849195993797978e-08,3.970073144472959e-11,0.016338180082991375,7.760725395655754e-11,2.9315153179665466e-18,10.689033091380798
prospective_cpu,2,previous,15788,4.759291182470266e-08,1.2104596134212476e-12,2.5433611162092623e-05,3.669460795682377e-13,1.4427604370831553e-08,9.318535662073205e-13,2.5433610116743292e-05,2.3068699728234776e-13,1.1369720505196988e-20,1.1276306483339968
prospective_cpu,2,failed,15789,4.8629553626285784e-08,6.022100925009542e-10,0.012383623693708778,9.577999510702265e-10,7.734407753013484e-08,5.930113675502516e-11,0.012383623613954415,1.0147016560324573e-10,2.2197938441590804e-18,6.580555994302918
prospective_cpu,3,previous,14270,8.989360720692422e-08,1.915027389049958e-12,2.130326558863965e-05,9.971503649070235e-13,4.680739489248878e-08,2.712473436033741e-13,2.1303265474889677e-05,2.3900326162618057e-13,3.602998214067327e-21,1.6679841441309087
prospective_cpu,3,failed,14271,5.041504136445273e-08,5.975720584708541e-10,0.011853051039886634,8.803066826984302e-10,7.42683617691441e-08,4.503391515492221e-11,0.011853050964094001,8.427214481798728e-11,2.04185988728422e-18,6.386083552125493
prospective_cpu,4,previous,15135,5.2751645873787506e-08,1.3950922415300025e-10,0.002644642111959637,2.359438133570082e-10,8.921578170823941e-08,5.925682655064796e-11,0.0026446420880691054,7.079270503140833e-11,5.371882972737908e-19,1.0390486920797195
prospective_cpu,4,failed,15136,4.258001443819341e-08,7.158444060041563e-10,0.01681174643665828,1.3749280615782025e-09,8.178377343237523e-08,3.7135027230973325e-11,0.016811746323751646,8.659439831859572e-11,3.092332496697613e-18,10.186855889143796
