step,train_correct,train_total,train_accuracy,train_accurate_ce32,test_correct,test_total,test_accuracy,test_accurate_ce32,test_accurate_ce64,test_scheduled,grok_confirmed,grok_confirmation_step,joint_failure,elapsed_seconds
0,36,3830,0.009399477806788513,4.866196155548096,78,8939,0.008725808255957042,4.873174667358398,4.87317466914914,True,False,,False,0.09880583290942013
1,35,3830,0.009138381201044387,4.837513446807861,,,,,,False,False,,False,0.18235783302225173
2,35,3830,0.009138381201044387,4.810741901397705,,,,,,False,False,,False,0.2512672080192715
3,39,3830,0.010182767624020888,4.78505802154541,,,,,,False,False,,False,0.32341404096223414
4,37,3830,0.009660574412532636,4.75967264175415,,,,,,False,False,,False,0.39317641593515873
5,51,3830,0.013315926892950391,4.733755111694336,,,,,,False,False,,False,0.47281924984417856
6,75,3830,0.0195822454308094,4.707958221435547,,,,,,False,False,,False,0.5533836248796433
7,100,3830,0.02610966057441253,4.682578086853027,,,,,,False,False,,False,0.6263150409795344
8,128,3830,0.03342036553524804,4.6574015617370605,,,,,,False,False,,False,0.7034968750085682
9,141,3830,0.03681462140992167,4.63130521774292,,,,,,False,False,,False,0.7847170829772949
10,143,3830,0.03733681462140992,4.604612827301025,,,,,,False,False,,False,0.8783933748491108
11,149,3830,0.038903394255874676,4.576877593994141,,,,,,False,False,,False,0.9562919158488512
12,160,3830,0.04177545691906005,4.54722785949707,,,,,,False,False,,False,1.0337379998527467
13,182,3830,0.04751958224543081,4.515270709991455,,,,,,False,False,,False,1.1353317080065608
14,193,3830,0.05039164490861619,4.480801105499268,,,,,,False,False,,False,1.2460627909749746
15,211,3830,0.055091383812010446,4.4433913230896,,,,,,False,False,,False,1.3538198748137802
16,228,3830,0.05953002610966057,4.403432846069336,,,,,,False,False,,False,1.4660432499367744
17,246,3830,0.06422976501305483,4.3620195388793945,,,,,,False,False,,False,1.571376415900886
18,250,3830,0.06527415143603134,4.319657802581787,,,,,,False,False,,False,1.6830865829251707
19,255,3830,0.06657963446475196,4.2763872146606445,,,,,,False,False,,False,1.7973382079508156
20,266,3830,0.06945169712793733,4.232367992401123,,,,,,False,False,,False,1.8788407079409808
21,282,3830,0.07362924281984334,4.187796115875244,,,,,,False,False,,False,1.9511618330143392
22,312,3830,0.0814621409921671,4.143019676208496,,,,,,False,False,,False,2.0254942500032485
23,352,3830,0.09190600522193211,4.098535060882568,,,,,,False,False,,False,2.1001490829512477
24,371,3830,0.09686684073107049,4.05491304397583,,,,,,False,False,,False,2.1809911660384387
25,398,3830,0.10391644908616188,4.01237154006958,,,,,,False,False,,False,2.259049499873072
26,435,3830,0.11357702349869452,3.9709503650665283,,,,,,False,False,,False,2.3365279578138143
27,473,3830,0.12349869451697128,3.93062162399292,,,,,,False,False,,False,2.4164432499092072
28,499,3830,0.13028720626631854,3.8915767669677734,,,,,,False,False,,False,2.5284022078849375
29,522,3830,0.13629242819843343,3.8539745807647705,,,,,,False,False,,False,2.6307269998360425
30,562,3830,0.14673629242819844,3.8177430629730225,,,,,,False,False,,False,2.7430624158587307
31,612,3830,0.1597911227154047,3.78261661529541,,,,,,False,False,,False,2.848543749889359
32,670,3830,0.17493472584856398,3.748471736907959,,,,,,False,False,,False,2.9535328748170286
33,721,3830,0.18825065274151437,3.7147693634033203,,,,,,False,False,,False,3.045251540839672
34,764,3830,0.19947780678851174,3.681203842163086,,,,,,False,False,,False,3.1342901249881834
35,830,3830,0.21671018276762402,3.647749662399292,,,,,,False,False,,False,3.2574617909267545
36,887,3830,0.23159268929503918,3.6143224239349365,,,,,,False,False,,False,3.358480499824509
37,949,3830,0.24778067885117494,3.5814552307128906,,,,,,False,False,,False,3.4572517909109592
38,1001,3830,0.26135770234986944,3.5491204261779785,,,,,,False,False,,False,3.5564849579241127
39,1044,3830,0.27258485639686686,3.519012212753296,,,,,,False,False,,False,3.6518455408513546
40,1108,3830,0.28929503916449084,3.4847841262817383,,,,,,False,False,,False,3.749697499908507
41,1164,3830,0.3039164490861619,3.448493242263794,,,,,,False,False,,False,3.858651415910572
42,1228,3830,0.3206266318537859,3.417353391647339,,,,,,False,False,,False,3.958059374941513
43,1298,3830,0.3389033942558747,3.3692288398742676,,,,,,False,False,,False,4.057740124873817
44,1363,3830,0.3558746736292428,3.334378719329834,,,,,,False,False,,False,4.1545024160295725
45,1400,3830,0.36553524804177545,3.303266763687134,,,,,,False,False,,False,4.259935165988281
46,1524,3830,0.397911227154047,3.2414040565490723,,,,,,False,False,,False,4.377638082951307
47,1564,3830,0.408355091383812,3.2020809650421143,,,,,,False,False,,False,4.4832766249310225
48,1638,3830,0.4276762402088773,3.1659998893737793,,,,,,False,False,,False,4.60204887483269
49,1760,3830,0.4595300261096606,3.0976996421813965,,,,,,False,False,,False,4.7088063328992575
50,1805,3830,0.47127937336814624,3.07318115234375,,,,,,False,False,,False,4.832620457978919
51,1928,3830,0.5033942558746737,3.0035452842712402,,,,,,False,False,,False,4.934855208033696
52,2039,3830,0.5323759791122715,2.9549732208251953,,,,,,False,False,,False,5.039589457912371
53,2058,3830,0.5373368146214099,2.911372184753418,,,,,,False,False,,False,5.161100124940276
54,2228,3830,0.5817232375979112,2.8562285900115967,,,,,,False,False,,False,5.2602292080409825
55,2263,3830,0.5908616187989556,2.8036129474639893,,,,,,False,False,,False,5.359940957976505
56,2428,3830,0.6339425587467363,2.7464354038238525,,,,,,False,False,,False,5.4679964578244835
57,2486,3830,0.6490861618798955,2.6973869800567627,,,,,,False,False,,False,5.56604320788756
58,2638,3830,0.6887728459530026,2.6274936199188232,,,,,,False,False,,False,5.663514249958098
59,2681,3830,0.7,2.588480234146118,,,,,,False,False,,False,5.761865000007674
60,2823,3830,0.7370757180156658,2.521419048309326,,,,,,False,False,,False,5.869062332902104
61,2971,3830,0.7757180156657963,2.4373209476470947,,,,,,False,False,,False,5.975609207991511
62,3009,3830,0.7856396866840731,2.398235321044922,,,,,,False,False,,False,6.072496874956414
63,3109,3830,0.8117493472584857,2.3339035511016846,,,,,,False,False,,False,6.178117583040148
64,3193,3830,0.8336814621409921,2.2657594680786133,,,,,,False,False,,False,6.274124165996909
65,3259,3830,0.8509138381201045,2.2155234813690186,,,,,,False,False,,False,6.371196374995634
66,3367,3830,0.87911227154047,2.1376185417175293,,,,,,False,False,,False,6.469659915892407
67,3405,3830,0.8890339425587467,2.0914578437805176,,,,,,False,False,,False,6.558784999884665
68,3481,3830,0.9088772845953003,2.026968240737915,,,,,,False,False,,False,6.646459375042468
69,3490,3830,0.9112271540469974,1.9846789836883545,,,,,,False,False,,False,6.735126415966079
70,3561,3830,0.9297650130548303,1.9235836267471313,,,,,,False,False,,False,6.833656790899113
71,3584,3830,0.9357702349869451,1.877285122871399,,,,,,False,False,,False,6.927994875004515
72,3647,3830,0.952219321148825,1.8177359104156494,,,,,,False,False,,False,7.016727624926716
73,3665,3830,0.9569190600522193,1.7589354515075684,,,,,,False,False,,False,7.109119332861155
74,3699,3830,0.9657963446475196,1.7124444246292114,,,,,,False,False,,False,7.195755166001618
75,3718,3830,0.970757180156658,1.6477423906326294,,,,,,False,False,,False,7.273625541012734
76,3737,3830,0.9757180156657963,1.609885811805725,,,,,,False,False,,False,7.359821832971647
77,3753,3830,0.9798955613577024,1.5488495826721191,,,,,,False,False,,False,7.472299415851012
78,3757,3830,0.9809399477806788,1.511679768562317,,,,,,False,False,,False,7.58444329095073
79,3782,3830,0.9874673629242819,1.45716392993927,,,,,,False,False,,False,7.703350208001211
80,3778,3830,0.9864229765013055,1.4225152730941772,,,,,,False,False,,False,7.815914165927097
81,3805,3830,0.9934725848563969,1.3584553003311157,,,,,,False,False,,False,7.924947208026424
82,3796,3830,0.9911227154046998,1.3297964334487915,,,,,,False,False,,False,8.03167516598478
