id,file,line,claim,reported,recomputed,status,evidence,note
FU0001,paper/audit/input_source/followup_appendix.tex,22,Adjacent seed 0: Before,95.49,95.4916657344222,PASS,work/basis_study/adjacent_seed0/features.npz,
FU0002,paper/audit/input_source/followup_appendix.tex,22,Adjacent seed 0: Old head/new features,96.39,96.38662042734086,PASS,work/basis_study/adjacent_seed0/features.npz,
FU0003,paper/audit/input_source/followup_appendix.tex,22,Adjacent seed 0: New head/old features,31.86,31.86038706790469,PASS,work/basis_study/adjacent_seed0/features.npz,
FU0004,paper/audit/input_source/followup_appendix.tex,22,Adjacent seed 0: After,31.87,31.871574001566174,PASS,work/basis_study/adjacent_seed0/features.npz,
FU0005,paper/audit/input_source/followup_appendix.tex,16,Adjacent seed 0 heldout size,8939,8939,PASS,work/basis_study/adjacent_seed0/features.npz,
FU0006,paper/audit/input_source/followup_appendix.tex,23,Adjacent seed 1: Before,94.14,94.13804676138271,PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0007,paper/audit/input_source/followup_appendix.tex,23,Adjacent seed 1: Old head/new features,94.18,94.18279449602865,PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0008,paper/audit/input_source/followup_appendix.tex,23,Adjacent seed 1: New head/old features,13.56,13.558563597717866,PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0009,paper/audit/input_source/followup_appendix.tex,23,Adjacent seed 1: After,9.09,9.094977066785994,PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0010,paper/audit/input_source/followup_appendix.tex,16,Adjacent seed 1 heldout size,8939,8939,PASS,work/basis_study/seed1_adjacent_event/features.npz,
FU0011,paper/audit/input_source/followup_appendix.tex,24,Adjacent seed 2: Before,99.99,99.98881306633851,PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0012,paper/audit/input_source/followup_appendix.tex,24,Adjacent seed 2: Old head/new features,100.0,100.0,PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0013,paper/audit/input_source/followup_appendix.tex,24,Adjacent seed 2: New head/old features,1.01,1.006824029533505,PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0014,paper/audit/input_source/followup_appendix.tex,24,Adjacent seed 2: After,0.93,0.928515493903121,PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0015,paper/audit/input_source/followup_appendix.tex,16,Adjacent seed 2 heldout size,8939,8939,PASS,work/basis_study/seed2_adjacent_event/features.npz,
FU0016,paper/audit/input_source/followup_appendix.tex,25,Adjacent seed 3: Before,89.54,89.54021702651303,PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0017,paper/audit/input_source/followup_appendix.tex,25,Adjacent seed 3: Old head/new features,91.01,91.00570533616735,PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0018,paper/audit/input_source/followup_appendix.tex,25,Adjacent seed 3: New head/old features,50.8,50.79986575679606,PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0019,paper/audit/input_source/followup_appendix.tex,25,Adjacent seed 3: After,53.6,53.59659917216691,PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0020,paper/audit/input_source/followup_appendix.tex,16,Adjacent seed 3 heldout size,8939,8939,PASS,work/basis_study/seed3_adjacent_event/features.npz,
FU0021,paper/audit/input_source/followup_appendix.tex,26,Adjacent seed 4: Before,91.34,91.34131334601186,PASS,work/basis_study/adjacent_seed4/features.npz,
FU0022,paper/audit/input_source/followup_appendix.tex,26,Adjacent seed 4: Old head/new features,98.66,98.65756796062199,PASS,work/basis_study/adjacent_seed4/features.npz,
FU0023,paper/audit/input_source/followup_appendix.tex,26,Adjacent seed 4: New head/old features,66.75,66.75243315807138,PASS,work/basis_study/adjacent_seed4/features.npz,
FU0024,paper/audit/input_source/followup_appendix.tex,26,Adjacent seed 4: After,66.33,66.327329678935,PASS,work/basis_study/adjacent_seed4/features.npz,
FU0025,paper/audit/input_source/followup_appendix.tex,16,Adjacent seed 4 heldout size,8939,8939,PASS,work/basis_study/adjacent_seed4/features.npz,
