pair,seed,endpoint,step,condition,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows
adjacent_seed0,0,0,17493,complete_family_with_dc,8939,8939,1.0,1.0,0,8939
adjacent_seed0,0,0,17493,training_donors_only,8939,8939,1.0,1.0,0,8939
adjacent_seed0,0,0,17493,heldout_donors_only,8939,8939,1.0,1.0,0,8939
adjacent_seed0,0,0,17493,heldout_donors_leave_one_out,8939,8939,1.0,1.0,0,8939
adjacent_seed0,0,0,17493,raw,8939,8536,0.9549166573442219,0.9549166573442219,0,8536
adjacent_seed0,0,1,17494,complete_family_with_dc,8939,3196,0.35753439982100904,0.35753439982100904,0,3196
adjacent_seed0,0,1,17494,training_donors_only,8939,4607,0.5153820337845396,0.5153820337845396,0,4607
adjacent_seed0,0,1,17494,heldout_donors_only,8939,2724,0.3047320729388075,0.3047320729388075,0,2724
adjacent_seed0,0,1,17494,heldout_donors_leave_one_out,8939,2723,0.30462020360219266,0.30462020360219266,0,2723
adjacent_seed0,0,1,17494,raw,8939,2849,0.3187157400156617,0.3187157400156617,0,2849
adjacent_seed4,4,0,16055,complete_family_with_dc,8939,8776,0.981765298131782,0.981765298131782,0,8776
adjacent_seed4,4,0,16055,training_donors_only,8939,8862,0.9913860610806577,0.9913860610806577,0,8862
adjacent_seed4,4,0,16055,heldout_donors_only,8939,8776,0.981765298131782,0.981765298131782,0,8776
adjacent_seed4,4,0,16055,heldout_donors_leave_one_out,8939,8776,0.981765298131782,0.981765298131782,0,8776
adjacent_seed4,4,0,16055,raw,8939,8165,0.9134131334601185,0.9134131334601185,0,8165
adjacent_seed4,4,1,16056,complete_family_with_dc,8939,6369,0.712495804899877,0.712495804899877,0,6369
adjacent_seed4,4,1,16056,training_donors_only,8939,6456,0.7222284371853674,0.7222284371853674,0,6456
adjacent_seed4,4,1,16056,heldout_donors_only,8939,6369,0.712495804899877,0.712495804899877,0,6369
adjacent_seed4,4,1,16056,heldout_donors_leave_one_out,8939,6369,0.712495804899877,0.712495804899877,0,6369
adjacent_seed4,4,1,16056,raw,8939,5929,0.66327329678935,0.66327329678935,0,5929
seed1_adjacent_event,1,0,17720,complete_family_with_dc,8939,8939,1.0,1.0,0,8939
seed1_adjacent_event,1,0,17720,training_donors_only,8939,8939,1.0,1.0,0,8939
seed1_adjacent_event,1,0,17720,heldout_donors_only,8939,8939,1.0,1.0,0,8939
seed1_adjacent_event,1,0,17720,heldout_donors_leave_one_out,8939,8939,1.0,1.0,0,8939
seed1_adjacent_event,1,0,17720,raw,8939,8415,0.9413804676138271,0.9413804676138271,0,8415
seed1_adjacent_event,1,1,17721,complete_family_with_dc,8939,243,0.027184248797404633,0.027184248797404633,0,243
seed1_adjacent_event,1,1,17721,training_donors_only,8939,946,0.10582839243763284,0.10582839243763284,0,946
seed1_adjacent_event,1,1,17721,heldout_donors_only,8939,83,0.00928515493903121,0.00928515493903121,0,83
seed1_adjacent_event,1,1,17721,heldout_donors_leave_one_out,8939,83,0.00928515493903121,0.00928515493903121,0,83
seed1_adjacent_event,1,1,17721,raw,8939,813,0.09094977066785993,0.09094977066785993,0,813
seed2_adjacent_event,2,0,18068,complete_family_with_dc,8939,8939,1.0,1.0,0,8939
seed2_adjacent_event,2,0,18068,training_donors_only,8939,8939,1.0,1.0,0,8939
seed2_adjacent_event,2,0,18068,heldout_donors_only,8939,8939,1.0,1.0,0,8939
seed2_adjacent_event,2,0,18068,heldout_donors_leave_one_out,8939,8939,1.0,1.0,0,8939
seed2_adjacent_event,2,0,18068,raw,8939,8938,0.9998881306633851,0.9998881306633851,0,8938
seed2_adjacent_event,2,1,18069,complete_family_with_dc,8939,79,0.008837677592571876,0.008837677592571876,0,79
seed2_adjacent_event,2,1,18069,training_donors_only,8939,79,0.008837677592571876,0.008837677592571876,0,79
seed2_adjacent_event,2,1,18069,heldout_donors_only,8939,79,0.008837677592571876,0.008837677592571876,0,79
seed2_adjacent_event,2,1,18069,heldout_donors_leave_one_out,8939,79,0.008837677592571876,0.008837677592571876,0,79
seed2_adjacent_event,2,1,18069,raw,8939,83,0.00928515493903121,0.00928515493903121,0,83
seed3_adjacent_event,3,0,16307,complete_family_with_dc,8939,8860,0.9911623224074281,0.9911623224074281,0,8860
seed3_adjacent_event,3,0,16307,training_donors_only,8939,8860,0.9911623224074281,0.9911623224074281,0,8860
seed3_adjacent_event,3,0,16307,heldout_donors_only,8939,8860,0.9911623224074281,0.9911623224074281,0,8860
seed3_adjacent_event,3,0,16307,heldout_donors_leave_one_out,8939,8860,0.9911623224074281,0.9911623224074281,0,8860
seed3_adjacent_event,3,0,16307,raw,8939,8004,0.8954021702651304,0.8954021702651304,0,8004
seed3_adjacent_event,3,1,16308,complete_family_with_dc,8939,5997,0.6708804116791588,0.6708804116791588,0,5997
seed3_adjacent_event,3,1,16308,training_donors_only,8939,6459,0.722564045195212,0.722564045195212,0,6459
seed3_adjacent_event,3,1,16308,heldout_donors_only,8939,5836,0.6528694484841705,0.6528694484841705,0,5836
seed3_adjacent_event,3,1,16308,heldout_donors_leave_one_out,8939,5836,0.6528694484841705,0.6528694484841705,0,5836
seed3_adjacent_event,3,1,16308,raw,8939,4791,0.5359659917216691,0.5359659917216691,0,4791
