operation,seed,raw_correct,heldout_n,raw_accuracy,filtered_correct,minimum_donors,maximum_donors,probability_one_uncovered
addition,0,79,8939,0.008837677592571876,8939,21,43,2.552955098298697e-18
addition,1,68,8939,0.007607114889808703,8939,21,45,2.552955098298697e-18
addition,2,79,8939,0.008837677592571876,8939,21,43,2.552955098298697e-18
addition,3,81,8939,0.009061416265801543,8939,23,44,2.552955098298697e-18
addition,4,77,8939,0.008613938919342208,8939,21,45,2.552955098298697e-18
subtraction,0,79,8939,0.008837677592571876,8939,23,45,2.552955098298697e-18
subtraction,1,70,8939,0.007830853563038372,8939,23,45,2.552955098298697e-18
subtraction,2,80,8939,0.00894954692918671,8939,24,52,2.552955098298697e-18
subtraction,3,82,8939,0.009173285602416377,8939,23,46,2.552955098298697e-18
subtraction,4,78,8939,0.008725808255957042,8939,20,48,2.552955098298697e-18
