run,seed,regime,step,event,train_accuracy,test_accuracy,source_csv,sampling_interval
seed0_muon,0,muon,5400,original_grokking_first_of_five,,,runs/seedstudy_muon_seed_0.csv,100
seed1_muon,1,muon,5300,original_grokking_first_of_five,,,runs/seedstudy_muon_seed_1.csv,100
seed1_muon,1,muon,89500,sampled_joint_failure,0.8950391411781311,0.8305179476737976,runs/seedstudy_muon_seed_1.csv,100
seed2_muon,2,muon,5400,original_grokking_first_of_five,,,runs/seedstudy_muon_seed_2.csv,100
seed2_muon,2,muon,89100,sampled_joint_failure,0.26840731501579285,0.16265802085399628,runs/seedstudy_muon_seed_2.csv,100
seed3_muon,3,muon,5400,original_grokking_first_of_five,,,runs/seedstudy_muon_seed_3.csv,100
seed4_muon,4,muon,5400,original_grokking_first_of_five,,,runs/seedstudy_muon_seed_4.csv,100
seed4_muon,4,muon,15500,sampled_joint_failure,0.6684073209762573,0.5779169797897339,runs/seedstudy_muon_seed_4.csv,100
seed4_muon,4,muon,85900,sampled_joint_failure,0.8986945152282715,0.7780512571334839,runs/seedstudy_muon_seed_4.csv,100
seed0_adamw_stable,0,adamw,8800,original_grokking_first_of_five,,,runs/seedstudy_adamw_stable_seed_0.csv,100
seed1_adamw_stable,1,adamw,8300,original_grokking_first_of_five,,,runs/seedstudy_adamw_stable_seed_1.csv,100
seed1_adamw_stable,1,adamw,99700,sampled_joint_failure,0.7618799209594727,0.765633761882782,runs/seedstudy_adamw_stable_seed_1.csv,100
seed2_adamw_stable,2,adamw,4000,original_grokking_first_of_five,,,runs/seedstudy_adamw_stable_seed_2.csv,100
seed2_adamw_stable,2,adamw,22100,sampled_joint_failure,0.5530025959014893,0.5350710153579712,runs/seedstudy_adamw_stable_seed_2.csv,100
seed3_adamw_stable,3,adamw,11700,original_grokking_first_of_five,,,runs/seedstudy_adamw_stable_seed_3.csv,100
seed3_adamw_stable,3,adamw,99200,sampled_joint_failure,0.27284595370292664,0.27586978673934937,runs/seedstudy_adamw_stable_seed_3.csv,100
seed4_adamw_stable,4,adamw,6400,original_grokking_first_of_five,,,runs/seedstudy_adamw_stable_seed_4.csv,100
