cohort,seed,previous_step,failed_step,mask_EHR,correct,total,test_accuracy_percent
historical_cpu_pilot,0,28494,28495,000,8600,8939,96.20762948875714
historical_cpu_pilot,0,28494,28495,001,8600,8939,96.20762948875714
historical_cpu_pilot,0,28494,28495,010,8618,8939,96.40899429466383
historical_cpu_pilot,0,28494,28495,011,8618,8939,96.40899429466383
historical_cpu_pilot,0,28494,28495,100,84,8939,0.9397024275646046
historical_cpu_pilot,0,28494,28495,101,83,8939,0.928515493903121
historical_cpu_pilot,0,28494,28495,110,80,8939,0.8949546929186709
historical_cpu_pilot,0,28494,28495,111,79,8939,0.8837677592571875
prospective_cpu,1,15094,15095,000,8912,8939,99.69795279113994
prospective_cpu,1,15094,15095,001,8913,8939,99.70913972480143
prospective_cpu,1,15094,15095,010,8939,8939,100.0
prospective_cpu,1,15094,15095,011,8939,8939,100.0
prospective_cpu,1,15094,15095,100,144,8939,1.6109184472536078
prospective_cpu,1,15094,15095,101,144,8939,1.6109184472536078
prospective_cpu,1,15094,15095,110,146,8939,1.6332923145765745
prospective_cpu,1,15094,15095,111,146,8939,1.6332923145765745
prospective_cpu,2,15788,15789,000,8939,8939,100.0
prospective_cpu,2,15788,15789,001,8939,8939,100.0
prospective_cpu,2,15788,15789,010,8939,8939,100.0
prospective_cpu,2,15788,15789,011,8939,8939,100.0
prospective_cpu,2,15788,15789,100,4803,8939,53.73084237610472
prospective_cpu,2,15788,15789,101,4803,8939,53.73084237610472
prospective_cpu,2,15788,15789,110,4876,8939,54.54748853339299
prospective_cpu,2,15788,15789,111,4876,8939,54.54748853339299
prospective_cpu,3,14270,14271,000,8939,8939,100.0
prospective_cpu,3,14270,14271,001,8939,8939,100.0
prospective_cpu,3,14270,14271,010,8939,8939,100.0
prospective_cpu,3,14270,14271,011,8939,8939,100.0
prospective_cpu,3,14270,14271,100,5178,8939,57.925942499160975
prospective_cpu,3,14270,14271,101,5178,8939,57.925942499160975
prospective_cpu,3,14270,14271,110,5619,8939,62.85938024387515
prospective_cpu,3,14270,14271,111,5619,8939,62.85938024387515
prospective_cpu,4,15135,15136,000,8749,8939,97.87448260431816
prospective_cpu,4,15135,15136,001,8749,8939,97.87448260431816
prospective_cpu,4,15135,15136,010,8792,8939,98.35552075176194
prospective_cpu,4,15135,15136,011,8797,8939,98.41145542006936
prospective_cpu,4,15135,15136,100,94,8939,1.0515717641794384
prospective_cpu,4,15135,15136,101,94,8939,1.0515717641794384
prospective_cpu,4,15135,15136,110,92,8939,1.0291978968564717
prospective_cpu,4,15135,15136,111,92,8939,1.0291978968564717
