step,regime,modulus,train_fraction,d_model,num_heads,d_mlp,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,adamw,113,0.3,128,4,512,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,adamw,113,0.3,128,4,512,0.10208219289779663,0.9981723427772522,17.51140785217285,0.0011186933843418956,36.73955422521914,99.47146369597269,12.793334007263184,0.29589657321679774,0.04068337505548437,0.08619371801614761,nan,nan,0,0,0,
200,adamw,113,0.3,128,4,512,0.04021403193473816,1.0,15.32698917388916,0.0011186933843418956,38.91287663714892,78.39791320037979,13.136834144592285,0.08924253118943776,0.018802118038770108,0.01771354489028454,nan,nan,0,0,0,
300,adamw,113,0.3,128,4,512,0.029632719233632088,1.0,14.596678733825684,0.0011186933843418956,41.84925635981297,63.85451798989829,13.351722717285156,0.04613656821061885,0.014347970634449205,0.01370320376008749,nan,nan,0,0,0,
400,adamw,113,0.3,128,4,512,0.023417461663484573,1.0,14.50770378112793,0.0011186933843418956,45.036309953060005,53.924429430387164,13.476954460144043,0.029284412262185974,0.01336012342685549,0.011193891987204552,nan,nan,0,0,0,
500,adamw,113,0.3,128,4,512,0.019260790199041367,1.0,14.692822456359863,0.0013424319913610816,47.96169956931551,47.25721890887571,13.52281379699707,0.03260649358790199,0.015729238554683996,0.009463658556342125,nan,nan,0,0,0,
600,adamw,113,0.3,128,4,512,0.01624201610684395,1.0,15.017461776733398,0.0008949547191150486,50.12215848221327,42.833090134937095,13.516845703125,0.021213312341081994,0.010230634487235244,0.008189749903976917,nan,nan,0,0,0,
700,adamw,113,0.3,128,4,512,0.013911206275224686,1.0,15.350495338439941,0.0011186933843418956,51.64025015101221,39.88290129993003,13.471969604492188,0.01661886538675879,0.00908427627380001,0.007186548318713903,nan,nan,0,0,0,
800,adamw,113,0.3,128,4,512,0.011850825510919094,1.0,15.678565979003906,0.0017899094382300973,52.994544390791056,37.83197189197678,13.380677223205566,0.018280079039574546,0.01291405671709714,0.006341701373457909,nan,nan,0,0,0,
900,adamw,113,0.3,128,4,512,0.010435507632791996,1.0,16.075403213500977,0.0017899094382300973,54.765060769965096,36.334570662788586,13.257226943969727,0.010036800485023045,0.005241128867728332,0.005692148115485907,nan,nan,0,0,0,
1000,adamw,113,0.3,128,4,512,0.009273849427700043,1.0,16.458816528320312,0.0016780400183051825,55.8617331074392,35.2754674902729,13.162810325622559,0.008834686289700895,0.004193536644438219,0.005164471920579672,nan,nan,0,0,0,
1100,adamw,113,0.3,128,4,512,0.008303406648337841,1.0,16.77972984313965,0.0016780400183051825,56.504091336742206,34.47436695204227,13.079973220825195,0.009203899344452806,0.007104402277093275,0.004710852168500423,nan,nan,0,0,0,
1200,adamw,113,0.3,128,4,512,0.007479660212993622,1.0,17.074140548706055,0.002461125375702977,56.92897906199303,33.837074801572335,13.007856369018555,0.007520044787086988,0.004294088254640733,0.004317382350564003,nan,nan,0,0,0,
1300,adamw,113,0.3,128,4,512,0.006786782760173082,1.0,17.324312210083008,0.002349256072193384,57.18379726460866,33.317205827438315,12.946000099182129,0.007726413944177737,0.005934648033455254,0.003984879236668348,nan,nan,0,0,0,
1400,adamw,113,0.3,128,4,512,0.006191503722220659,1.0,17.554340362548828,0.002237386768683791,57.31142054788932,32.878700593181215,12.896624565124512,0.007848609926290898,0.006399560842498926,0.003688030643388629,nan,nan,0,0,0,
1500,adamw,113,0.3,128,4,512,0.005679581314325333,1.0,17.77316665649414,0.0027967335190624,57.349147635047835,32.50130858818919,12.857049942016602,0.008134953332744515,0.006301149896630131,0.0034294561482965946,nan,nan,0,0,0,
1600,adamw,113,0.3,128,4,512,0.005224135704338551,1.0,17.970508575439453,0.002461125375702977,57.32391248443042,32.17629558914515,12.82591438293457,0.005249402175613426,0.0031267077578892976,0.003188368631526828,nan,nan,0,0,0,
1700,adamw,113,0.3,128,4,512,0.004820771515369415,1.0,18.15319061279297,0.002684863982722163,57.264224361589704,31.885842164276607,12.803196907043457,0.005471919037084252,0.004482318568556236,0.002975484589114785,nan,nan,0,0,0,
1800,adamw,113,0.3,128,4,512,0.004465957172214985,1.0,18.34181785583496,0.002461125375702977,57.168668582143965,31.628383912461953,12.785747528076172,0.006120502219087525,0.005109888517103554,0.0027864330913871527,nan,nan,0,0,0,
1900,adamw,113,0.3,128,4,512,0.004145943559706211,1.0,18.494613647460938,0.002684863982722163,57.06935544482684,31.39760619077755,12.773775100708008,0.004942028764617833,0.003743269914198026,0.00261132069863379,nan,nan,0,0,0,
2000,adamw,113,0.3,128,4,512,0.003860133932903409,1.0,18.646163940429688,0.003020472126081586,56.96851126711207,31.189491074912368,12.766218185424805,0.004691345295503313,0.003941880677311299,0.0024508812930434942,nan,nan,0,0,0,
2100,adamw,113,0.3,128,4,512,0.003597116330638528,1.0,18.78271484375,0.002684863982722163,56.85955962809312,31.002713907430756,12.762615203857422,0.0037750167949411645,0.0023467175828992895,0.0023025907576084137,nan,nan,0,0,0,
2200,adamw,113,0.3,128,4,512,0.0033620051108300686,1.0,18.899085998535156,0.002684863982722163,56.73333683956262,30.832485819403292,12.762630462646484,0.003907920199762072,0.0032334119195030725,0.0021678835619241,nan,nan,0,0,0,
2300,adamw,113,0.3,128,4,512,0.0031473697163164616,1.0,19.017601013183594,0.00257299467921257,56.62525552712971,30.675544435261223,12.765867233276367,0.003518835190931706,0.0025627777417080717,0.002042357111349702,nan,nan,0,0,0,
2400,adamw,113,0.3,128,4,512,0.0029492818284779787,1.0,19.128416061401367,0.002237386768683791,56.52582681158127,30.533944294730734,12.770184516906738,0.0031816776982877453,0.0025000766069450666,0.0019268917385488749,nan,nan,0,0,0,
2500,adamw,113,0.3,128,4,512,0.002770568709820509,1.0,19.2424259185791,0.002237386768683791,56.43313085017075,30.403359940127853,12.777973175048828,0.0033521855917162833,0.0031021451867660815,0.0018222547369077802,nan,nan,0,0,0,
2600,adamw,113,0.3,128,4,512,0.0026020100340247154,1.0,19.378643035888672,0.002461125375702977,56.35519935183072,30.284554793267233,12.7889404296875,0.0036479140759582453,0.003327467533678022,0.001723382854834199,nan,nan,0,0,0,
2700,adamw,113,0.3,128,4,512,0.0024496805854141712,1.0,19.49809455871582,0.002461125375702977,56.270258049540296,30.173223755022725,12.800004959106445,0.003226294238949373,0.003230075904754433,0.001627699937671423,nan,nan,0,0,0,
2800,adamw,113,0.3,128,4,512,0.0023057740181684494,1.0,19.60672378540039,0.002684863982722163,56.190256493924466,30.072114596817023,12.811967849731445,0.0026684490677091523,0.0020554024533587065,0.0015404176665470004,nan,nan,0,0,0,
2900,adamw,113,0.3,128,4,512,0.002171032829210162,1.0,19.698810577392578,0.00257299467921257,56.117745662681536,29.982028738412538,12.82531452178955,0.002770268480016233,0.0022017336004282522,0.001459578052163124,nan,nan,0,0,0,
3000,adamw,113,0.3,128,4,512,0.002047839341685176,1.0,19.780136108398438,0.002461125375702977,56.03792335244219,29.896267761857654,12.837727546691895,0.00268072681768148,0.0026516362121038104,0.001381519716233015,nan,nan,0,0,0,
3100,adamw,113,0.3,128,4,512,0.0019313674420118332,1.0,19.88181495666504,0.002684863982722163,55.95102691846263,29.816400324831257,12.851029396057129,0.0021359059068315226,0.001760782780905483,0.0013095345348119736,nan,nan,0,0,0,
3200,adamw,113,0.3,128,4,512,0.0018231348367407918,1.0,19.975521087646484,0.002908602822571993,55.85042806491596,29.741365315586627,12.864919662475586,0.0020911066185061947,0.00173463518109856,0.001242340891622007,nan,nan,0,0,0,
3300,adamw,113,0.3,128,4,512,0.001723003457300365,1.0,20.056415557861328,0.003020472126081586,55.754339274094136,29.675167870701937,12.877665519714355,0.0021660347231316265,0.002136580492296741,0.0011797694023698568,nan,nan,0,0,0,
3400,adamw,113,0.3,128,4,512,0.0016264980658888817,1.0,20.138078689575195,0.003020472126081586,55.652650604262305,29.611449061259712,12.890883445739746,0.001809196180860515,0.0014534278429160497,0.0011191419325768948,nan,nan,0,0,0,
3500,adamw,113,0.3,128,4,512,0.0015369518660008907,1.0,20.217397689819336,0.003132341429591179,55.54958920757199,29.552919794053008,12.903743743896484,0.001690621064521232,0.0011527979716483058,0.0010629188036546111,nan,nan,0,0,0,
3600,adamw,113,0.3,128,4,512,0.0014535044319927692,1.0,20.27058982849121,0.003467949340119958,55.44687627319678,29.499143276155483,12.916351318359375,0.0016306531323869332,0.0012096395909838473,0.001009143772535026,nan,nan,0,0,0,
3700,adamw,113,0.3,128,4,512,0.0013747088378295302,1.0,20.31723403930664,0.0036916881799697876,55.330427446653445,29.444396587195865,12.927522659301758,0.0015955231227843599,0.0011076417169704476,0.0009592112619429827,nan,nan,0,0,0,
3800,adamw,113,0.3,128,4,512,0.0013007005909457803,1.0,20.347591400146484,0.0036916881799697876,55.218201324663326,29.387865617900438,12.93687915802002,0.0016837899144673274,0.0014121626206978592,0.0009119344176724553,nan,nan,0,0,0,
3900,adamw,113,0.3,128,4,512,0.0012307206634432077,1.0,20.364347457885742,0.0035798188764601946,55.113307634291935,29.333632853322953,12.945408821105957,0.0014147411752897586,0.001294647902182558,0.0008675317512825131,nan,nan,0,0,0,
4000,adamw,113,0.3,128,4,512,0.0011637866264209151,1.0,20.369384765625,0.003356080036610365,55.00373142391104,29.28263582000813,12.952372550964355,0.0013170731810932198,0.0010718795180280271,0.0008243974880315363,nan,nan,0,0,0,
4100,adamw,113,0.3,128,4,512,0.0011011549504473805,1.0,20.343955993652344,0.003356080036610365,54.896068354873314,29.23294781781514,12.95691204071045,0.0013209741136643994,0.0010378417068088916,0.000784129835665226,nan,nan,0,0,0,
4200,adamw,113,0.3,128,4,512,0.0010415748693048954,1.0,20.291292190551758,0.00413916539400816,54.787129240313135,29.184246111394415,12.959918022155762,0.0012874254141267511,0.0014293274822401393,0.0007452744175679982,nan,nan,0,0,0,
4300,adamw,113,0.3,128,4,512,0.000984937185421586,1.0,20.227083206176758,0.004586642608046532,54.677205377245635,29.135787203017014,12.961441040039062,0.0011465381911159088,0.0008046504870138952,0.0007077924092300236,nan,nan,0,0,0,
4400,adamw,113,0.3,128,4,512,0.0009311797912232578,1.0,20.11434555053711,0.004586642608046532,54.56394739112601,29.08548576157783,12.959997177124023,0.0010705130839164464,0.0007958437834524372,0.0006731372559443116,nan,nan,0,0,0,
4500,adamw,113,0.3,128,4,512,0.0008797193295322359,1.0,19.932241439819336,0.005034120287746191,54.44123184772659,29.02991754822909,12.953719139099121,0.0010170087137900054,0.0007406303035878292,0.0006389607442542911,nan,nan,0,0,0,
4600,adamw,113,0.3,128,4,512,0.0008314362494274974,1.0,19.67630958557129,0.005929074715822935,54.3094386890117,28.971464155210132,12.941354751586914,0.0010002431222966752,0.0007727283917311928,0.0006071754032745957,nan,nan,0,0,0,
4700,adamw,113,0.3,128,4,512,0.0007848931127227843,1.0,19.382474899291992,0.0063765523955225945,54.15306203595251,28.903702178239612,12.92537784576416,0.0009158163241871918,0.0006425149171806924,0.0005769443814642727,nan,nan,0,0,0,
