run_name,learning_rate,weight_decay,seed,steps,csv_path,checkpoint_directory,final_checkpoint,sustained_99p9_train_step,sustained_95_test_step,memorization_plateau_steps,first_99_test_step,first_100_test_step,maximum_test_accuracy,final_test_accuracy,minimum_post_grokking_test_accuracy,post_grokking_below_95_count,post_grokking_below_90_count,stable_after_grokking
adamw_sweep_lr_3em4_wd_0p1_seed_0,0.0003,0.1,0,100000,runs/adamw_sweep_lr_3em4_wd_0p1_seed_0.csv,checkpoints/adamw_sweep_lr_3em4_wd_0p1_seed_0,checkpoints/adamw_sweep_lr_3em4_wd_0p1_seed_0/step_100000.pt,800.0,,,,,0.0083902003243565,0.0015661707147955,,,,False
adamw_sweep_lr_3em4_wd_1p0_seed_0,0.0003,1.0,0,100000,runs/adamw_sweep_lr_3em4_wd_1p0_seed_0.csv,checkpoints/adamw_sweep_lr_3em4_wd_1p0_seed_0,checkpoints/adamw_sweep_lr_3em4_wd_1p0_seed_0/step_100000.pt,800.0,,,,,0.0146548831835389,0.0143192755058407,,,,False
adamw_sweep_lr_3em4_wd_3p0_seed_0,0.0003,3.0,0,100000,runs/adamw_sweep_lr_3em4_wd_3p0_seed_0.csv,checkpoints/adamw_sweep_lr_3em4_wd_3p0_seed_0,checkpoints/adamw_sweep_lr_3em4_wd_3p0_seed_0/step_100000.pt,700.0,25500.0,24800.0,25700.0,26000.0,1.0,1.0,0.9567065834999084,0.0,0.0,True
adamw_sweep_lr_1em3_wd_0p1_seed_0,0.001,0.1,0,100000,runs/adamw_sweep_lr_1em3_wd_0p1_seed_0.csv,checkpoints/adamw_sweep_lr_1em3_wd_0p1_seed_0,checkpoints/adamw_sweep_lr_1em3_wd_0p1_seed_0/step_100000.pt,200.0,,,,,0.0108513254672288,0.0104038482531905,,,,False
adamw_sweep_lr_1em3_wd_1p0_seed_0,0.001,1.0,0,100000,runs/adamw_sweep_lr_1em3_wd_1p0_seed_0.csv,checkpoints/adamw_sweep_lr_1em3_wd_1p0_seed_0,checkpoints/adamw_sweep_lr_1em3_wd_1p0_seed_0/step_100000.pt,200.0,52500.0,52300.0,52900.0,53800.0,1.0,1.0,0.9648730158805848,0.0,0.0,True
adamw_sweep_lr_1em3_wd_3p0_seed_0,0.001,3.0,0,100000,runs/adamw_sweep_lr_1em3_wd_3p0_seed_0.csv,checkpoints/adamw_sweep_lr_1em3_wd_3p0_seed_0,checkpoints/adamw_sweep_lr_1em3_wd_3p0_seed_0/step_100000.pt,300.0,8200.0,7900.0,8400.0,8500.0,1.0,1.0,0.9501062631607056,0.0,0.0,True
adamw_sweep_lr_3em3_wd_0p1_seed_0,0.003,0.1,0,100000,runs/adamw_sweep_lr_3em3_wd_0p1_seed_0.csv,checkpoints/adamw_sweep_lr_3em3_wd_0p1_seed_0,checkpoints/adamw_sweep_lr_3em3_wd_0p1_seed_0/step_100000.pt,200.0,49500.0,49300.0,50400.0,52200.0,1.0,1.0,0.1325651705265045,2.0,2.0,False
adamw_sweep_lr_3em3_wd_1p0_seed_0,0.003,1.0,0,100000,runs/adamw_sweep_lr_3em3_wd_1p0_seed_0.csv,checkpoints/adamw_sweep_lr_3em3_wd_1p0_seed_0,checkpoints/adamw_sweep_lr_3em3_wd_1p0_seed_0/step_100000.pt,200.0,8500.0,8300.0,8600.0,8800.0,1.0,1.0,0.5371965765953064,4.0,4.0,False
adamw_sweep_lr_1em2_wd_0p1_seed_0,0.01,0.1,0,100000,runs/adamw_sweep_lr_1em2_wd_0p1_seed_0.csv,checkpoints/adamw_sweep_lr_1em2_wd_0p1_seed_0,checkpoints/adamw_sweep_lr_1em2_wd_0p1_seed_0/step_100000.pt,400.0,62900.0,62500.0,80700.0,80900.0,1.0,0.0079427231103181,0.0053697279654443,258.0,255.0,False
adamw_sweep_lr_1em2_wd_1p0_seed_0,0.01,1.0,0,100000,runs/adamw_sweep_lr_1em2_wd_1p0_seed_0.csv,checkpoints/adamw_sweep_lr_1em2_wd_1p0_seed_0,checkpoints/adamw_sweep_lr_1em2_wd_1p0_seed_0/step_100000.pt,700.0,6300.0,5600.0,4800.0,,0.9976507425308228,0.3681619763374328,0.0041391653940081,918.0,915.0,False
adamw_sweep_lr_1em2_wd_3p0_seed_0,0.01,3.0,0,100000,runs/adamw_sweep_lr_1em2_wd_3p0_seed_0.csv,checkpoints/adamw_sweep_lr_1em2_wd_3p0_seed_0,checkpoints/adamw_sweep_lr_1em2_wd_3p0_seed_0/step_100000.pt,,,,,,0.0099563710391521,0.0078308535739779,,,,False
