comparison_type,run,depth,regime,target_role,target_step,target_checkpoint,reference_role,reference_step,reference_checkpoint,hidden_source,readout_source,target_baseline_accuracy,reference_baseline_accuracy,readout_weight_cosine,full_hidden_spectral_power_cosine,intervention_accuracy
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,target_full,target_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,0.9948312044143677
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,target_full,reference_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,0.9947529435157776
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,reference_full,target_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,1.0
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,reference_full,reference_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,1.0
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,target_addition_only,target_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,1.0
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,target_addition_only,reference_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,1.0
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,reference_addition_only,target_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,1.0
within_run_reference,addition_depth1_muon,1,muon,first_generalized,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,reference_addition_only,reference_readout,0.9948312044143677,1.0,0.999960720539093,0.7067331671714783,1.0
within_run_reference,addition_depth1_muon,1,muon,minimum_after_first_generalized,18000,checkpoints/addition_depth_1_muon_seed_0/step_018000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,target_full,target_readout,0.8830761909484863,1.0,0.5173917412757874,0.5909314751625061,0.8830761909484863
within_run_reference,addition_depth1_muon,1,muon,minimum_after_first_generalized,18000,checkpoints/addition_depth_1_muon_seed_0/step_018000.pt,maximum_accuracy_reference,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,target_full,reference_readout,0.8830761909484863,1.0,0.5173917412757874,0.5909314751625061,0.014958101324737072
