run,depth,regime,step,checkpoint,train_loss,train_accuracy,test_loss,test_accuracy,full_accuracy,first_layer_with_95pct_direct_readout,final_sum_explained_variance,final_dc_power_fraction_total,final_dc_power_fraction_non_dc,final_addition_power_fraction_total,final_addition_power_fraction_non_dc,final_subtraction_power_fraction_total,final_subtraction_power_fraction_non_dc,final_a_only_power_fraction_total,final_a_only_power_fraction_non_dc,final_b_only_power_fraction_total,final_b_only_power_fraction_non_dc,final_generic_interaction_power_fraction_total,final_generic_interaction_power_fraction_non_dc,final_dominant_non_dc_family,final_dominant_non_dc_family_fraction,final_top_1_non_dc_pair_power_fraction,final_top_5_non_dc_pair_power_fraction,final_top_10_non_dc_pair_power_fraction,final_top_20_non_dc_pair_power_fraction,final_normalized_non_dc_pair_entropy,final_effective_non_dc_pair_count,final_top_non_dc_mode_pairs
addition_depth1_muon,1,muon,0,checkpoints/addition_depth_1_muon_seed_0/step_000000.pt,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,0.008144725114107132,nan,0.0002689361572265625,0.9842307001528217,nan,4.241491571007859e-06,0.0002689714579665887,2.439559683325413e-06,0.00015470310711112104,0.009616052977737771,0.6097958102723513,0.005906336276862023,0.3745465134217022,0.00024059316078461855,0.015257060434910114,a_only,0.6097958102723513,0.014644362216752698,0.06902862227217013,0.13314018238907036,0.2517029758259175,0.5503597863230488,124.21387303673757,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(14,0)/(99,0):a_only|(55,0)/(58,0):a_only|(41,0)/(72,0):a_only|(7,0)/(106,0):a_only|(12,0)/(101,0):a_only|(6,0)/(107,0):a_only|(26,0)/(87,0):a_only|(23,0)/(90,0):a_only|(25,0)/(88,0):a_only|(48,0)/(65,0):a_only|(27,0)/(86,0):a_only|(1,0)/(112,0):a_only|(35,0)/(78,0):a_only|(32,0)/(81,0):a_only|(13,0)/(100,0):a_only|(11,0)/(102,0):a_only|(10,0)/(103,0):a_only"
addition_depth1_muon,1,muon,5000,checkpoints/addition_depth_1_muon_seed_0/step_005000.pt,4.589712148117542e-07,1.0,1.0067458152770996,0.7938247919082642,0.8556660413742065,nan,0.18602991104125977,0.8745827158570297,nan,0.023331355905300964,0.18602982886078306,0.004980225291597117,0.03970924203652724,0.0389932265514751,0.31090791686275476,0.03975138084199289,0.31695297114453563,0.01836103273663711,0.14639954023965568,b_only,0.31695297114453563,0.021909287100188007,0.0823902096013764,0.13582919773654162,0.21814484429411485,0.6792671292333629,384.30365589017737,"(1,1)/(112,112):addition|(11,11)/(102,102):addition|(20,20)/(93,93):addition|(43,43)/(70,70):addition|(52,52)/(61,61):addition|(6,6)/(107,107):addition|(0,20)/(0,93):b_only|(0,43)/(0,70):b_only|(20,0)/(93,0):a_only|(43,0)/(70,0):a_only|(56,56)/(57,57):addition|(0,1)/(0,112):b_only|(1,0)/(112,0):a_only|(0,42)/(0,71):b_only|(0,56)/(0,57):b_only|(0,11)/(0,102):b_only|(56,0)/(57,0):a_only|(42,0)/(71,0):a_only|(11,0)/(102,0):a_only|(0,52)/(0,61):b_only"
addition_depth1_muon,1,muon,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt,7.05426600688952e-06,1.0,0.05889463052153587,0.9926166534423828,0.9948312044143677,1,0.2944575548171997,0.23131338684115277,nan,0.22634559482656205,0.2944575734139763,0.0489971256024199,0.06374135410147277,0.1946770803650229,0.25325936087922135,0.19497829031412098,0.25365121100896443,0.10368851772373826,0.13489049496730507,addition,0.2944575734139763,0.014403019716030582,0.063924305590143,0.11158823102464115,0.18792636682247305,0.6835416171113241,398.96917190249474,"(43,43)/(70,70):addition|(11,11)/(102,102):addition|(52,52)/(61,61):addition|(1,1)/(112,112):addition|(20,20)/(93,93):addition|(6,6)/(107,107):addition|(56,56)/(57,57):addition|(48,48)/(65,65):addition|(28,28)/(85,85):addition|(47,47)/(66,66):addition|(39,39)/(74,74):addition|(22,22)/(91,91):addition|(55,55)/(58,58):addition|(17,17)/(96,96):addition|(42,42)/(71,71):addition|(0,22)/(0,91):b_only|(22,0)/(91,0):a_only|(26,26)/(87,87):addition|(37,37)/(76,76):addition|(8,8)/(105,105):addition"
addition_depth1_muon,1,muon,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt,5.934330147283617e-06,1.0,0.005317946430295706,1.0,1.0,1,0.39049673080444336,0.03707021813943493,nan,0.37602090882869865,0.3904967069376067,0.08065619428894996,0.08376124179387902,0.20129117897340948,0.20904035036124474,0.2013780867182003,0.20913060382149484,0.10358342134719681,0.10757110570103436,addition,0.3904967069376067,0.011184702707031754,0.05386481647015719,0.10554601353326341,0.20348614953134023,0.660602919164975,326.3288444719868,"(1,1)/(112,112):addition|(3,3)/(110,110):addition|(48,48)/(65,65):addition|(39,39)/(74,74):addition|(28,28)/(85,85):addition|(45,45)/(68,68):addition|(5,5)/(108,108):addition|(47,47)/(66,66):addition|(21,21)/(92,92):addition|(56,56)/(57,57):addition|(22,22)/(91,91):addition|(42,42)/(71,71):addition|(13,13)/(100,100):addition|(9,9)/(104,104):addition|(37,37)/(76,76):addition|(17,17)/(96,96):addition|(8,8)/(105,105):addition|(29,29)/(84,84):addition|(27,27)/(86,86):addition|(20,20)/(93,93):addition"
addition_depth1_muon,1,muon,17000,checkpoints/addition_depth_1_muon_seed_0/step_017000.pt,1.6798234980797133e-07,1.0,0.0011047235457226634,0.9997762441635132,0.9998433589935303,1,0.40590959787368774,0.9250805687358183,nan,0.03041041572011912,0.4059082564693477,0.00358264773216964,0.04782000706247316,0.01577097945541775,0.2105058619546371,0.015716804825705113,0.2097827567628531,0.00943832345818921,0.12597964638716622,addition,0.4059082564693477,0.041085851108696184,0.15500984476571886,0.22006120406674803,0.3133099675713075,0.648193763381384,292.70994144312573,"(29,29)/(84,84):addition|(43,43)/(70,70):addition|(11,11)/(102,102):addition|(6,6)/(107,107):addition|(56,56)/(57,57):addition|(7,7)/(106,106):addition|(6,0)/(107,0):a_only|(0,6)/(0,107):b_only|(56,0)/(57,0):a_only|(0,56)/(0,57):b_only|(48,48)/(65,65):addition|(11,0)/(102,0):a_only|(0,11)/(0,102):b_only|(25,25)/(88,88):addition|(29,0)/(84,0):a_only|(0,29)/(0,84):b_only|(38,38)/(75,75):addition|(52,52)/(61,61):addition|(21,21)/(92,92):addition|(43,0)/(70,0):a_only"
addition_depth1_muon,1,muon,18000,checkpoints/addition_depth_1_muon_seed_0/step_018000.pt,1.0809760198071672e-07,1.0,2.3538975715637207,0.8329790830612183,0.8830761909484863,nan,0.16559362411499023,0.983808633441215,nan,0.0026811976694927843,0.16559427888673453,0.0005373606366390427,0.03318809655059575,0.005510208363869005,0.3403176837398772,0.005439415638852466,0.33594543234531354,0.00202325310993436,0.12495876136141218,a_only,0.3403176837398772,0.016657674286050694,0.07051945178319123,0.12478282143464015,0.2176803713183405,0.6603302428659109,325.55015351980046,"(7,0)/(106,0):a_only|(0,7)/(0,106):b_only|(48,0)/(65,0):a_only|(0,48)/(0,65):b_only|(1,0)/(112,0):a_only|(0,1)/(0,112):b_only|(38,0)/(75,0):a_only|(0,38)/(0,75):b_only|(20,0)/(93,0):a_only|(0,20)/(0,93):b_only|(56,0)/(57,0):a_only|(0,56)/(0,57):b_only|(25,0)/(88,0):a_only|(0,25)/(0,88):b_only|(42,0)/(71,0):a_only|(0,42)/(0,71):b_only|(43,43)/(70,70):addition|(7,7)/(106,106):addition|(21,0)/(92,0):a_only|(8,0)/(105,0):a_only"
addition_depth1_muon,1,muon,25000,checkpoints/addition_depth_1_muon_seed_0/step_025000.pt,4.575664206640795e-05,1.0,0.0023736292496323586,0.9998881220817566,0.9999216794967651,1,0.29405808448791504,0.2032459619559477,nan,0.23429205301120717,0.29405820961496215,0.05362276376214304,0.06730153116097196,0.22925072576624378,0.2877308773615453,0.2290620239067462,0.2874940390640371,0.05052653750057336,0.06341548065546694,addition,0.29405820961496215,0.010412701555181174,0.04757691003194091,0.08956530991132156,0.168999470477541,0.6252900524941786,239.48963695760816,"(15,0)/(98,0):a_only|(0,15)/(0,98):b_only|(43,43)/(70,70):addition|(56,0)/(57,0):a_only|(0,56)/(0,57):b_only|(38,0)/(75,0):a_only|(0,38)/(0,75):b_only|(11,11)/(102,102):addition|(23,23)/(90,90):addition|(40,40)/(73,73):addition|(8,8)/(105,105):addition|(48,48)/(65,65):addition|(56,56)/(57,57):addition|(53,0)/(60,0):a_only|(37,37)/(76,76):addition|(0,53)/(0,60):b_only|(23,0)/(90,0):a_only|(0,23)/(0,90):b_only|(16,16)/(97,97):addition|(13,0)/(100,0):a_only"
addition_depth1_muon,1,muon,50000,checkpoints/addition_depth_1_muon_seed_0/step_050000.pt,3.679612063933746e-07,1.0,0.1328430026769638,0.9664391875267029,0.9765055775642395,1,0.13711333274841309,0.6364302915201256,nan,0.04985025957101766,0.1371133469271881,0.010622011213731639,0.029215886158787695,0.11045321492543969,0.30380202846726956,0.11056117411821417,0.3040989706774055,0.08208302445715361,0.22576970122277767,b_only,0.3040989706774055,0.013051763862890517,0.056499794154342295,0.09688409587059586,0.16598241802314184,0.7260287856894643,578.9045485420886,"(0,3)/(0,110):b_only|(3,0)/(110,0):a_only|(0,5)/(0,108):b_only|(5,0)/(108,0):a_only|(0,36)/(0,77):b_only|(36,0)/(77,0):a_only|(0,8)/(0,105):b_only|(8,0)/(105,0):a_only|(0,42)/(0,71):b_only|(42,0)/(71,0):a_only|(0,52)/(0,61):b_only|(52,0)/(61,0):a_only|(0,15)/(0,98):b_only|(0,44)/(0,69):b_only|(15,0)/(98,0):a_only|(44,0)/(69,0):a_only|(55,0)/(58,0):a_only|(0,55)/(0,58):b_only|(0,2)/(0,111):b_only|(2,0)/(111,0):a_only"
addition_depth1_muon,1,muon,72000,checkpoints/addition_depth_1_muon_seed_0/step_072000.pt,1.0956048157595433e-07,1.0,0.007500280160456896,0.9986575841903687,0.9990602135658264,1,0.18856245279312134,0.98384507039838,nan,0.00304621818192393,0.18856276424865684,0.00040235521223244973,0.02490603315238839,0.004959961273266631,0.3070246293595259,0.004955776241861932,0.3067655733618891,0.0027906426132499325,0.17274248059676348,a_only,0.3070246293595259,0.02534412095059127,0.09949514551273471,0.1614575204778285,0.252624355082546,0.6827816682532468,396.32152771284956,"(56,0)/(57,0):a_only|(0,56)/(0,57):b_only|(48,0)/(65,0):a_only|(0,48)/(0,65):b_only|(48,48)/(65,65):addition|(0,38)/(0,75):b_only|(38,0)/(75,0):a_only|(20,0)/(93,0):a_only|(0,20)/(0,93):b_only|(15,0)/(98,0):a_only|(0,15)/(0,98):b_only|(24,0)/(89,0):a_only|(0,24)/(0,89):b_only|(5,5)/(108,108):addition|(37,0)/(76,0):a_only|(0,37)/(0,76):b_only|(5,0)/(108,0):a_only|(0,5)/(0,108):b_only|(7,0)/(106,0):a_only|(0,7)/(0,106):b_only"
addition_depth1_muon,1,muon,75000,checkpoints/addition_depth_1_muon_seed_0/step_075000.pt,0.0003053182445000857,1.0,0.1173168197274208,0.9854570031166077,0.9898191094398499,1,0.16816234588623047,0.31651138535074386,nan,0.11493708806424402,0.16816240329508042,0.04509676242166431,0.06598026866154381,0.21652281255175632,0.31679066470312556,0.21667472012261832,0.3170129179603213,0.090257227778843,0.13205373995170355,b_only,0.3170129179603213,0.03982404744199442,0.1485217229868927,0.2212422108766523,0.3118374694944594,0.6427636035699165,279.1098802432043,"(38,38)/(75,75):addition|(0,38)/(0,75):b_only|(38,0)/(75,0):a_only|(38,75)/(75,38):subtraction|(2,0)/(111,0):a_only|(0,2)/(0,111):b_only|(0,20)/(0,93):b_only|(20,0)/(93,0):a_only|(0,25)/(0,88):b_only|(25,0)/(88,0):a_only|(2,2)/(111,111):addition|(0,56)/(0,57):b_only|(56,0)/(57,0):a_only|(20,20)/(93,93):addition|(7,0)/(106,0):a_only|(0,7)/(0,106):b_only|(47,0)/(66,0):a_only|(0,47)/(0,66):b_only|(15,0)/(98,0):a_only|(0,15)/(0,98):b_only"
