run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
addition_depth1_muon,1,muon,regular_stride,0,0,checkpoints/addition_depth_1_muon_seed_0/step_000000.pt
addition_depth1_muon,1,muon,regular_stride,25000,25000,checkpoints/addition_depth_1_muon_seed_0/step_025000.pt
addition_depth1_muon,1,muon,regular_stride,50000,50000,checkpoints/addition_depth_1_muon_seed_0/step_050000.pt
addition_depth1_muon,1,muon,regular_stride,75000,75000,checkpoints/addition_depth_1_muon_seed_0/step_075000.pt
addition_depth1_muon,1,muon,regular_stride,100000,100000,checkpoints/addition_depth_1_muon_seed_0/step_100000.pt
addition_depth1_muon,1,muon,initial,0,0,checkpoints/addition_depth_1_muon_seed_0/step_000000.pt
addition_depth1_muon,1,muon,final,100000,100000,checkpoints/addition_depth_1_muon_seed_0/step_100000.pt
addition_depth1_muon,1,muon,maximum_test_accuracy,6600,7000,checkpoints/addition_depth_1_muon_seed_0/step_007000.pt
addition_depth1_muon,1,muon,grokking_before,5600,5000,checkpoints/addition_depth_1_muon_seed_0/step_005000.pt
addition_depth1_muon,1,muon,grokking_after,5600,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt
addition_depth1_muon,1,muon,minimum_post_grokking_accuracy,72100,72000,checkpoints/addition_depth_1_muon_seed_0/step_072000.pt
addition_depth1_muon,1,muon,first_post_grokking_below_90_before,17300,17000,checkpoints/addition_depth_1_muon_seed_0/step_017000.pt
addition_depth1_muon,1,muon,first_post_grokking_below_90_after,17300,18000,checkpoints/addition_depth_1_muon_seed_0/step_018000.pt
addition_depth1_muon,1,muon,first_99_before,6000,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt
addition_depth1_muon,1,muon,first_99_after,6000,6000,checkpoints/addition_depth_1_muon_seed_0/step_006000.pt
addition_depth1_adamw,1,adamw,regular_stride,0,0,checkpoints/addition_depth_1_adamw_seed_0/step_000000.pt
addition_depth1_adamw,1,adamw,regular_stride,25000,25000,checkpoints/addition_depth_1_adamw_seed_0/step_025000.pt
addition_depth1_adamw,1,adamw,regular_stride,50000,50000,checkpoints/addition_depth_1_adamw_seed_0/step_050000.pt
addition_depth1_adamw,1,adamw,regular_stride,75000,75000,checkpoints/addition_depth_1_adamw_seed_0/step_075000.pt
addition_depth1_adamw,1,adamw,regular_stride,100000,100000,checkpoints/addition_depth_1_adamw_seed_0/step_100000.pt
addition_depth1_adamw,1,adamw,initial,0,0,checkpoints/addition_depth_1_adamw_seed_0/step_000000.pt
addition_depth1_adamw,1,adamw,final,100000,100000,checkpoints/addition_depth_1_adamw_seed_0/step_100000.pt
addition_depth1_adamw,1,adamw,maximum_test_accuracy,8200,8000,checkpoints/addition_depth_1_adamw_seed_0/step_008000.pt
addition_depth1_adamw,1,adamw,grokking_before,8100,8000,checkpoints/addition_depth_1_adamw_seed_0/step_008000.pt
addition_depth1_adamw,1,adamw,grokking_after,8100,9000,checkpoints/addition_depth_1_adamw_seed_0/step_009000.pt
addition_depth1_adamw,1,adamw,minimum_post_grokking_accuracy,8100,8000,checkpoints/addition_depth_1_adamw_seed_0/step_008000.pt
addition_depth1_adamw,1,adamw,first_99_before,8100,8000,checkpoints/addition_depth_1_adamw_seed_0/step_008000.pt
addition_depth1_adamw,1,adamw,first_99_after,8100,9000,checkpoints/addition_depth_1_adamw_seed_0/step_009000.pt
