step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,1.5731060419930145,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.272582769393921,0.18825064599514008,6.756947040557861,0.0013424319913610816,7.877232874976471,22.873489192418983,94.16756701775435,6.912718772888184,0.5534888593981241,0.08972488249758168,0.11752831935882568,nan,nan,0,0,0,
200,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.5825580358505249,0.949608325958252,13.571379661560059,0.0010068240808323026,11.616152416914701,34.113249459218515,75.28222763373091,11.203598976135254,1.1607994552127523,0.24556435925347334,0.1319161057472229,nan,nan,0,0,0,
300,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.156822070479393,1.0,14.695072174072266,0.0007830853573977947,15.268506082938984,37.40808419061652,60.633045109395056,12.522854804992676,0.15518932273820024,0.043789765855275053,0.04930401220917702,nan,nan,0,0,0,
400,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.1241816058754921,1.0,13.911412239074707,0.0004474773595575243,19.241761457989924,39.15605254457041,49.96556519101654,12.89896011352539,0.08863810660942222,0.027441269704262795,0.041738539934158325,nan,nan,0,0,0,
500,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.10472850501537323,1.0,13.622997283935547,0.0005593466921709478,22.968730874941684,40.74454205624762,42.606785618241695,13.172270774841309,0.07690445943158032,0.03138976822874035,0.03647084906697273,nan,nan,0,0,0,
600,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.09011408686637878,1.0,13.542522430419922,0.0008949547191150486,27.05499270791188,42.062941336256955,37.574447157789834,13.370706558227539,0.0581188347344229,0.025536717088039274,0.032304901629686356,nan,nan,0,0,0,
700,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.07846619188785553,1.0,13.559486389160156,0.0008949547191150486,31.08446849999018,43.15526982888635,34.127190043320724,13.498543739318848,0.05039834462729322,0.02279121137194071,0.02894066832959652,nan,nan,0,0,0,
800,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.06988494843244553,1.0,13.611116409301758,0.0016780400183051825,35.01337154197972,43.93154972542032,31.75658927010946,13.57948112487793,0.053387600349790086,0.03738452015406728,0.026301534846425056,nan,nan,0,0,0,
900,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.06230891868472099,1.0,13.70878791809082,0.0016780400183051825,38.95000199996866,44.493422641199636,30.11253074363448,13.631291389465332,0.04442533340108988,0.02552770862523225,0.02403140813112259,nan,nan,0,0,0,
1000,adamw,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.05637706443667412,1.0,13.797572135925293,0.0014543014112859964,42.807930500013754,44.85144938115152,28.95581162860817,13.665996551513672,0.0383842148777076,0.02462332352727312,0.022122232243418694,nan,nan,0,0,0,
