step,regime,num_layers,modulus,train_fraction,d_model,num_heads,d_mlp,parameter_count,hidden_matrix_count,initialization_scheme,train_loss,train_accuracy,test_loss,test_accuracy,elapsed_seconds,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,train_collapse_detected,generalization_collapse_detected,auxiliary_frozen,scheduled_freeze_step
0,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.186100959777832,0.007571801543235779,5.174230575561523,0.008390200324356556,2.176206166972406,19.585105107656336,123.10922682798059,6.175757884979248,nan,nan,nan,nan,nan,0,0,0,
100,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.6015705466270447,0.9112271666526794,39.76123046875,0.00011186933988938108,13.454520416911691,64.70292685486649,114.22257025307078,6.584415912628174,0.23562874018079685,0.025324331001120234,0.15597909688949585,0.8811282571903043,0.01406719721853733,0,0,0,
200,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.005149683449417353,0.9989556074142456,50.565311431884766,0.0005593466921709478,21.516375457984395,75.88096103576773,103.45483664652451,6.4358744621276855,0.6676766376115786,0.22003917262768705,0.3455136716365814,0.8906683805341838,0.013495637103915215,0,0,0,
300,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0019976049661636353,0.9997389316558838,49.40196228027344,0.0008949547191150486,30.065737499971874,79.22028226906033,93.63888721616613,6.285514831542969,0.5655827780877619,0.24816562201199793,0.2317722588777542,0.8685712088261699,0.013165784068405628,0,0,0,
400,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.000633872696198523,1.0,44.886390686035156,0.0010068240808323026,37.916012416942976,80.39934160980276,84.74204876938933,6.138855934143066,0.03745646479153291,0.01564944598505166,0.027397317811846733,0.8929612671573974,0.013360198587179184,0,0,0,
500,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0018795120995491743,0.9994778037071228,44.834320068359375,0.0014543014112859964,46.24416991695762,83.08353273018477,76.68679053482681,5.993852138519287,0.03329520108040497,0.01523787827876044,0.02672029472887516,0.8948448367759018,0.015676256269216537,0,0,0,
600,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.00032708203070797026,1.0,41.94694519042969,0.003132341429591179,54.83457279193681,84.77940800066386,69.39644164436578,5.85246467590332,0.007574219551107375,0.002267104341960648,0.011376225389540195,0.8997536946149938,0.01329771988093853,0,0,0,
700,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,3.798576653935015e-05,1.0,47.53361892700195,0.002237386768683791,63.18424099998083,90.9198549395257,62.8000492907733,5.712388038635254,0.0003408072299721686,0.00012462479320351523,0.0006118718301877379,0.904692302854551,0.014170031063258648,0,0,0,
800,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.1049422710129875e-08,1.0,119.85292053222656,0.00257299467921257,71.0548541250173,125.26902798426632,56.8218628088867,5.5716423988342285,3.857074150835613e-07,1.5379115104310473e-07,1.024835569296556e-06,0.8869386656603556,0.014992757700383663,0,0,0,
900,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.000550135679077357,1.0,67.03248596191406,0.002013648161664605,79.06320816697553,108.04742325036348,51.48977320636447,5.468974590301514,0.16062320563612395,0.11315338113824494,0.23687230050563812,0.8975675092031916,0.017145313322544098,0,0,0,
1000,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,5.215900455368683e-05,1.0,53.09341812133789,0.0035798188764601946,87.88814037491102,105.01247373534305,46.60042382374531,5.336971282958984,0.0005307310581745814,0.0002685133842448264,0.0011581981088966131,0.8899488621995161,0.013810962438583374,0,0,0,
1100,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,9.429334568267222e-06,1.0,48.93734359741211,0.002349256072193384,96.12121899996419,105.26949898186122,42.165877037268736,5.206382751464844,8.366327267215587e-05,6.814380270841956e-05,0.00016807917563710362,0.9075508814746723,0.01372516993433237,0,0,0,
1200,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,0.0001156503931269981,1.0,51.53916931152344,0.0017899094382300973,103.975886041997,111.65949462455204,38.15500093538558,5.079285144805908,0.0009713746572790954,0.0007298633693543017,0.0023475871421396732,0.8970449747867789,0.015153767541050911,0,0,0,
1300,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.3178379276723717e-07,1.0,74.96636962890625,0.002461125375702977,111.85782112495508,127.70719237041777,34.524044793845526,4.9545159339904785,2.068288236076611e-06,1.915724899523847e-06,5.848642558703432e-06,0.8958802417707806,0.013672776520252228,0,0,0,
1400,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,1.2248448911122978e-05,1.0,49.38639831542969,0.003356080036610365,119.93771104200277,116.73876697512726,31.244750266709833,4.834353446960449,8.08274387491878e-05,6.446057262635455e-05,0.0002319813793292269,0.9136527960018358,0.015485691837966442,0,0,0,
1500,muon,1,113,0.3,128,4,512,226048,4,nested_depth_one_shared_v2,9.96004345665824e-09,1.0,80.0398178100586,0.003244210733100772,128.0230293329805,141.2996537180645,28.270411112523494,4.715099811553955,2.0842147634601136e-07,1.9135949636209082e-07,8.182496458175592e-07,0.8834803321359744,0.015194984152913094,0,0,0,
