branch,step,checkpoint,alpha,accuracy,family_power_share_non_dc,native_family_share,baseline_accuracy
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.0,0.008771242573857307,0.0,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.05000000074505806,0.011982143856585026,0.0006396567454168956,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.10000000149011612,0.015506303869187832,0.00255372645660583,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.15000000596046448,0.021223274990916252,0.005727601402087869,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.20000000298023224,0.02834990993142128,0.010137242592606012,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.25,0.03782598301768303,0.01574963354234997,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.30000001192092896,0.049729812890291214,0.022523390597650843,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.3499999940395355,0.06523612141609192,0.030409499784871882,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.4000000059604645,0.08395332098007202,0.039352201918229135,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.45000001788139343,0.10361030697822571,0.04928990900345504,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.5,0.12914088368415833,0.060156218957765364,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.550000011920929,0.1520087718963623,0.0718809695256548,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.6000000238418579,0.18161171674728394,0.08439123232461047,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.6500000357627869,0.21082308888435364,0.09761234721841718,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.699999988079071,0.2437935620546341,0.11146886212321966,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.75,0.27840864658355713,0.12588549816587954,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.800000011920929,0.31529486179351807,0.14078786965054038,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.8500000238418579,0.3506147563457489,0.15610327907962168,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.9000000357627869,0.3857780694961548,0.1717613343870683,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,0.949999988079071,0.4231341481208801,0.18769446400556455,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.0,0.45845407247543335,0.20383842843265645,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.0500000715255737,0.493539035320282,0.22013256492608793,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.100000023841858,0.5277625322341919,0.23652001428544145,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.149999976158142,0.5593233704566956,0.25294804189621994,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.2000000476837158,0.5919805765151978,0.2693680294388519,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.25,0.6220533847808838,0.2857353785172115,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.3000000715255737,0.6493852138519287,0.3020097477821076,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.350000023841858,0.6748374700546265,0.3181546555197044,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.399999976158142,0.7012295126914978,0.3341376257036562,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.4500000476837158,0.7211998105049133,0.34992991162365383,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.5,0.7417182326316833,0.3655062017815511,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.5500000715255737,0.7628631591796875,0.3808446814568777,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.600000023841858,0.783538281917572,0.3959265233291806,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.649999976158142,0.7995927929878235,0.41073592571423,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.7000000476837158,0.8162738084793091,0.42525977861231684,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.75,0.8308402895927429,0.4394873429060909,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.8000000715255737,0.8432923555374146,0.45341027564136527,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.850000023841858,0.8539431691169739,0.467022150255484,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,1.899999976158142,0.8649072051048279,0.4803184909114817,0.20383842843265645,0.45845407247543335
