step,local_step,branch,frozen_group,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,token_embedding_gradient_norm,position_embedding_gradient_norm,unembedding_gradient_norm,other_auxiliary_gradient_norm,hidden_delta_norm,token_embedding_delta_norm,position_embedding_delta_norm,unembedding_delta_norm,other_auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,control,none,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0
44010,10,control,none,1.8799582335304876e-07,1.0,3.337089947308414e-05,1.0,2.2673734542218338e-07,1.7892192111036844e-05,3.0899516332283383e-06,3.3114633879449684e-06,1.730944677547086e-05,0.0,0.4245564431089247,0.005648988299071789,0.0001604637800483033,0.0020497736986726522,0.0,0.1496873048448397,0.006736823823302984,0
44020,20,control,none,1.860971821088242e-07,1.0,3.3530890505062416e-05,1.0,2.2547349669883503e-07,1.8140041878661813e-05,3.0622086342191324e-06,3.1939316613716073e-06,1.7592123185750097e-05,0.0,0.8432931853160365,0.011314764618873596,0.00032914968323893845,0.004147604573518038,0.0,0.14904637691668965,0.006682656239718199,0
44030,30,control,none,1.854124320743722e-07,1.0,3.3294207241851836e-05,1.0,2.253559559331085e-07,1.8028840753030768e-05,3.0796693408774445e-06,3.123306669294834e-06,1.7487129298388027e-05,0.0,1.2621970540797727,0.016942841932177544,0.0005129009950906038,0.006311643403023481,0.0,0.14901784280294164,0.0066032311879098415,0
44040,40,control,none,1.8394955247913458e-07,1.0,3.335346991661936e-05,1.0,2.2513628196148007e-07,1.8268234727157672e-05,3.0593016617785906e-06,3.1492702419200214e-06,1.773277108441107e-05,0.0,1.6804347971065927,0.022773493081331253,0.0007100736256688833,0.008490713313221931,0.0,0.1486148553959932,0.006757880095392466,0
44050,50,control,none,1.8273567548021674e-07,1.0,3.318816379760392e-05,1.0,2.2589993352704028e-07,1.868025204851505e-05,3.0764554139750544e-06,3.1352246878668666e-06,1.815647556213662e-05,0.0,2.0993982023907014,0.028705328702926636,0.0009153513819910586,0.010724378749728203,0.0,0.1487085206379982,0.0065261549316346645,0
44060,60,control,none,1.8086817021867319e-07,1.0,3.296955765108578e-05,1.0,2.295809412488957e-07,1.9031463858412097e-05,3.0742562557861675e-06,3.3704941415635403e-06,1.8476615878171287e-05,0.0,2.5207553933393765,0.0348578579723835,0.0011410019360482693,0.012996318750083447,0.0,0.14875917678385106,0.006498594302684069,0
44070,70,control,none,1.807747906923396e-07,1.0,3.3393142075510696e-05,1.0,2.291645584907541e-07,1.9203263602054988e-05,3.0777671327086864e-06,3.2231851037067827e-06,1.867896571638994e-05,0.0,2.9445020649959566,0.0412016436457634,0.0013850111281499267,0.015313353389501572,0.0,0.1489923539588882,0.00645808968693018,0
44080,80,control,none,1.7949865593891445e-07,1.0,3.342901618452743e-05,1.0,2.2894245871266875e-07,1.9226481175068728e-05,3.088916855631396e-06,3.1830795705900528e-06,1.8707864001044072e-05,0.0,3.3695321261325697,0.04782534018158913,0.00164484279230237,0.01768568344414234,0.0,0.14934176747884523,0.00651167007163167,0
44090,90,control,none,1.7797351858916954e-07,1.0,3.308047234895639e-05,1.0,2.3050620112165445e-07,1.9569469456617232e-05,3.0836008590995334e-06,3.158109848300228e-06,1.906520083139185e-05,0.0,3.7950429349407973,0.05466550216078758,0.0019223691197112203,0.020106300711631775,0.0,0.14978897455733964,0.006662386003881693,0
