step,local_step,branch,frozen_group,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,token_embedding_gradient_norm,position_embedding_gradient_norm,unembedding_gradient_norm,other_auxiliary_gradient_norm,hidden_delta_norm,token_embedding_delta_norm,position_embedding_delta_norm,unembedding_delta_norm,other_auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,freeze_position_embedding,position_embedding,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0
44010,10,freeze_position_embedding,position_embedding,1.8718657202043687e-07,1.0,3.332689084345475e-05,1.0,2.2616399121119018e-07,1.757557316550826e-05,3.0955591228121193e-06,0.0,1.730081748974044e-05,0.0,0.4243898188635394,0.005657444708049297,0.0,0.0020639619324356318,0.0,0.1496102658430653,0.00663712015375495,0
44020,20,freeze_position_embedding,position_embedding,1.8503892817989254e-07,1.0,3.343679054523818e-05,1.0,2.2657444282147536e-07,1.770518618037013e-05,3.0691130632476415e-06,0.0,1.7437148926546797e-05,0.0,0.8427769340220194,0.011333066038787365,0.0,0.004174340050667524,0.0,0.14905213151911642,0.006551543716341257,0
44030,30,freeze_position_embedding,position_embedding,1.8637730647697026e-07,1.0,3.335690780659206e-05,1.0,2.2589324439853939e-07,1.790778581208685e-05,3.078317377003259e-06,0.0,1.764122316672001e-05,0.0,1.2604809038246498,0.016985146328806877,0.0,0.006350280717015266,0.0,0.14921924907631473,0.006757671479135752,0
44040,40,freeze_position_embedding,position_embedding,1.823621715857371e-07,1.0,3.3389816962881014e-05,1.0,2.2708537542311703e-07,1.79682580408818e-05,3.082786633967771e-06,0.0,1.770182825566735e-05,0.0,1.6780145842574243,0.022785525768995285,0.0,0.008538666181266308,0.0,0.14864198842076673,0.0067937299609184265,0
44050,50,freeze_position_embedding,position_embedding,1.8195754591943114e-07,1.0,3.306582220830023e-05,1.0,2.2688894252743216e-07,1.8375619170218405e-05,3.085355501752929e-06,0.0,1.811474430724047e-05,0.0,2.0952505155303767,0.02873300202190876,0.0,0.010765387676656246,0.0,0.1488139143687643,0.006534752901643515,0
44060,60,freeze_position_embedding,position_embedding,1.8124165990229812e-07,1.0,3.2931584428297356e-05,1.0,2.2733944319216312e-07,1.840224697366887e-05,3.061929419345688e-06,0.0,1.814572351577226e-05,0.0,2.515064411576487,0.0349045991897583,0.0,0.01303490623831749,0.0,0.14878311084808682,0.006565488874912262,0
44070,70,freeze_position_embedding,position_embedding,1.805880316396724e-07,1.0,3.327518788864836e-05,1.0,2.2810974249251198e-07,1.8819730107329914e-05,3.0798225907346932e-06,0.0,1.856601556937676e-05,0.0,2.935420813682711,0.041268281638622284,0.0,0.015349292196333408,0.0,0.1489249234984845,0.006568064913153648,0
44080,80,freeze_position_embedding,position_embedding,1.791251520444348e-07,1.0,3.326790829305537e-05,1.0,2.3219180938843927e-07,1.872910211721879e-05,3.074236474276404e-06,0.0,1.847507337515708e-05,0.0,3.3580324568501534,0.0478251650929451,0.0,0.017715033143758774,0.0,0.14902132776475327,0.006542612798511982,0
44090,90,freeze_position_embedding,position_embedding,1.7906290850078221e-07,1.0,3.306706275907345e-05,1.0,2.3231615942829265e-07,1.9155114882680055e-05,3.09300730805262e-06,0.0,1.8903749150922522e-05,0.0,3.7813915038967942,0.05463225394487381,0.0,0.020134974271059036,0.0,0.14966704366564118,0.006625418085604906,0
44100,100,freeze_position_embedding,position_embedding,1.7731989032654383e-07,1.0,3.296560316812247e-05,1.0,2.316610708460046e-07,1.95555775712954e-05,3.0821090604149504e-06,0.0,1.9311168216518126e-05,0.0,4.207374599118599,0.06166719272732735,0.0,0.022598497569561005,0.0,0.14995285740685144,0.006520761176943779,0
44110,110,freeze_position_embedding,position_embedding,1.7719540323923866e-07,1.0,3.310832835268229e-05,1.0,2.3210358458761778e-07,1.932924753890179e-05,3.0979369967099046e-06,0.0,1.907937621581368e-05,0.0,4.637078019180767,0.06898407638072968,0.0,0.025107307359576225,0.0,0.1500472976788656,0.0064819264225661755,0
44120,120,freeze_position_embedding,position_embedding,1.7700864418657147e-07,1.0,3.331726111355238e-05,1.0,2.3513003347923054e-07,1.959316847559901e-05,3.099653667959501e-06,0.0,1.9346431145095266e-05,0.0,5.069952538320275,0.07665414363145828,0.0,0.027671214193105698,0.0,0.14998975656609154,0.006469483952969313,0
44130,130,freeze_position_embedding,position_embedding,1.7514113892502792e-07,1.0,3.355849548825063e-05,1.0,2.3480467347266278e-07,1.9842087312615316e-05,3.0888525088812457e-06,0.0,1.960018926183693e-05,0.0,5.507409704007587,0.08469972014427185,0.0,0.03032730519771576,0.0,0.15013681001256415,0.006530059967190027,0
44140,140,freeze_position_embedding,position_embedding,1.7392726192611008e-07,1.0,3.366167584317736e-05,1.0,2.410506116767941e-07,1.959434653509485e-05,3.108948476437945e-06,0.0,1.9346132830833085e-05,0.0,5.94544667712308,0.0930495485663414,0.0,0.03305261582136154,0.0,0.15016677730514888,0.006580190733075142,0
44150,150,freeze_position_embedding,position_embedding,1.737405028734429e-07,1.0,3.3784112019930035e-05,1.0,2.427358064354211e-07,1.972600268176258e-05,3.10237714984396e-06,0.0,1.9480514310998842e-05,0.0,6.386554650733468,0.10164261609315872,0.0,0.03587152436375618,0.0,0.1502570358430156,0.006591502111405134,0
44160,160,freeze_position_embedding,position_embedding,1.713749924192598e-07,1.0,3.355458829901181e-05,1.0,2.434095767599306e-07,1.9763283672048406e-05,3.1280540042644134e-06,0.0,1.951416561496444e-05,0.0,6.8305384402085325,0.11041438579559326,0.0,0.0387430265545845,0.0,0.15041454359036424,0.006709541659802198,0
44170,170,freeze_position_embedding,position_embedding,1.698809910521959e-07,1.0,3.3146490750368685e-05,1.0,2.453608431481157e-07,2.0205177922043334e-05,3.1103954825084656e-06,0.0,1.996433456952218e-05,0.0,7.274909940140909,0.11939441412687302,0.0,0.0416782982647419,0.0,0.15021178510603547,0.006585054099559784,0
44180,180,freeze_position_embedding,position_embedding,1.6757772414166539e-07,1.0,3.287157232989557e-05,1.0,2.5023192017544034e-07,2.021853650423073e-05,3.1106349069887074e-06,0.0,1.997781691898126e-05,0.0,7.7176702554313135,0.12862510979175568,0.0,0.04470023512840271,0.0,0.14986375273810543,0.006586315575987101,0
44190,190,freeze_position_embedding,position_embedding,1.6844923322878458e-07,1.0,3.276941060903482e-05,1.0,2.5287646145077955e-07,2.011569873531221e-05,3.127214995402028e-06,0.0,1.9871131371473894e-05,0.0,8.160446784783364,0.13827598094940186,0.0,0.04779863357543945,0.0,0.1497440574448533,0.00661533884704113,0
44200,200,freeze_position_embedding,position_embedding,1.660526010027752e-07,1.0,3.2603998988633975e-05,1.0,2.5124721860075515e-07,2.0241159538509585e-05,3.132565097985207e-06,0.0,1.999728920054622e-05,0.0,8.602756115111205,0.14811620116233826,0.0,0.05094734951853752,0.0,0.14936372410939625,0.0065904585644602776,0
44210,210,freeze_position_embedding,position_embedding,1.635314532677512e-07,1.0,3.2394134905189276e-05,1.0,2.510846926144741e-07,2.067027303479303e-05,3.1118729566514958e-06,0.0,2.0434687030501664e-05,0.0,9.04531597539832,0.15806783735752106,0.0,0.054164521396160126,0.0,0.1493404314782425,0.006618945859372616,0
44220,220,freeze_position_embedding,position_embedding,1.6216195319884719e-07,1.0,3.209182250429876e-05,1.0,2.568394890509717e-07,2.06689694595066e-05,3.1143454179982655e-06,0.0,2.043299173237756e-05,0.0,9.485530467321109,0.16825829446315765,0.0,0.057459112256765366,0.0,0.1491699733308427,0.006593586876988411,0
44230,230,freeze_position_embedding,position_embedding,1.6153944670804776e-07,1.0,3.2353182177757844e-05,1.0,2.5967515434032847e-07,2.078599139832516e-05,3.1257179671229096e-06,0.0,2.054963078990113e-05,0.0,9.927703708135269,0.17884482443332672,0.0,0.0608338937163353,0.0,0.1491520975913166,0.006589408498257399,0
44240,240,freeze_position_embedding,position_embedding,1.6013882486731745e-07,1.0,3.24332868331112e-05,1.0,2.570126861417123e-07,2.0659685569553692e-05,3.112235162916477e-06,0.0,2.042392225121148e-05,0.0,10.371532073893603,0.18967075645923615,0.0,0.06427230685949326,0.0,0.14912950448940884,0.00653612008318305,0
44250,250,freeze_position_embedding,position_embedding,1.5883156834206602e-07,1.0,3.21379593515303e-05,1.0,2.622854861282484e-07,2.067066817362068e-05,3.122470388916554e-06,0.0,2.043347012659069e-05,0.0,10.817729638141543,0.20068754255771637,0.0,0.06772176176309586,0.0,0.14884490421526805,0.006490994710475206,0
44260,260,freeze_position_embedding,position_embedding,1.5839580669307907e-07,1.0,3.2043219107436016e-05,1.0,2.6831322638736416e-07,2.0725530125812116e-05,3.140913349852781e-06,0.0,2.048614805971738e-05,0.0,11.265839754015444,0.21194827556610107,0.0,0.07119607925415039,0.0,0.14880829513516622,0.006488549988716841,0
44270,270,freeze_position_embedding,position_embedding,1.565594232033618e-07,1.0,3.1979936466086656e-05,1.0,2.724742343913752e-07,2.0882646740819537e-05,3.1433914955414366e-06,0.0,2.0644709366024472e-05,0.0,11.71761748492117,0.22353987395763397,0.0,0.07469072937965393,0.0,0.14908686369350693,0.006531348451972008,0
44280,280,freeze_position_embedding,position_embedding,1.567150604842027e-07,1.0,3.1791165383765474e-05,1.0,2.697708562442304e-07,2.0742966158216276e-05,3.132321808152483e-06,0.0,2.0505101929302327e-05,0.0,12.170120770005594,0.2354150116443634,0.0,0.0782000869512558,0.0,0.14914048169400282,0.006467548664659262,0
