step,local_step,branch,frozen_group,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,token_embedding_gradient_norm,position_embedding_gradient_norm,unembedding_gradient_norm,other_auxiliary_gradient_norm,hidden_delta_norm,token_embedding_delta_norm,position_embedding_delta_norm,unembedding_delta_norm,other_auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,freeze_token_embedding,token_embedding,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0
44010,10,freeze_token_embedding,token_embedding,1.8889845421199425e-07,1.0,3.3476339012850076e-05,1.0,2.2420353818571203e-07,1.7207730775639345e-05,0.0,3.1293914162233705e-06,1.6920783309615217e-05,0.0,0.4233479664499597,0.0,0.000167235397384502,0.00201807776466012,0.0,0.15013556238560108,0.006721909623593092,0
44020,20,freeze_token_embedding,token_embedding,1.8675081037144992e-07,1.0,3.3459251426393166e-05,1.0,2.2455820253320317e-07,1.7296335460176298e-05,0.0,3.1254501209332375e-06,1.7011607269523665e-05,0.0,0.8420713672757278,0.0,0.0003499393933452666,0.004063529893755913,0.0,0.1496622694715859,0.006554140709340572,0
44030,30,freeze_token_embedding,token_embedding,1.8634618470514397e-07,1.0,3.311537147965282e-05,1.0,2.2529544387845146e-07,1.7548158485159233e-05,0.0,3.1590227536071325e-06,1.7261472748941742e-05,0.0,1.259385534058827,0.0,0.00053036940516904,0.006175566464662552,0.0,0.14940691829104552,0.006581494119018316,0
44040,40,freeze_token_embedding,token_embedding,1.8438529991726682e-07,1.0,3.3025440643541515e-05,1.0,2.2782710763339478e-07,1.7669776186818025e-05,0.0,3.192639724147739e-06,1.7378953998559155e-05,0.0,1.6731171993948517,0.0,0.0007257364923134446,0.008318165317177773,0.0,0.14926455469291805,0.00641285115852952,0
44050,50,freeze_token_embedding,token_embedding,1.837628076373221e-07,1.0,3.2922416721703485e-05,1.0,2.260298940840924e-07,1.796551940930894e-05,0.0,3.120043402304873e-06,1.7692518667900003e-05,0.0,2.085486725962942,0.0,0.0009353230707347393,0.01049092784523964,0.0,0.1488556009797817,0.00639131898060441,0
44060,60,freeze_token_embedding,token_embedding,1.8323368067285628e-07,1.0,3.2844258385011926e-05,1.0,2.2961657682720203e-07,1.78729784409242e-05,0.0,3.229750973332557e-06,1.7578739061718807e-05,0.0,2.495519028592222,0.0,0.001153425546362996,0.012684782966971397,0.0,0.148859989088462,0.006383728235960007,0
44070,70,freeze_token_embedding,token_embedding,1.8270453949753573e-07,1.0,3.305525387986563e-05,1.0,2.2763235587302458e-07,1.8235504894020595e-05,0.0,3.1794859296496725e-06,1.795618300093338e-05,0.0,2.9060095774467762,0.0,0.0013755110558122396,0.014898885041475296,0.0,0.14902981551631364,0.006344988942146301,0
44080,80,freeze_token_embedding,token_embedding,1.807747906923396e-07,1.0,3.2949574233498424e-05,1.0,2.279934440880206e-07,1.842344024235636e-05,0.0,3.1466283871850464e-06,1.8152737538912334e-05,0.0,3.317741029741893,0.0,0.0016124870162457228,0.0171519685536623,0.0,0.1495919452845655,0.006337800994515419,0
44090,90,freeze_token_embedding,token_embedding,1.8105491506048565e-07,1.0,3.279518932686187e-05,1.0,2.2915794523997288e-07,1.8487784337228854e-05,0.0,3.1935660445014946e-06,1.8209868358098902e-05,0.0,3.7314640004476374,0.0,0.001886296784505248,0.019427549093961716,0.0,0.1500569993915131,0.006533247884362936,0
44100,100,freeze_token_embedding,token_embedding,1.798099020788868e-07,1.0,3.2446998375235125e-05,1.0,2.304561012592827e-07,1.8296592583784193e-05,0.0,3.210562681488227e-06,1.8012706277659163e-05,0.0,4.141909976138728,0.0,0.002166415797546506,0.021709397435188293,0.0,0.15044407250221792,0.006554365623742342,0
44110,110,freeze_token_embedding,token_embedding,1.79996661131554e-07,1.0,3.1783871236257255e-05,1.0,2.3011451496463146e-07,1.841811116028745e-05,0.0,3.1442209547094535e-06,1.8147746231989004e-05,0.0,4.553910494325831,0.0,0.0024680320639163256,0.023995963856577873,0.0,0.15036967498172482,0.006510485429316759,0
44120,120,freeze_token_embedding,token_embedding,1.782225211854893e-07,1.0,3.134254438919015e-05,1.0,2.304817302401508e-07,1.8838387703749623e-05,0.0,3.1302972729463363e-06,1.8576492948341183e-05,0.0,4.968160822463451,0.0,0.0027960902079939842,0.026311682537198067,0.0,0.15073918271562922,0.006540184374898672,0
44130,130,freeze_token_embedding,token_embedding,1.7928077511442098e-07,1.0,3.1454645068151876e-05,1.0,2.3367230861021435e-07,1.8721942241558976e-05,0.0,3.2157954592548776e-06,1.8443692169967107e-05,0.0,5.3837767021243295,0.0,0.0031512179411947727,0.028664549812674522,0.0,0.15121997175483953,0.0066772340796887875,0
44140,140,freeze_token_embedding,token_embedding,1.783781584663302e-07,1.0,3.1206629500957206e-05,1.0,2.350288114627938e-07,1.8720041561540763e-05,0.0,3.236001703044167e-06,1.8438227925798856e-05,0.0,5.797369764337444,0.0,0.0035239928402006626,0.03104543313384056,0.0,0.1516856113335243,0.006674295291304588,0
44150,150,freeze_token_embedding,token_embedding,1.7803577634367684e-07,1.0,3.1306928576668724e-05,1.0,2.3855579614574285e-07,1.8892744782265874e-05,0.0,3.33903494720289e-06,1.8595339497551322e-05,0.0,6.213090166459889,0.0,0.0039191166870296,0.033468808978796005,0.0,0.15154009588676862,0.006755450740456581,0
44160,160,freeze_token_embedding,token_embedding,1.775688929228636e-07,1.0,3.163584915455431e-05,1.0,2.3732748618418243e-07,1.873681966151249e-05,0.0,3.2413263397756964e-06,1.845432780100964e-05,0.0,6.63078372893819,0.0,0.0043517714366316795,0.03592827916145325,0.0,0.15157204317037487,0.006754692643880844,0
44170,170,freeze_token_embedding,token_embedding,1.7657289674843923e-07,1.0,3.154984733555466e-05,1.0,2.423772612837772e-07,1.892869009891111e-05,0.0,3.387799097254174e-06,1.8623053620103747e-05,0.0,7.0498350955991596,0.0,0.004828634671866894,0.03841514140367508,0.0,0.15166273930741866,0.006697775796055794,0
44180,180,freeze_token_embedding,token_embedding,1.769464006429189e-07,1.0,3.140195258310996e-05,1.0,2.4025691463419176e-07,1.8685367214687414e-05,0.0,3.2723862659622682e-06,1.8396587620372884e-05,0.0,7.470003568686642,0.0,0.0053304643370211124,0.04095538705587387,0.0,0.15195666119824675,0.0068779620341956615,0
44190,190,freeze_token_embedding,token_embedding,1.7548350683682656e-07,1.0,3.1206131097860634e-05,1.0,2.441558380810343e-07,1.8643382191170812e-05,0.0,3.3589863051020075e-06,1.8338290828978643e-05,0.0,7.8913886082555615,0.0,0.005855239927768707,0.04352942854166031,0.0,0.1519322326081062,0.006824672222137451,0
44200,200,freeze_token_embedding,token_embedding,1.7479875680237456e-07,1.0,3.1081915949471295e-05,1.0,2.452084908055407e-07,1.8906707822466538e-05,0.0,3.36090874952788e-06,1.86055876838509e-05,0.0,8.310886347092236,0.0,0.006424342282116413,0.04615328088402748,0.0,0.1516638228784273,0.0065015279687941074,0
44210,210,freeze_token_embedding,token_embedding,1.7489213632870815e-07,1.0,3.073748666793108e-05,1.0,2.4698308538160404e-07,1.8929175084027413e-05,0.0,3.3544110920047387e-06,1.8629589249030687e-05,0.0,8.72763455863103,0.0,0.007026914041489363,0.0488174743950367,0.0,0.1517816172233158,0.0065488796681165695,0
44220,220,freeze_token_embedding,token_embedding,1.73616001575283e-07,1.0,3.0427181627601385e-05,1.0,2.5041583080916343e-07,1.8959670424657358e-05,0.0,3.439531155891018e-06,1.864507248683367e-05,0.0,9.141206537690724,0.0,0.007673284038901329,0.05153008550405502,0.0,0.15160695067357619,0.006554850377142429,0
44230,230,freeze_token_embedding,token_embedding,1.7417626452242985e-07,1.0,3.0133478503557853e-05,1.0,2.509652544786777e-07,1.8996754686834912e-05,0.0,3.4279271403647726e-06,1.8684913811739534e-05,0.0,9.553124458770784,0.0,0.008374192751944065,0.05428924784064293,0.0,0.15178116457959706,0.006355172023177147,0
44240,240,freeze_token_embedding,token_embedding,1.721842437518717e-07,1.0,3.0023356885067187e-05,1.0,2.5366916939553243e-07,1.9197911062326932e-05,0.0,3.4735478493530536e-06,1.8881055439123884e-05,0.0,9.96225412571246,0.0,0.009119016118347645,0.057082802057266235,0.0,0.15211140363381254,0.006608516909182072,0
44250,250,freeze_token_embedding,token_embedding,1.7093924498112756e-07,1.0,2.9776900191791356e-05,1.0,2.584460901660841e-07,1.945835139180584e-05,0.0,3.5601342460722663e-06,1.912989500851836e-05,0.0,10.370928630726393,0.0,0.00991015788167715,0.05994987487792969,0.0,0.15202324085020655,0.006474154070019722,0
44260,260,freeze_token_embedding,token_embedding,1.7097036675295385e-07,1.0,2.9640428692800924e-05,1.0,2.586453278160035e-07,1.9424537627140336e-05,0.0,3.4982876968570054e-06,1.9106926629319787e-05,0.0,10.777522544434044,0.0,0.010746360756456852,0.06290153414011002,0.0,0.15220079758650928,0.006756339687854052,0
44270,270,freeze_token_embedding,token_embedding,1.7003661412218207e-07,1.0,2.962684266094584e-05,1.0,2.6399243597772453e-07,1.9746089895558483e-05,0.0,3.627115347626386e-06,1.9410103050176986e-05,0.0,11.184303023454214,0.0,0.011619223281741142,0.06591638177633286,0.0,0.15198727220574132,0.00655130622908473,0
44280,280,freeze_token_embedding,token_embedding,1.69756489754036e-07,1.0,2.957037213491276e-05,1.0,2.63656314254149e-07,1.9392208459175116e-05,0.0,3.561147195796366e-06,1.9062423234572634e-05,0.0,11.591085027801974,0.0,0.01252248976379633,0.06897598505020142,0.0,0.15203651876586874,0.006495420355349779,0
44290,290,freeze_token_embedding,token_embedding,1.6841811145695829e-07,1.0,2.965308158309199e-05,1.0,2.6641466465527225e-07,1.9665686754216485e-05,0.0,3.6430201362236403e-06,1.9325310859130695e-05,0.0,11.996090613440275,0.0,0.013462144881486893,0.07205332070589066,0.0,0.15239076617965677,0.0067691318690776825,0
44300,300,freeze_token_embedding,token_embedding,1.6785784850981145e-07,1.0,2.9550548788392916e-05,1.0,2.68993006729442e-07,1.98671294660004e-05,0.0,3.673165338113904e-06,1.9524617528077215e-05,0.0,12.399599788839659,0.0,0.014457620680332184,0.07517839968204498,0.0,0.15183697745298028,0.006706004496663809,0
44310,310,freeze_token_embedding,token_embedding,1.6648834844090743e-07,1.0,2.960785604955163e-05,1.0,2.7091272965979995e-07,1.979915471153999e-05,0.0,3.639891701823217e-06,1.9461698684608564e-05,0.0,12.804677218915097,0.0,0.01547979936003685,0.07834948599338531,0.0,0.15193650251450844,0.006750825326889753,0
44320,320,freeze_token_embedding,token_embedding,1.6642610489725485e-07,1.0,2.9524790079449303e-05,1.0,2.704168682271487e-07,1.9921589403188055e-05,0.0,3.5754942473431583e-06,1.959810106200166e-05,0.0,13.20806494123855,0.0,0.016551030799746513,0.08158539980649948,0.0,0.15177181344215826,0.0065666912123560905,0
44330,330,freeze_token_embedding,token_embedding,1.6496321109116252e-07,1.0,2.937748831755016e-05,1.0,2.731778224420212e-07,1.9833472183791332e-05,0.0,3.643609488790389e-06,1.9495915694278665e-05,0.0,13.609392100979063,0.0,0.017653079703450203,0.08481944352388382,0.0,0.1515768992436045,0.0065346830524504185,0
44340,340,freeze_token_embedding,token_embedding,1.6390495716223086e-07,1.0,2.909095746872481e-05,1.0,2.740137223011231e-07,2.0320940591116796e-05,0.0,3.6550929962686496e-06,1.9989520296803676e-05,0.0,14.010055464557922,0.0,0.018786070868372917,0.08808993548154831,0.0,0.15159146419852068,0.006663175765424967,0
44350,350,freeze_token_embedding,token_embedding,1.6406058023221703e-07,1.0,2.8884467610623688e-05,1.0,2.7864924256555757e-07,2.0223456088853624e-05,0.0,3.680484724100097e-06,1.988572876143735e-05,0.0,14.409095266386382,0.0,0.01996077038347721,0.09141585975885391,0.0,0.15178972588391818,0.0066624591127038,0
44360,360,freeze_token_embedding,token_embedding,1.6328246488228615e-07,1.0,2.8835413104388863e-05,1.0,2.8105920990692833e-07,2.011979064986228e-05,0.0,3.707416226461646e-06,1.9775263353949413e-05,0.0,14.806613751037762,0.0,0.021162383258342743,0.0947674959897995,0.0,0.1518887643450864,0.006736557465046644,0
44370,370,freeze_token_embedding,token_embedding,1.6343808795227233e-07,1.0,2.8788814233848825e-05,1.0,2.836065540542691e-07,2.0281245122477784e-05,0.0,3.713821342898882e-06,1.993831574509386e-05,0.0,15.203640728867448,0.0,0.022389749065041542,0.09816055744886398,0.0,0.151895683247895,0.00675818370655179,0
44380,380,freeze_token_embedding,token_embedding,1.620685736725136e-07,1.0,2.873740413633641e-05,1.0,2.842211253163059e-07,2.0047332814129988e-05,0.0,3.7069069094286533e-06,1.9701634300872684e-05,0.0,15.600036149106389,0.0,0.02365887723863125,0.10158905386924744,0.0,0.15204523966408434,0.0071599422954022884,0
44390,390,freeze_token_embedding,token_embedding,1.6247319933881954e-07,1.0,2.8815842597396113e-05,1.0,2.8561770922540075e-07,2.085935886308282e-05,0.0,3.689464620038052e-06,2.0530482288450003e-05,0.0,15.994517066037357,0.0,0.02498266100883484,0.10507906973361969,0.0,0.15170936109276606,0.007190619595348835,0
44400,400,freeze_token_embedding,token_embedding,1.619440723743537e-07,1.0,2.863539157260675e-05,1.0,2.9232303177291655e-07,2.0622906118777508e-05,0.0,3.838100383291021e-06,2.026260699494742e-05,0.0,16.38895733647096,0.0,0.026343852281570435,0.10860052704811096,0.0,0.1517736235335244,0.0073595307767391205,0
44410,410,freeze_token_embedding,token_embedding,1.6079245312994317e-07,1.0,2.9011822334723547e-05,1.0,2.938365341257383e-07,2.0691029422816447e-05,0.0,3.778376594709698e-06,2.034312092291657e-05,0.0,16.78312394840072,0.0,0.027736613526940346,0.1121433824300766,0.0,0.15194426330077235,0.00717051001265645,0
44420,420,freeze_token_embedding,token_embedding,1.597964427446641e-07,1.0,2.9369113690336235e-05,1.0,3.0021211279386283e-07,2.090701957424685e-05,0.0,3.932911113224691e-06,2.053376920230221e-05,0.0,17.176720732750972,0.0,0.029177818447351456,0.115762859582901,0.0,0.15209126444903487,0.007165375165641308,0
44430,430,freeze_token_embedding,token_embedding,1.6032556970912992e-07,1.0,3.001461664098315e-05,1.0,3.004252161165103e-07,2.1225480580510314e-05,0.0,3.884163106704364e-06,2.0867062630713917e-05,0.0,17.572530053435603,0.0,0.030684471130371094,0.11948203295469284,0.0,0.15208097125886955,0.007187241688370705,0
44440,440,freeze_token_embedding,token_embedding,1.5948519660469174e-07,1.0,3.056937566725537e-05,1.0,3.031612707689826e-07,2.1515819094494237e-05,0.0,3.922371433873195e-06,2.1155270587769337e-05,0.0,17.96872879680549,0.0,0.0322747677564621,0.12326553463935852,0.0,0.15189158937219235,0.007024620659649372,0
44450,450,freeze_token_embedding,token_embedding,1.5951631837651803e-07,1.0,3.1108997063711286e-05,1.0,3.102104159968726e-07,2.1639601883206887e-05,0.0,3.962194114137674e-06,2.127377229044214e-05,0.0,18.365384141766878,0.0,0.03395833447575569,0.12713617086410522,0.0,0.15156098980748545,0.006994384806603193,0
44460,460,freeze_token_embedding,token_embedding,1.5842694267576007e-07,1.0,3.192959775333293e-05,1.0,3.112040293587765e-07,2.1831635781707783e-05,0.0,3.944152467738604e-06,2.1472400476341136e-05,0.0,18.763257776599158,0.0,0.03571471571922302,0.13107749819755554,0.0,0.1514731983524934,0.006895283702760935,0
44470,470,freeze_token_embedding,token_embedding,1.5827130539491918e-07,1.0,3.245190600864589e-05,1.0,3.2120661581381915e-07,2.2039955865551126e-05,0.0,4.180979431112064e-06,2.1639756596414372e-05,0.0,19.161746381783566,0.0,0.037554770708084106,0.13513265550136566,0.0,0.15081949424825006,0.006805024575442076,0
44480,480,freeze_token_embedding,token_embedding,1.589249336575449e-07,1.0,3.331681728013791e-05,1.0,3.2854080197903773e-07,2.2279956570660716e-05,0.0,4.281931069272105e-06,2.1864618247491308e-05,0.0,19.559868663739554,0.0,0.03949757665395737,0.1393127590417862,0.0,0.15005816690211746,0.006903519853949547,0
44490,490,freeze_token_embedding,token_embedding,1.5842694267576007e-07,1.0,3.392941289348528e-05,1.0,3.2832277863839066e-07,2.268750110907356e-05,0.0,4.217268724460155e-06,2.2292091671261005e-05,0.0,19.955293792092636,0.0,0.041567444801330566,0.14365559816360474,0.0,0.14961198165170417,0.006874827668070793,0
44500,500,freeze_token_embedding,token_embedding,1.58800432359385e-07,1.0,3.419437416596338e-05,1.0,3.4177112289396626e-07,2.2470693428191017e-05,0.0,4.462774086277932e-06,2.202307223342359e-05,0.0,20.348087943099934,0.0,0.04374733194708824,0.14812955260276794,0.0,0.14860295155653805,0.006970475893467665,0
44510,510,freeze_token_embedding,token_embedding,1.6007656711281015e-07,1.0,3.403631126275286e-05,1.0,3.395804512575203e-07,2.2130490323946297e-05,0.0,4.350611561676487e-06,2.1698635464417748e-05,0.0,20.737483196660637,0.0,0.04602767154574394,0.15274116396903992,0.0,0.14831595507219314,0.006878940854221582,0
44520,520,freeze_token_embedding,token_embedding,1.5936069530653185e-07,1.0,3.423502130317502e-05,1.0,3.4822295696894026e-07,2.25064477181743e-05,0.0,4.512975010584341e-06,2.204933662142139e-05,0.0,21.124406995705286,0.0,0.04835343733429909,0.157411590218544,0.0,0.1486242792376881,0.006934385746717453,0
44530,530,freeze_token_embedding,token_embedding,1.5939181707835814e-07,1.0,3.471590025583282e-05,1.0,3.5218342317711374e-07,2.21562187729933e-05,0.0,4.577625986712519e-06,2.1678177290596068e-05,0.0,21.507723129778118,0.0,0.05077167600393295,0.16217775642871857,0.0,0.14871295257138226,0.007094183936715126,0
44540,540,freeze_token_embedding,token_embedding,1.604811927791161e-07,1.0,3.540586476447061e-05,1.0,3.5355906674424216e-07,2.228175194697288e-05,0.0,4.502625870372867e-06,2.182207208534237e-05,0.0,21.891409787929376,0.0,0.05327485501766205,0.16698800027370453,0.0,0.14860747532053648,0.007465539034456015,0
44550,550,freeze_token_embedding,token_embedding,1.6029444793730363e-07,1.0,3.61300481017679e-05,1.0,3.619825706149011e-07,2.2813754919063757e-05,0.0,4.594348865794018e-06,2.2346350306179374e-05,0.0,22.27431931574643,0.0,0.05586801841855049,0.1718025803565979,0.0,0.14872773860542343,0.007445770315825939,0
44560,560,freeze_token_embedding,token_embedding,1.5998318758647656e-07,1.0,3.6673154681921005e-05,1.0,3.6412902543466743e-07,2.3143670164211382e-05,0.0,4.557859938358888e-06,2.2690424884785898e-05,0.0,22.656369566226747,0.0,0.058523934334516525,0.17668886482715607,0.0,0.14935590536867382,0.007238662801682949,0
44570,570,freeze_token_embedding,token_embedding,1.6088581844542205e-07,1.0,3.6633551644627005e-05,1.0,3.729918701409404e-07,2.3054252906692035e-05,0.0,4.7436687964363955e-06,2.2560943762073293e-05,0.0,23.03731045933438,0.0,0.0612761490046978,0.18170411884784698,0.0,0.14930631289448618,0.007452215533703566,0
44580,580,freeze_token_embedding,token_embedding,1.604811927791161e-07,1.0,3.747405935428105e-05,1.0,3.708452056833733e-07,2.2994526760076863e-05,0.0,4.5764109017909504e-06,2.253452294098679e-05,0.0,23.419287686282388,0.0,0.06415966898202896,0.18684138357639313,0.0,0.14961691435383856,0.007408441510051489,0
44590,590,freeze_token_embedding,token_embedding,1.6325132889960514e-07,1.0,3.7996233004378155e-05,1.0,3.83805000408365e-07,2.3025388662705922e-05,0.0,4.8064803195302375e-06,2.2518132027471438e-05,0.0,23.802309247522047,0.0,0.06719201058149338,0.19214752316474915,0.0,0.1493973476716927,0.007000663783401251,0
