step,local_step,branch,frozen_group,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,token_embedding_gradient_norm,position_embedding_gradient_norm,unembedding_gradient_norm,other_auxiliary_gradient_norm,hidden_delta_norm,token_embedding_delta_norm,position_embedding_delta_norm,unembedding_delta_norm,other_auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,freeze_unembedding,unembedding,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0
44010,10,freeze_unembedding,unembedding,1.8248667288389697e-07,1.0,3.2274710974888876e-05,1.0,2.1744754315905125e-07,4.27414097720588e-06,2.999186108354479e-06,3.045186986128101e-06,0.0,0.0,0.4271019123873375,0.005783190950751305,0.00014428231224883348,0.0,0.0,0.14926173528824385,0.006634838879108429,0
44020,20,freeze_unembedding,unembedding,1.7928077511442098e-07,1.0,3.136137092951685e-05,1.0,2.132079454837844e-07,4.172456496891723e-06,2.960651272587711e-06,2.940057356681791e-06,0.0,0.0,0.8542583610767092,0.011454877443611622,0.0002768028643913567,0.0,0.0,0.14844694355523333,0.006467917934060097,0
44030,30,freeze_unembedding,unembedding,1.7791127504551696e-07,1.0,2.9779212127323262e-05,1.0,2.110877744937913e-07,4.098041597673537e-06,2.9345176244532922e-06,2.8605159059225116e-06,0.0,0.0,1.2806111327592575,0.01690303348004818,0.0003907517821062356,0.0,0.0,0.14834036521530994,0.006615858990699053,0
44040,40,freeze_unembedding,unembedding,1.76790763362078e-07,1.0,2.8902104531880468e-05,1.0,2.1092702331226311e-07,4.153203759304836e-06,2.9162206374167e-06,2.957153810712043e-06,0.0,0.0,1.7078266835818408,0.022050248458981514,0.0005115495878271759,0.0,0.0,0.14769490671466776,0.006478201597929001,0
44050,50,freeze_unembedding,unembedding,1.7420738629425614e-07,1.0,2.8028553060721606e-05,1.0,2.0874253631445112e-07,4.096636889691802e-06,2.8864758405688917e-06,2.9070072287140647e-06,0.0,0.0,2.128794617834012,0.026998328045010567,0.0006471471861004829,0.0,0.0,0.14726594771556314,0.006380085367709398,0
44060,60,freeze_unembedding,unembedding,1.736782593297903e-07,1.0,2.7257401598035358e-05,1.0,2.0666789530560297e-07,3.9984742986038655e-06,2.859656433429336e-06,2.794666670524748e-06,0.0,0.0,2.5469700254196628,0.03189394995570183,0.0007964886608533561,0.0,0.0,0.14700445036582585,0.006522995885461569,0
44070,70,freeze_unembedding,unembedding,1.7255774764635134e-07,1.0,2.684799983398989e-05,1.0,2.0933244488221156e-07,4.219138613826415e-06,2.836670773831429e-06,3.1232082164933672e-06,0.0,0.0,2.9606168080905815,0.036677874624729156,0.0009518695878796279,0.0,0.0,0.1468981395552927,0.006237058900296688,0
44080,80,freeze_unembedding,unembedding,1.7159287324375327e-07,1.0,2.6494892154005356e-05,1.0,2.075810358961333e-07,4.138448293442104e-06,2.8221277261764044e-06,3.026937292816001e-06,0.0,0.0,3.3689708281962085,0.04133611544966698,0.0011092664208263159,0.0,0.0,0.14645887340921282,0.006389763671904802,0
44090,90,freeze_unembedding,unembedding,1.7078362191114138e-07,1.0,2.600156767584849e-05,1.0,2.0984433849113262e-07,4.307638585489057e-06,2.812142611219315e-06,3.263066673753201e-06,0.0,0.0,3.771669284157467,0.045950427651405334,0.0012726407730951905,0.0,0.0,0.14677724618517257,0.006545718759298325,0
44100,100,freeze_unembedding,unembedding,1.6935186408773006e-07,1.0,2.5922287022694945e-05,1.0,2.0664278019148662e-07,4.13980580067607e-06,2.8202784960740246e-06,3.0305150175991002e-06,0.0,0.0,4.1715512645429085,0.050493594259023666,0.0014369357377290726,0.0,0.0,0.14688119647568593,0.006672445219010115,0
44110,110,freeze_unembedding,unembedding,1.6795122803614504e-07,1.0,2.575573671492748e-05,1.0,2.043034172506468e-07,4.113269632334809e-06,2.8116376142861554e-06,3.002279299835209e-06,0.0,0.0,4.568352479916756,0.05503760278224945,0.0016018460737541318,0.0,0.0,0.14702790806514773,0.006575416773557663,0
44120,120,freeze_unembedding,unembedding,1.6776448319433257e-07,1.0,2.5451228793826886e-05,1.0,2.0680243441487927e-07,4.265486180409241e-06,2.8052215839124983e-06,3.2132700198417297e-06,0.0,0.0,4.958117673663621,0.059562329202890396,0.0017661371966823936,0.0,0.0,0.14681609689351285,0.006509100086987019,0
44130,130,freeze_unembedding,unembedding,1.6779560496615886e-07,1.0,2.5087898393394426e-05,1.0,2.0279778918010805e-07,4.092606350032575e-06,2.7746709747589193e-06,3.008426119777141e-06,0.0,0.0,5.345534954552901,0.06394824385643005,0.001927082659676671,0.0,0.0,0.14665135036399693,0.006330109667032957,0
44140,140,freeze_unembedding,unembedding,1.6735985752802662e-07,1.0,2.4941917217802256e-05,1.0,2.0240834414949284e-07,4.053076259454283e-06,2.7638623123493744e-06,2.964539135064115e-06,0.0,0.0,5.7291829196667985,0.06825603544712067,0.002087877131998539,0.0,0.0,0.14677141832265073,0.006459241732954979,0
44150,150,freeze_unembedding,unembedding,1.6406058023221703e-07,1.0,2.4856048185029067e-05,1.0,2.0549803555463934e-07,4.221967689511019e-06,2.754764182100189e-06,3.199419552402105e-06,0.0,0.0,6.109496148154983,0.07262249290943146,0.002245945855975151,0.0,0.0,0.14698379120111063,0.006404440850019455,0
44160,160,freeze_unembedding,unembedding,1.6297120453145908e-07,1.0,2.453729757689871e-05,1.0,1.997525551877962e-07,3.991304626740812e-06,2.7450505513115786e-06,2.897448894145782e-06,0.0,0.0,6.4870024274505225,0.07699183374643326,0.002407251624390483,0.0,0.0,0.1468979894434785,0.006584846880286932,0
44170,170,freeze_unembedding,unembedding,1.6275333791782032e-07,1.0,2.4274040697491728e-05,1.0,1.955058388411994e-07,3.825804776879358e-06,2.6973727926815627e-06,2.713109324758989e-06,0.0,0.0,6.865126568875235,0.081322081387043,0.0025635510683059692,0.0,0.0,0.14676698706309574,0.006523245479911566,0
44180,180,freeze_unembedding,unembedding,1.627222019351393e-07,1.0,2.4147362637449987e-05,1.0,2.005520315917288e-07,3.979556217010061e-06,2.702813162613893e-06,2.9209020340204006e-06,0.0,0.0,7.240837211486915,0.08563363552093506,0.0027253672014921904,0.0,0.0,0.14690494453686498,0.006603374145925045,0
44190,190,freeze_unembedding,unembedding,1.6041894923546351e-07,1.0,2.395177034486551e-05,1.0,2.0063582794660975e-07,4.0918030990519924e-06,2.6967386475007515e-06,3.0774101560382405e-06,0.0,0.0,7.613060183106189,0.08991384506225586,0.002888838294893503,0.0,0.0,0.14691169732295123,0.006784301716834307,0
44200,200,freeze_unembedding,unembedding,1.6032556970912992e-07,1.0,2.3633798264199868e-05,1.0,2.0593166961574767e-07,4.2948601971503785e-06,2.6981067549058935e-06,3.3415631151001435e-06,0.0,0.0,7.983028185973927,0.09426260739564896,0.0030455540399998426,0.0,0.0,0.14712621871481898,0.006613331381231546,0
44210,210,freeze_unembedding,unembedding,1.5998318758647656e-07,1.0,2.3281705580302514e-05,1.0,2.019368246339683e-07,4.106821476039911e-06,2.6707509732659673e-06,3.1197871521726483e-06,0.0,0.0,8.351943607869996,0.09860642999410629,0.003201521700248122,0.0,0.0,0.14741395737731866,0.006736713461577892,0
