step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,control,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,0.0,0.0,nan,nan,0
44010,10,control,1.8784020028306259e-07,1.0,3.335392102599144e-05,1.0,2.2726086505184932e-07,1.7886593478844764e-05,0.4244386097325579,0.0060132484251561565,0.14958588913574725,0.0065926192328333855,0
44020,20,control,1.8513230770622613e-07,1.0,3.3488184271845967e-05,1.0,2.262648831748718e-07,1.8036967787594274e-05,0.8434587720479046,0.012062262624207672,0.14945737878122037,0.006774876732379198,0
44030,30,control,1.8522568723255972e-07,1.0,3.329089668113738e-05,1.0,2.2823891822832935e-07,1.8119899996827668e-05,1.2620369312174873,0.01810553854193153,0.14905796420817682,0.006753346882760525,0
44040,40,control,1.837939294091484e-07,1.0,3.336146255605854e-05,1.0,2.2602007386876343e-07,1.8250902532449614e-05,1.6806957074428843,0.024316647597042582,0.1485311926378051,0.0064505282789468765,0
44050,50,control,1.8192642414760485e-07,1.0,3.3049083867808804e-05,1.0,2.2955951268174808e-07,1.8659357074738845e-05,2.0999122270959294,0.03065993945620687,0.14874689589934087,0.006489719729870558,0
44060,60,control,1.8183304462127126e-07,1.0,3.29862414218951e-05,1.0,2.2907836607053724e-07,1.8974810652426048e-05,2.521520295059053,0.037235306575665095,0.14867881680620382,0.0065481471829116344,0
44070,70,control,1.8033902904335264e-07,1.0,3.30337934428826e-05,1.0,2.2930489966207264e-07,1.904022744183673e-05,2.9456791402302165,0.043997238419365946,0.1491736946895796,0.006505520083010197,0
44080,80,control,1.792185315707684e-07,1.0,3.327620652271435e-05,1.0,2.306810348893264e-07,1.929139009341268e-05,3.370361496067304,0.05102685307396642,0.14936188724838212,0.006540209054946899,0
44090,90,control,1.7747552760738472e-07,1.0,3.303731864434667e-05,1.0,2.2932109978465075e-07,1.9535766368273185e-05,3.796169759117093,0.0583292300368711,0.1497986701853592,0.00658078957349062,0
44100,100,control,1.7719540323923866e-07,1.0,3.296856812085025e-05,1.0,2.3177444031877558e-07,1.9689574530274325e-05,4.225924603208768,0.06574441944775478,0.14980930537813344,0.00652925344184041,0
44110,110,control,1.7570138766132004e-07,1.0,3.30571856466122e-05,1.0,2.345032346542655e-07,1.9823403018915153e-05,4.658195986942759,0.07341165116413771,0.14979379880880186,0.006482420954853296,0
44120,120,control,1.7479875680237456e-07,1.0,3.323713463032618e-05,1.0,2.3567711861302996e-07,2.002675200353702e-05,5.0956764118224545,0.08145739907833235,0.15012645031724112,0.006463367026299238,0
44130,130,control,1.7392726192611008e-07,1.0,3.3335614716634154e-05,1.0,2.3879266852294414e-07,2.0013949652750615e-05,5.536440608507037,0.08987395998018584,0.15029323888385068,0.006529713049530983,0
44140,140,control,1.7314913236532448e-07,1.0,3.376878521521576e-05,1.0,2.395529479579919e-07,2.0084811333951008e-05,5.978367741500608,0.09859530382592324,0.1504505148496291,0.006613629404455423,0
44150,150,control,1.730246310671646e-07,1.0,3.3435910154366866e-05,1.0,2.42684944748911e-07,2.016274574631488e-05,6.422815650837901,0.1075700083727926,0.15051968011592426,0.006601438857614994,0
44160,160,control,1.7034786026215443e-07,1.0,3.294553971500136e-05,1.0,2.4494994971620093e-07,2.027691370697637e-05,6.868943589057477,0.1167712086496373,0.1503845851372974,0.006637692451477051,0
44170,170,control,1.6932074231590377e-07,1.0,3.291261964477599e-05,1.0,2.4715134450397994e-07,2.0596342813286378e-05,7.316644066746788,0.1262440696938286,0.15004802210994697,0.006696884986013174,0
44180,180,control,1.691339832632366e-07,1.0,3.251204907428473e-05,1.0,2.4737425882170646e-07,2.062099665076213e-05,7.766550728840965,0.13605915437338748,0.14976927789120992,0.00669736647978425,0
44190,190,control,1.6720422024718573e-07,1.0,3.2094896596390754e-05,1.0,2.5515033077796295e-07,2.0861364963772595e-05,8.214274117040743,0.146210843525995,0.14937582000205393,0.00660264166072011,0
44200,200,control,1.6558571758196194e-07,1.0,3.1865482014836743e-05,1.0,2.520619980780129e-07,2.0822580517698184e-05,8.662342349132604,0.1566252293722927,0.14904887146754373,0.006597749888896942,0
44210,210,control,1.6524333545930858e-07,1.0,3.1776678952155635e-05,1.0,2.560901488606377e-07,2.115572938066152e-05,9.111107012268821,0.167172197038321,0.14908791387324757,0.00666741793975234,0
44220,220,control,1.6244207756699325e-07,1.0,3.1795680115465075e-05,1.0,2.5777056690822303e-07,2.1260396078242886e-05,9.560073228125905,0.17796553455185135,0.14895363351900778,0.0066158464178442955,0
44230,230,control,1.6138382363806159e-07,1.0,3.187605761922896e-05,1.0,2.62924209886914e-07,2.1227262602875153e-05,10.010579196803551,0.18904014473472475,0.14886112573192564,0.006658405065536499,0
44240,240,control,1.6020106841097004e-07,1.0,3.186595131410286e-05,1.0,2.6321359190106046e-07,2.1053355187375327e-05,10.462969113613859,0.20027928423783703,0.14877766608134085,0.006587874609977007,0
44250,250,control,1.5842694267576007e-07,1.0,3.185484456480481e-05,1.0,2.6049079520178966e-07,2.1190438603549742e-05,10.916388865885123,0.21164092756883612,0.14882872429232008,0.006501180585473776,0
44260,260,control,1.573998105186547e-07,1.0,3.168687908328138e-05,1.0,2.6842774753629606e-07,2.1419831118629132e-05,11.369837170837588,0.22321730415456026,0.14886938823397494,0.006579074542969465,0
44270,270,control,1.5727530922049482e-07,1.0,3.170929630869068e-05,1.0,2.7296377860326795e-07,2.1322275912667215e-05,11.826826425039414,0.23515379530012442,0.1486370082416232,0.006628014147281647,0
44280,280,control,1.5590579494073609e-07,1.0,3.1792853405931965e-05,1.0,2.7199436079208817e-07,2.1386766970412488e-05,12.285647478816445,0.2474835741076676,0.1488502425113607,0.006553344428539276,0
44290,290,control,1.5487867699448543e-07,1.0,3.209202259313315e-05,1.0,2.7801201885972955e-07,2.1627653363146492e-05,12.748270335067055,0.26016925975897376,0.14932482063633776,0.006544878706336021,0
44300,300,control,1.5466079616999195e-07,1.0,3.266191924922168e-05,1.0,2.786828507836688e-07,2.2129556596744668e-05,13.214101939511814,0.27329635204702374,0.1495146300207884,0.006577782332897186,0
44310,310,control,1.5372704353922018e-07,1.0,3.386430034879595e-05,1.0,2.8603820310490093e-07,2.223580077001101e-05,13.682476073174545,0.2867950087826532,0.149781460471645,0.006637198850512505,0
44320,320,control,1.5307341527659446e-07,1.0,3.4772125218296424e-05,1.0,2.86093374627242e-07,2.2011221511127888e-05,14.152405565187456,0.30070767653112424,0.14961300214953893,0.006678960286080837,0
44330,330,control,1.5129927533052978e-07,1.0,3.559316246537492e-05,1.0,2.909318695519961e-07,2.264948793188998e-05,14.62244129180885,0.31497017106532144,0.14950162526037963,0.006765605881810188,0
44340,340,control,1.5020989962977183e-07,1.0,3.599244882934727e-05,1.0,2.8963528123121265e-07,2.284759164999795e-05,15.094312218159702,0.32964977769737414,0.14975881577987726,0.006669830996543169,0
44350,350,control,1.4992977526162576e-07,1.0,3.6977162380935624e-05,1.0,2.9864213712792675e-07,2.2768336180197917e-05,15.567228393311046,0.3447729115776231,0.1493709836154046,0.006730802357196808,0
44360,360,control,1.4893376487634669e-07,1.0,3.79499833798036e-05,1.0,3.013335606860532e-07,2.3286508964801115e-05,16.03996763541237,0.36033293471179356,0.14888018260150981,0.006559427361935377,0
44370,370,control,1.480622700000822e-07,1.0,3.849827407975681e-05,1.0,3.0803812958312865e-07,2.3529989824569793e-05,16.513067234042513,0.3764405183099287,0.14841294223985985,0.006627657450735569,0
44380,380,control,1.481867712982421e-07,1.0,3.9039772673277184e-05,1.0,3.1692047817446994e-07,2.3930239650834218e-05,16.986270719097153,0.3933259966307347,0.14786891635685875,0.00650784932076931,0
44390,390,control,1.473463839829492e-07,1.0,3.8966645661275834e-05,1.0,3.245140785484265e-07,2.3918779199398693e-05,17.459816602590703,0.4110307684815857,0.14737665390318908,0.0065452223643660545,0
44400,400,control,1.472841404392966e-07,1.0,3.8887723349034786e-05,1.0,3.232175323843105e-07,2.4162160230970887e-05,17.933241170937816,0.42975238104848607,0.14712175799802263,0.006456132512539625,0
44410,410,control,1.4700401607115055e-07,1.0,3.97886433347594e-05,1.0,3.336201670991439e-07,2.4645336883183363e-05,18.406636981783777,0.4491405592469429,0.14683026311466096,0.006492615677416325,0
44420,420,control,1.4775100964925514e-07,1.0,4.094658652320504e-05,1.0,3.405136988290845e-07,2.4567620345452823e-05,18.881503239231694,0.4693685384423415,0.1468441850283314,0.006461291573941708,0
44430,430,control,1.4821789307006838e-07,1.0,4.2773761379066855e-05,1.0,3.422041470491978e-07,2.480166838997136e-05,19.35572789913416,0.49039216304801203,0.1472445496431883,0.00651817861944437,0
44440,440,control,1.4703513784297684e-07,1.0,4.435572918737307e-05,1.0,3.4017521745638546e-07,2.5439574218678542e-05,19.827839168938652,0.5122245677901991,0.1476869339014883,0.006581840571016073,0
44450,450,control,1.480622700000822e-07,1.0,4.448452091310173e-05,1.0,3.5567818589179096e-07,2.5427513493769023e-05,20.29801813069311,0.5351218442479714,0.1474907454272488,0.006394477561116219,0
44460,460,control,1.4712851736931043e-07,1.0,4.6269880840554833e-05,1.0,3.580700071041059e-07,2.556708931487965e-05,20.77137533057833,0.5589772639834185,0.14756900462206005,0.006425030529499054,0
44470,470,control,1.480622700000822e-07,1.0,4.832299964618869e-05,1.0,3.672113343893333e-07,2.5747324878765955e-05,21.25043649723887,0.5837745176959472,0.14780393941450684,0.006443276070058346,0
44480,480,control,1.4790663271924132e-07,1.0,5.078115646028891e-05,1.0,3.82436165550632e-07,2.5704754776629682e-05,21.733377672292665,0.6094915776335673,0.14754675134357328,0.006509430706501007,0
44490,490,control,1.4840463791188085e-07,1.0,5.408422293839976e-05,1.0,3.918538716748269e-07,2.579523938042794e-05,22.219668396525897,0.6360544568304561,0.14785025461239285,0.0066358172334730625,0
44500,500,control,1.489026431045204e-07,1.0,5.741082350141369e-05,1.0,4.0633648184477583e-07,2.6154285738546984e-05,22.70907070254505,0.6638913178588035,0.14811968915384702,0.006906677968800068,0
44510,510,control,1.5005427655978565e-07,1.0,5.7890134485205635e-05,1.0,4.107221694816027e-07,2.7083045840464452e-05,23.197739169971584,0.6929140694633619,0.14870245907226787,0.007009737193584442,0
44520,520,control,1.5002315478795936e-07,1.0,5.944872827967629e-05,1.0,4.374543563216611e-07,2.678072546667417e-05,23.68586299043358,0.7234097376057271,0.14772747531217353,0.006629026494920254,0
44530,530,control,1.5064564706790406e-07,1.0,6.0073707572882995e-05,1.0,4.3739270772604986e-07,2.8018359645677302e-05,24.171906645700084,0.7554127130161695,0.14792301268317962,0.0069057513028383255,0
44540,540,control,1.5070790482241136e-07,1.0,6.284750998020172e-05,1.0,4.807699558166158e-07,2.8457644115242556e-05,24.654314164487737,0.7889357978407736,0.14732422289467062,0.006601587403565645,0
44550,550,control,1.5089464966422383e-07,1.0,6.610655691474676e-05,1.0,4.7407352214528206e-07,2.9553274992651195e-05,25.133255411669086,0.8243559837602558,0.14708804615406854,0.006502331234514713,0
44560,560,control,1.497741521916396e-07,1.0,6.965053762542084e-05,1.0,5.170573106249278e-07,2.9424228298383004e-05,25.61214045197501,0.8618739256176977,0.14678105385824713,0.006693729665130377,0
44570,570,control,1.4930726877082634e-07,1.0,7.316500705201179e-05,1.0,5.518424143768919e-07,2.9067818670752942e-05,26.090113905950695,0.9010556136850102,0.1466601059142172,0.00689381780102849,0
44580,580,control,1.4796889047374862e-07,1.0,7.458798791049048e-05,1.0,5.634890126883646e-07,2.9785682448838133e-05,26.568403444673276,0.9420002575922619,0.14624741388613416,0.006546740420162678,0
44590,590,control,1.4943177006898622e-07,1.0,8.03698058007285e-05,1.0,5.883999671409554e-07,3.091575659967787e-05,27.048679176377647,0.9855869668787751,0.1461909894046558,0.006337256170809269,0
44600,600,control,1.4874702003453422e-07,1.0,8.539503323845565e-05,1.0,5.734860134118754e-07,3.0205015541165705e-05,27.53019799766258,1.0304238605843004,0.14658998804105672,0.0064515043050050735,0
44610,610,control,1.4762650835109525e-07,1.0,9.278248762711883e-05,1.0,6.037464330028543e-07,3.097550951925196e-05,28.013043742274295,1.076208141125052,0.14601360741430458,0.006529110483825207,0
44620,620,control,1.457278813177254e-07,1.0,9.959424642147496e-05,1.0,6.42179996234484e-07,3.1386929545096434e-05,28.494699089617747,1.123522241818395,0.14572997673649585,0.006481567397713661,0
44630,630,control,1.4538549919507204e-07,1.0,0.00010619923705235124,1.0,7.054606250051857e-07,3.207556544535245e-05,28.975557524354407,1.172553526232196,0.14473678691005365,0.006148074753582478,0
44640,640,control,1.4457624786246015e-07,1.0,0.00011811637523351237,1.0,7.306880254008468e-07,3.231671765317175e-05,29.457276338105025,1.2236862357127363,0.14418066648665936,0.006227034144103527,0
44650,650,control,1.472218826847893e-07,1.0,0.00012881041038781404,1.0,7.262733227709174e-07,3.3906767485952656e-05,29.939172777859746,1.2778809804414673,0.14413224752047035,0.006335573270916939,0
44660,660,control,1.4775100964925514e-07,1.0,0.00013882553321309388,1.0,7.296505806293224e-07,3.634796608312564e-05,30.420351641776776,1.3332413874903053,0.14462098092458192,0.006227217614650726,0
44670,670,control,1.4846689566638815e-07,1.0,0.00015372090274468064,1.0,7.640456077966613e-07,3.495637055411151e-05,30.90278719585737,1.3891042583954443,0.1449548283255484,0.0062624262645840645,0
44680,680,control,1.4924502522717376e-07,1.0,0.0001699735876172781,1.0,8.178306882303014e-07,3.15646681187662e-05,31.388954340274612,1.44621128132885,0.14509829328848847,0.005997348111122847,0
44690,690,control,1.5024102140159812e-07,1.0,0.00018291496962774545,1.0,8.69239846084924e-07,3.5540533312243714e-05,31.87726840792398,1.504272110519003,0.1455566940364322,0.006539458408951759,0
44700,700,control,50.71021270751953,0.18537859618663788,52.979305267333984,0.1676921397447586,27.762760815927397,913.0723815209208,32.1378751332411,2.1875749875702892,0.14288465563619543,0.006272610742598772,1
44710,710,control,6.156408786773682,0.44595301151275635,7.922734260559082,0.36346346139907837,4.629174371760056,83.45931809978687,32.30647811123176,4.431521268598178,0.16614005639186083,0.006057762540876865,1
44720,720,control,1.5127815008163452,0.6963446736335754,2.7424373626708984,0.5667300820350647,1.6352824795591612,22.00314958142787,32.62791085124027,5.457117619393108,0.17596985483286712,0.006426886655390263,1
44730,730,control,0.434871107339859,0.8812010288238525,1.2876107692718506,0.7217809557914734,0.6782573662605293,9.238691023594466,33.12673057124155,5.823750173775146,0.18362134041067088,0.006653422489762306,1
44740,740,control,0.11398999392986298,0.9751958250999451,0.7269102931022644,0.816646158695221,0.23676901232231165,3.0424814559816364,33.7796838981033,5.903385078048835,0.1864073735847357,0.005984375718981028,0
44750,750,control,0.038300953805446625,0.997389018535614,0.4713824689388275,0.8698959350585938,0.10231126595765619,1.2315087865015801,34.56192850994108,5.885401035336065,0.18688411581976838,0.006564784329384565,0
44760,760,control,0.017391901463270187,0.9997389316558838,0.3381056785583496,0.9036805033683777,0.04674542294192578,0.5694750388519414,35.4591924300155,5.829832315218461,0.1868893277335495,0.0063613769598305225,0
44770,770,control,0.009678119793534279,1.0,0.2598133683204651,0.9248238205909729,0.027523475779969202,0.2902790443235592,36.45817584221979,5.767211050506672,0.18751978132368058,0.006280191242694855,0
44780,780,control,0.006308502517640591,1.0,0.20789824426174164,0.9394786953926086,0.016972565257103535,0.18036464448702524,37.539633916773354,5.702642452264333,0.18851074296410025,0.006253444589674473,0
44790,790,control,0.004336673766374588,1.0,0.16965317726135254,0.9469739198684692,0.011258646505315448,0.12032154059283505,38.6786417047459,5.640746765179111,0.18959022238587767,0.0066695138812065125,0
44800,800,control,0.0030033206567168236,1.0,0.13716109097003937,0.9567065834999084,0.006905641301504068,0.07876814536634173,39.846529927994624,5.582094652790663,0.1906447822119449,0.00714951753616333,0
44810,810,control,0.0020991447381675243,1.0,0.1102069839835167,0.9624118804931641,0.004201172813528197,0.05218303449034547,41.0280066666364,5.525888063817908,0.19130331122055058,0.006593128200620413,0
44820,820,control,0.001509922556579113,1.0,0.09002301096916199,0.9693477749824524,0.002737152954512262,0.036793083134593216,42.22264197798245,5.471289002416137,0.19212184966867174,0.005965062882751226,0
44830,830,control,0.0011269288370385766,1.0,0.07500443607568741,0.9742700457572937,0.0018872395641312833,0.02818548426671519,43.4235128741476,5.417693369095298,0.19310945714494906,0.005642206408083439,0
44840,840,control,0.0008507627062499523,1.0,0.0625402182340622,0.978632926940918,0.001366116070156892,0.020886757904243367,44.618862713724134,5.364880774946234,0.19440312310971192,0.006543310824781656,0
44850,850,control,0.0006450329092331231,1.0,0.052600961178541183,0.9825483560562134,0.000934472149825481,0.014934623601521615,45.79615672109513,5.3129207593316785,0.19544126493160122,0.006107702851295471,0
44860,860,control,0.0004994104383513331,1.0,0.04394970461726189,0.9857925772666931,0.0006893110756882665,0.011026273800012606,46.95139279251515,5.261796328217613,0.19633131334544385,0.006041694898158312,0
44870,870,control,0.0003903314645867795,1.0,0.03659334033727646,0.9866875410079956,0.0004908726595313009,0.0085007834472816,48.073849503054284,5.211382744395152,0.19705669116345717,0.006000518798828125,0
44880,880,control,0.00030986068304628134,1.0,0.030447017401456833,0.9904910922050476,0.0003703149739232542,0.006647180755997757,49.155939741681564,5.161599612642565,0.1973824847226527,0.006186794023960829,0
44890,890,control,0.0002479902177583426,1.0,0.024853097274899483,0.9931759834289551,0.0002856818980011868,0.005343928068012698,50.202803375390125,5.112476805859003,0.19755848887668584,0.006178526673465967,0
44900,900,control,0.000198062727577053,1.0,0.020372921600937843,0.9938471913337708,0.00021829751009047954,0.004173989500514306,51.20817954583047,5.063977910205887,0.19859736301122555,0.006891564466059208,0
44910,910,control,0.0001591752516105771,1.0,0.01709013059735298,0.9945183992385864,0.00016433872664010072,0.0032423030836418064,52.1645615625156,5.0161499298505445,0.19757301429595392,0.007264136336743832,0
44920,920,control,0.0001316617417614907,1.0,0.014573654159903526,0.996196448802948,0.00012836843705883917,0.0025565517854621933,53.07281895407051,4.969006381081372,0.19590957483305263,0.007464681286364794,0
44930,930,control,0.00011054318019887432,1.0,0.012466251850128174,0.9964202046394348,0.00010299641272960136,0.002105766925628169,53.9223735504831,4.922553836357601,0.1963528069583361,0.007894807495176792,0
