step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected,hidden_applied_update_norm,hidden_gradient_component_norm,hidden_decay_component_norm,hidden_applied_update_rms,hidden_parameter_norm,embeddings_applied_update_norm,embeddings_gradient_component_norm,embeddings_decay_component_norm,embeddings_applied_update_rms,embeddings_parameter_norm,readout_applied_update_norm,readout_gradient_component_norm,readout_decay_component_norm,readout_applied_update_rms,readout_parameter_norm
44000,0,control,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,0.0,0.0,nan,nan,0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan
44001,1,control,1.8793356559854146e-07,1.0,3.324306817376055e-05,1.0,2.264346371865281e-07,1.7470532067776953e-05,0.042862160202393515,0.0006017886793864991,0.1499097144708877,0.00662264134734869,0,0.0428621598343584,0.14991165498773126,0.14795844675625697,9.666593561881088e-05,147.95420335043713,0.0005660103374891737,0.004096443800244567,0.0038862768186655548,4.6251566598598306e-06,3.8864512413784618,0.00020440623642095995,0.0007631750041213023,0.000795680636141239,1.699612573951357e-06,0.7956225332385208
44002,2,control,1.876534412303954e-07,1.0,3.317397931823507e-05,1.0,2.254779436354514e-07,1.743505432457024e-05,0.08546367073937472,0.001201321736722105,0.149961794593606,0.006513660307973623,0,0.042849204914147315,0.14996352174384922,0.14795420893194422,9.663671871775152e-05,147.95002933977617,0.0005649133205636374,0.004099237409923882,0.0038864514671801383,4.616192379875774e-06,3.886628861082756,0.0002057378454640663,0.0007632452381793949,0.0007956225533071942,1.7106847384453501e-06,0.7955642466637189
44003,3,control,1.8905407728198043e-07,1.0,3.319912502774969e-05,1.0,2.2653161447572976e-07,1.760543229744433e-05,0.12814376681272385,0.0017988877794494942,0.14990240220362386,0.006550028920173645,0,0.04289028962240657,0.1499042099268058,0.1479500323609998,9.672937601217752e-05,147.94578425262748,0.0005649982924798418,0.0040997971179129525,0.0038866289360303327,4.616886728367495e-06,3.8868069629147612,0.0002040526340576946,0.0007634794291322824,0.0007955642518813162,1.696672414035947e-06,0.7955066676217056
44004,4,control,1.8780906430038158e-07,1.0,3.323510827613063e-05,1.0,2.244258350695576e-07,1.7518617246298413e-05,0.17057192863622503,0.002396975279852349,0.1499550177642652,0.006555287633091211,0,0.042693916263178575,0.14995688353318115,0.1479457919350268,9.628650018478708e-05,147.94165456117108,0.0005670352758273462,0.004103959486683297,0.0038868070973924053,4.633531949261387e-06,3.886988731572964,0.00020581723777152375,0.0007642585184711272,0.0007955066964669081,1.7113448756622587e-06,0.795449421606034
44005,5,control,1.8743557461675664e-07,1.0,3.31528099195566e-05,1.0,2.271104142886878e-07,1.7691373811122885e-05,0.21304070921024354,0.002997151758211581,0.14982690702101914,0.00658213859423995,0,0.042800729074650455,0.1498287972628515,0.14794166155357896,9.652739239360033e-05,147.93736715113386,0.0005712123876559734,0.004108223617099348,0.0038869888736920402,4.667665242089318e-06,3.8871744090066143,0.00020611130170248386,0.0007646295335209687,0.0007954494584614905,1.7137899808770335e-06,0.7953925086886098
44006,6,control,1.876845630022217e-07,1.0,3.324326462461613e-05,1.0,2.2724304293998853e-07,1.771713722871424e-05,0.25547333713106524,0.0035965478709973015,0.14978393929404055,0.00662539666518569,0,0.04277696977307234,0.1497857746460192,0.1479373768199876,9.647380864687423e-05,147.93305156097006,0.0005726904636578963,0.004109767518841767,0.003887174491997615,4.679743348461719e-06,3.887361199750612,0.0002046812913663981,0.0007655398191265165,0.0007953925379335873,1.7018996218026342e-06,0.7953369031958177
44007,7,control,1.8790244382671517e-07,1.0,3.323376222397201e-05,1.0,2.2588868418501813e-07,1.7730646062630848e-05,0.2978798936598711,0.00419858339192523,0.14968733460023653,0.006632721982896328,0,0.04278324157181532,0.14968911578236122,0.1479330565497291,9.648795327457954e-05,147.92863599606483,0.0005763941671093621,0.00411215062702605,0.003887361408337182,4.7100081820700285e-06,3.8875497030372688,0.00020662753722499021,0.0007653895911204625,0.0007953369355441037,1.7180824153963267e-06,0.7952807317058519
44008,8,control,1.877156989849027e-07,1.0,3.326220394228585e-05,1.0,2.2591518565662413e-07,1.7804583499534583e-05,0.34016070008618077,0.0048013701683152325,0.1496729066010391,0.00651904009282589,0,0.042686808928173184,0.14967463871379202,0.14792864486487065,9.62704711934645e-05,147.9242434055668,0.0005779353269642905,0.004114750333993104,0.0038875499569997933,4.722601778502473e-06,3.8877406871057487,0.00020879247579669153,0.0007649599827526957,0.0007952807574600535,1.7360836118506173e-06,0.7952235818556393
44009,9,control,1.8675081037144992e-07,1.0,3.327431477373466e-05,1.0,2.269290076254336e-07,1.786702874691387e-05,0.3823638121211973,0.005406290428628948,0.14962831479660507,0.006635831668972969,0,0.04264688062898681,0.14963018768104416,0.1479242495752884,9.618042191891943e-05,147.91981354853843,0.0005813873536512121,0.004119667064216289,0.0038877408733769166,4.750810034012179e-06,3.8879360794220426,0.00020705015002912895,0.0007655621688709636,0.000795223610413749,1.721596388592075e-06,0.7951675522777407
44010,10,control,1.876534412303954e-07,1.0,3.334871507831849e-05,1.0,2.2655053968727284e-07,1.791618588104069e-05,0.42441208651536283,0.006012113480715391,0.1496481919925989,0.006667791400104761,0,0.042564624567622625,0.14965002743915204,0.14791982267445314,9.599491192215735e-05,147.91543637619225,0.0005829548767814914,0.004120009189757421,0.003887936342879178,4.763619058097599e-06,3.8881314796443736,0.00020954719662631381,0.0007648390352777587,0.0007951676030385816,1.7423590222016367e-06,0.7951102443645862
44011,11,control,1.8703093473959598e-07,1.0,3.333825952722691e-05,1.0,2.2608541204893268e-07,1.794558162892443e-05,0.46647654715193554,0.006618449949327572,0.14968437612147753,0.006747683044523001,0,0.042600591705214665,0.14968610288798231,0.1479154444375942,9.607602769001182e-05,147.91108795964638,0.0005851494546277131,0.004122857021098047,0.0038881317038713817,4.781552063325136e-06,3.8883293150417617,0.00020900613252535335,0.0007649031714050912,0.0007951102691314397,1.7378601411234085e-06,0.7950531572288226
44012,12,control,1.8706207072227699e-07,1.0,3.340149123687297e-05,1.0,2.269638852878702e-07,1.796295112559038e-05,0.5085375510846466,0.007222297491805127,0.14961708081407307,0.006654547527432442,0,0.042672747743148845,0.14961889351228747,0.14791109440540132,9.623875936159367e-05,147.9066568832878,0.0005839686540339238,0.004125157469373566,0.003888329387690152,4.771903144624185e-06,3.8885293773521137,0.00020949487778424355,0.0007645852992727821,0.0007950531455789172,1.7419239975008539e-06,0.7949956536324168
44013,13,control,1.861905616351578e-07,1.0,3.3430231269448996e-05,1.0,2.257601397488329e-07,1.8022297663553387e-05,0.5506156107054374,0.007827867486530525,0.14954511149018354,0.006712974049150944,0,0.04261971676634902,0.1495469513697036,0.14790666317539508,9.611915995248913e-05,147.90217285210858,0.0005880218975017515,0.004129100693371564,0.0038885296625912036,4.80502424644437e-06,3.888732989188792,0.00020773012277448772,0.0007650572842127581,0.0007949957319157384,1.727250277867625e-06,0.7949391955988847
44014,14,control,1.8650180777513015e-07,1.0,3.353954525664449e-05,1.0,2.2425741428464583e-07,1.8052282990812088e-05,0.5925673512228408,0.008432560216445466,0.14938501936477777,0.006553499028086662,0,0.04261440078493826,0.14938694187311533,0.14790217671491837,9.610717095522931e-05,147.89753021385914,0.0005878499741642384,0.004129255883211822,0.0038887332056023742,4.803619373923824e-06,3.8889366023390295,0.0002090081382952199,0.0007656942121025218,0.0007949392079392119,1.7378768188517663e-06,0.7948830334970852
44015,15,control,1.8553693337253208e-07,1.0,3.352843123138882e-05,1.0,2.244461205441563e-07,1.8050368725577088e-05,0.6344218112918609,0.009037580450196078,0.1494031495042942,0.006484309211373329,0,0.04250895433026364,0.14940494933416942,0.1478975397756473,9.586936025604383e-05,147.89293942985623,0.0005877513946481147,0.004131051946591673,0.0038889366329027822,4.8028138308527415e-06,3.889141941925903,0.00021105590626108045,0.0007654464034969436,0.0007948830375017392,1.7549037562106819e-06,0.7948261175192718
44016,16,control,1.868753116696098e-07,1.0,3.353776992298663e-05,1.0,2.2414851120358633e-07,1.808365981260903e-05,0.676192499879707,0.009644631358434281,0.14938606260695428,0.006594851613044739,0,0.04247351499074589,0.14938792610952356,0.14789294992056257,9.578943481772166e-05,147.88835428129983,0.0005895723622011292,0.004131830372164417,0.003889142059709936,4.817693877465627e-06,3.8893475537072666,0.00021587367302369504,0.0007641245905638455,0.0007948261836854662,1.7949628909586128e-06,0.7947667600863034
44017,17,control,1.8643956423147756e-07,1.0,3.3599990274524316e-05,1.0,2.2562397397894903e-07,1.8158870768148618e-05,0.7178967133246776,0.010249474826172958,0.14946846623022295,0.006729301530867815,0,0.04254192276150525,0.14947026884753642,0.14788836149739495,9.594371311796611e-05,147.88382759735342,0.0005891843738007001,0.004135137293277989,0.003889347743306925,4.814523428066851e-06,3.8895565992312457,0.0002139723897036655,0.0007645808013613523,0.0007947667867703548,1.7791539553118976e-06,0.7947083732452833
44018,18,control,1.8634618470514397e-07,1.0,3.354798536747694e-05,1.0,2.2704495932720906e-07,1.8165756623875573e-05,0.7596667708231173,0.01085389199016909,0.14933504137942474,0.006611368618905544,0,0.042662908415176504,0.14933692664508086,0.1478838390573371,9.621656897622853e-05,147.8791431094895,0.0005906808083370015,0.004138410502179497,0.003889556821176635,4.826751551306298e-06,3.889768464048846,0.00021349999370022068,0.0007645505048222754,0.0007947083868000105,1.775226040971331e-06,0.7946500946254166
44019,19,control,1.861905616351578e-07,1.0,3.359562833793461e-05,1.0,2.278611519929505e-07,1.8011829319570524e-05,0.801398257095759,0.011456189268850638,0.14935219420644247,0.00675702840089798,0,0.04266497486227503,0.14935403674633796,0.14787915116017342,9.622122938165276e-05,147.8744782852166,0.0005891052014220192,0.00413984821618006,0.0038897685872102037,4.81387647052866e-06,3.889982165137749,0.00021361846505141223,0.0007649858790042798,0.0007946501613693724,1.7762111156034155e-06,0.7945923368213599
44020,20,control,1.8647068600330385e-07,1.0,3.352853673277423e-05,1.0,2.2869073530232775e-07,1.8100748097023178e-05,0.8431971563926581,0.012055423062128525,0.14913560647029592,0.00661363685503602,0,0.04272624080812897,0.14913754884530847,0.14787448122132252,9.635940090638295e-05,147.86957803880756,0.0005866925649095246,0.004142087164791075,0.003889982340012342,4.794161597681839e-06,3.890198181478865,0.00021244293644962368,0.0007655101545875076,0.0007945923608992793,1.7664367406742442e-06,0.7945354000196974
44021,21,control,1.8519455124987871e-07,1.0,3.357341847731732e-05,1.0,2.2632674417489916e-07,1.800788050726418e-05,0.884839294830915,0.012652404282218794,0.1492611857481263,0.00672333687543869,0,0.042453663209134115,0.14926313431713403,0.14786958597200786,9.5744663601091e-05,147.86488979729307,0.0005852698410767572,0.004146557440040433,0.0038901982998048174,4.782535801871367e-06,3.890418857739601,0.00021094214312873647,0.0007667030695843463,0.0007945354505118592,1.753957829835981e-06,0.7944800721436736
44022,22,control,1.846965602680939e-07,1.0,3.354614455020055e-05,1.0,2.2549459422033966e-07,1.8062380917020888e-05,0.9267155215438624,0.013249846439069972,0.149014489136627,0.00664416141808033,0,0.04274676719067459,0.14901639807987463,0.14786489604834807,9.640569353329e-05,147.85987447738736,0.0005863445850652907,0.004148458655122611,0.00389041905239098,4.791318078425292e-06,3.8906414968071914,0.0002125284831885223,0.0007662981578837959,0.0007944801101041519,1.7671480512273783e-06,0.7944239901271094
