step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,freeze_hidden,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,0.0,0.0,nan,nan,0
44010,10,freeze_hidden,1.9182421340246947e-07,1.0,3.3344669645885006e-05,1.0,0.0,1.5752139151563787e-05,0.0,0.005698128196329854,0.0,0.0,0
44020,20,freeze_hidden,1.9123282868349634e-07,1.0,3.3563879696885124e-05,1.0,0.0,1.53192028655112e-05,0.0,0.011108929726654261,0.0,0.0,0
44030,30,freeze_hidden,1.899878299127522e-07,1.0,3.3761647500796244e-05,1.0,0.0,1.5877662614138397e-05,0.0,0.01626143508313205,0.0,0.0,0
44040,40,freeze_hidden,1.8877395291383436e-07,1.0,3.3867447200464085e-05,1.0,0.0,1.600367813565823e-05,0.0,0.02109562198447777,0.0,0.0,0
44050,50,freeze_hidden,1.8712431426592957e-07,1.0,3.3960037399083376e-05,1.0,0.0,1.5999762355250814e-05,0.0,0.02587980961042574,0.0,0.0,0
44060,60,freeze_hidden,1.8731107331859675e-07,1.0,3.4186614357167855e-05,1.0,0.0,1.5962692724746428e-05,0.0,0.030727139433179708,0.0,0.0,0
44070,70,freeze_hidden,1.8631506293331768e-07,1.0,3.456540798651986e-05,1.0,0.0,1.590592509303683e-05,0.0,0.035711387771815956,0.0,0.0,0
44080,80,freeze_hidden,1.8478992558357277e-07,1.0,3.4758199035422876e-05,1.0,0.0,1.6127899459677797e-05,0.0,0.04067670700803825,0.0,0.0,0
44090,90,freeze_hidden,1.838250511809747e-07,1.0,3.504191408865154e-05,1.0,0.0,1.6141393289685825e-05,0.0,0.045689400946366136,0.0,0.0,0
44100,100,freeze_hidden,1.845098012154267e-07,1.0,3.517817458487116e-05,1.0,0.0,1.6363243626821536e-05,0.0,0.05079227713175148,0.0,0.0,0
44110,110,freeze_hidden,1.8401179602278717e-07,1.0,3.5212477087043226e-05,1.0,0.0,1.6315860514456483e-05,0.0,0.056039079606788805,0.0,0.0,0
44120,120,freeze_hidden,1.8133503942863172e-07,1.0,3.521699909470044e-05,1.0,0.0,1.646539272174895e-05,0.0,0.06143037560835118,0.0,0.0,0
44130,130,freeze_hidden,1.8099265730597835e-07,1.0,3.527202716213651e-05,1.0,0.0,1.668325276565728e-05,0.0,0.06697243610339078,0.0,0.0,0
44140,140,freeze_hidden,1.7959203546524805e-07,1.0,3.547277083271183e-05,1.0,0.0,1.6719370518916554e-05,0.0,0.07267173017506776,0.0,0.0,0
44150,150,freeze_hidden,1.792185315707684e-07,1.0,3.575243317754939e-05,1.0,0.0,1.6774066972431113e-05,0.0,0.07858659101663615,0.0,0.0,0
44160,160,freeze_hidden,1.7931191109710198e-07,1.0,3.586563252611086e-05,1.0,0.0,1.7162842846411563e-05,0.0,0.08470244129691373,0.0,0.0,0
44170,170,freeze_hidden,1.775377711510373e-07,1.0,3.613114677136764e-05,1.0,0.0,1.7003968748108953e-05,0.0,0.09099410494804133,0.0,0.0,0
44180,180,freeze_hidden,1.7735102630922484e-07,1.0,3.6433219065656886e-05,1.0,0.0,1.704489147807069e-05,0.0,0.09735694935665794,0.0,0.0,0
44190,190,freeze_hidden,1.7573250943314633e-07,1.0,3.664921678137034e-05,1.0,0.0,1.7136456406434767e-05,0.0,0.10378692219085818,0.0,0.0,0
44200,200,freeze_hidden,1.753590197495214e-07,1.0,3.6926463508279994e-05,1.0,0.0,1.707654083929397e-05,0.0,0.11032921681323303,0.0,0.0,0
44210,210,freeze_hidden,1.7467425550421467e-07,1.0,3.732558252522722e-05,1.0,0.0,1.6970348628706106e-05,0.0,0.11692439316652607,0.0,0.0,0
44220,220,freeze_hidden,1.7333587720713695e-07,1.0,3.7643265386577696e-05,1.0,0.0,1.725080415090623e-05,0.0,0.12360481168698856,0.0,0.0,0
44230,230,freeze_hidden,1.7318025413715077e-07,1.0,3.8133042835397646e-05,1.0,0.0,1.7258569675663497e-05,0.0,0.13041296945936684,0.0,0.0,0
44240,240,freeze_hidden,1.713438706474335e-07,1.0,3.865946564474143e-05,1.0,0.0,1.7401706616864527e-05,0.0,0.13733317291437608,0.0,0.0,0
44250,250,freeze_hidden,1.699121128240222e-07,1.0,3.9113463571993634e-05,1.0,0.0,1.7305085599536812e-05,0.0,0.1443306483807766,0.0,0.0,0
44260,260,freeze_hidden,1.6894723842142412e-07,1.0,3.9411137549905106e-05,1.0,0.0,1.7513330243759635e-05,0.0,0.15148542794566527,0.0,0.0,0
44270,270,freeze_hidden,1.6854261275511817e-07,1.0,3.961419133702293e-05,1.0,0.0,1.7765735714619435e-05,0.0,0.15875334902725663,0.0,0.0,0
44280,280,freeze_hidden,1.6813798708881222e-07,1.0,3.976322113885544e-05,1.0,0.0,1.7349868417361326e-05,0.0,0.16620626502584104,0.0,0.0,0
44290,290,freeze_hidden,1.6630160359909496e-07,1.0,3.982536509283818e-05,1.0,0.0,1.8109521401432113e-05,0.0,0.17380576193550504,0.0,0.0,0
44300,300,freeze_hidden,1.666439715108936e-07,1.0,3.991624907939695e-05,1.0,0.0,1.7938550214483573e-05,0.0,0.18154023286987558,0.0,0.0,0
44310,310,freeze_hidden,1.6567909710829554e-07,1.0,4.011085911770351e-05,1.0,0.0,1.7749824531624888e-05,0.0,0.18935616546259484,0.0,0.0,0
44320,320,freeze_hidden,1.6415395975855063e-07,1.0,4.0425471524940804e-05,1.0,0.0,1.7961331927559453e-05,0.0,0.19725259422263997,0.0,0.0,0
44330,330,freeze_hidden,1.6315796358412626e-07,1.0,4.071435978403315e-05,1.0,0.0,1.788089070262547e-05,0.0,0.2053589608041349,0.0,0.0,0
44340,340,freeze_hidden,1.6153944670804776e-07,1.0,4.091880691703409e-05,1.0,0.0,1.795521876460535e-05,0.0,0.21365081590943044,0.0,0.0,0
44350,350,freeze_hidden,1.6076131714726216e-07,1.0,4.1138719097943977e-05,1.0,0.0,1.8217877385115684e-05,0.0,0.2220639607497506,0.0,0.0,0
44360,360,freeze_hidden,1.5988982227099768e-07,1.0,4.135670678806491e-05,1.0,0.0,1.8133589092754785e-05,0.0,0.23060801503183997,0.0,0.0,0
44370,370,freeze_hidden,1.5936069530653185e-07,1.0,4.1445393435424194e-05,1.0,0.0,1.8343635162184374e-05,0.0,0.2392452050376555,0.0,0.0,0
44380,380,freeze_hidden,1.5758655536046717e-07,1.0,4.1725779738044366e-05,1.0,0.0,1.84432725185769e-05,0.0,0.2480285979440916,0.0,0.0,0
44390,390,freeze_hidden,1.5789781571129424e-07,1.0,4.143630212638527e-05,1.0,0.0,1.8271738644075573e-05,0.0,0.2569959271510447,0.0,0.0,0
44400,400,freeze_hidden,1.5771105665862706e-07,1.0,4.16995826526545e-05,1.0,0.0,1.8237263988993292e-05,0.0,0.2660781406337621,0.0,0.0,0
44410,410,freeze_hidden,1.5478529746815184e-07,1.0,4.1731549572432414e-05,1.0,0.0,1.8291368627932634e-05,0.0,0.2753097148861376,0.0,0.0,0
44420,420,freeze_hidden,1.5531442443261767e-07,1.0,4.1717648855410516e-05,1.0,0.0,1.8480199825827952e-05,0.0,0.28477416172668657,0.0,0.0,0
44430,430,freeze_hidden,1.542872922755123e-07,1.0,4.167900260654278e-05,1.0,0.0,1.8413659807474253e-05,0.0,0.29436945980611334,0.0,0.0,0
44440,440,freeze_hidden,1.5288665622392728e-07,1.0,4.171406544628553e-05,1.0,0.0,1.8664357875275095e-05,0.0,0.30411050800812783,0.0,0.0,0
44450,450,freeze_hidden,1.519840395758365e-07,1.0,4.207599340588786e-05,1.0,0.0,1.85756679773766e-05,0.0,0.313947507145317,0.0,0.0,0
44460,460,freeze_hidden,1.5129927533052978e-07,1.0,4.24140744144097e-05,1.0,0.0,1.857218441687309e-05,0.0,0.32401837570614017,0.0,0.0,0
44470,470,freeze_hidden,1.4996089703345206e-07,1.0,4.259188790456392e-05,1.0,0.0,1.8453360941174424e-05,0.0,0.33418745280021145,0.0,0.0,0
44480,480,freeze_hidden,1.5017877785794553e-07,1.0,4.255296880728565e-05,1.0,0.0,1.8526242239495527e-05,0.0,0.34446921816542325,0.0,0.0,0
44490,490,freeze_hidden,1.4834239436822827e-07,1.0,4.2628329538274556e-05,1.0,0.0,1.8614535997297736e-05,0.0,0.35493205738813877,0.0,0.0,0
44500,500,freeze_hidden,1.4759538657926896e-07,1.0,4.29790306952782e-05,1.0,0.0,1.8704647603983642e-05,0.0,0.3655815524308154,0.0,0.0,0
44510,510,freeze_hidden,1.4694175831664325e-07,1.0,4.3470863602124155e-05,1.0,0.0,1.866796500935521e-05,0.0,0.3763475905352002,0.0,0.0,0
44520,520,freeze_hidden,1.4603912745769776e-07,1.0,4.413136775838211e-05,1.0,0.0,1.8672223542405056e-05,0.0,0.3871695158895466,0.0,0.0,0
44530,530,freeze_hidden,1.4463850561696745e-07,1.0,4.500710929278284e-05,1.0,0.0,1.8537405244809503e-05,0.0,0.3980697288738155,0.0,0.0,0
44540,540,freeze_hidden,1.4386037605618185e-07,1.0,4.617950617102906e-05,1.0,0.0,1.8626772314574612e-05,0.0,0.40914703208782033,0.0,0.0,0
44550,550,freeze_hidden,1.425842413027567e-07,1.0,4.7599842218915e-05,1.0,0.0,1.8769655339959846e-05,0.0,0.42037214966977465,0.0,0.0,0
44560,560,freeze_hidden,1.4196173481195729e-07,1.0,4.891490243608132e-05,1.0,0.0,1.8682371635671833e-05,0.0,0.43175113274544225,0.0,0.0,0
44570,570,freeze_hidden,1.4171273221563752e-07,1.0,5.001938552595675e-05,1.0,0.0,1.8637993644556373e-05,0.0,0.44315423343036686,0.0,0.0,0
44580,580,freeze_hidden,1.3993860648042755e-07,1.0,5.0804883358068764e-05,1.0,0.0,1.8881265757821417e-05,0.0,0.4547338254036733,0.0,0.0,0
44590,590,freeze_hidden,1.403121103749072e-07,1.0,5.1782197260763496e-05,1.0,0.0,1.9161932378952347e-05,0.0,0.4665527926658984,0.0,0.0,0
44600,600,freeze_hidden,1.3884921656881488e-07,1.0,5.2342013077577576e-05,1.0,0.0,1.8715765691476897e-05,0.0,0.4785322183112512,0.0,0.0,0
44610,610,freeze_hidden,1.3813334476253658e-07,1.0,5.315133967087604e-05,1.0,0.0,1.887111535748173e-05,0.0,0.49052402861028305,0.0,0.0,0
44620,620,freeze_hidden,1.373240934299247e-07,1.0,5.372451778384857e-05,1.0,0.0,1.8813802480681418e-05,0.0,0.5025479842876625,0.0,0.0,0
44630,630,freeze_hidden,1.3614133820283314e-07,1.0,5.4314274166245013e-05,1.0,0.0,1.8955300575675454e-05,0.0,0.5146894228240052,0.0,0.0,0
44640,640,freeze_hidden,1.3511420604572777e-07,1.0,5.476655132952146e-05,1.0,0.0,1.8934818300689954e-05,0.0,0.5270030934133325,0.0,0.0,0
44650,650,freeze_hidden,1.3455395730943565e-07,1.0,5.49446303921286e-05,1.0,0.0,1.90227942539444e-05,0.0,0.5394728456540535,0.0,0.0,0
44660,660,freeze_hidden,1.348340816775817e-07,1.0,5.550746209337376e-05,1.0,0.0,1.9199156888755155e-05,0.0,0.5520761324090426,0.0,0.0,0
44670,670,freeze_hidden,1.3299769818786444e-07,1.0,5.631738167721778e-05,1.0,0.0,1.8924788431339025e-05,0.0,0.5648234871867186,0.0,0.0,0
44680,680,freeze_hidden,1.318149429607729e-07,1.0,5.665157732437365e-05,1.0,0.0,1.901940098526353e-05,0.0,0.577591240797833,0.0,0.0,0
44690,690,freeze_hidden,1.3165931989078672e-07,1.0,5.703488932340406e-05,1.0,0.0,1.8696239167589195e-05,0.0,0.5904414737428666,0.0,0.0,0
44700,700,freeze_hidden,1.3128581599630706e-07,1.0,5.73659926885739e-05,1.0,0.0,1.880620873481758e-05,0.0,0.6033769854510561,0.0,0.0,0
44710,710,freeze_hidden,1.2972955687473586e-07,1.0,5.797217454528436e-05,1.0,0.0,1.906683278965473e-05,0.0,0.6164378440941933,0.0,0.0,0
44720,720,freeze_hidden,1.3075668903184123e-07,1.0,5.831134694744833e-05,1.0,0.0,1.923542351494635e-05,0.0,0.6297729532074662,0.0,0.0,0
44730,730,freeze_hidden,1.2972955687473586e-07,1.0,5.840173616888933e-05,1.0,0.0,1.9192006727731736e-05,0.0,0.6433729277936894,0.0,0.0,0
44740,740,freeze_hidden,1.2851567987581802e-07,1.0,5.875079659745097e-05,1.0,0.0,1.933477454589454e-05,0.0,0.6570457779020751,0.0,0.0,0
44750,750,freeze_hidden,1.2730180287690018e-07,1.0,5.8910194638883695e-05,1.0,0.0,1.954334932569546e-05,0.0,0.6708243873520258,0.0,0.0,0
44760,760,freeze_hidden,1.2593228859714145e-07,1.0,5.8893969253404066e-05,1.0,0.0,1.977013322824165e-05,0.0,0.6849053094800679,0.0,0.0,0
44770,770,freeze_hidden,1.2646141556160728e-07,1.0,5.915771907893941e-05,1.0,0.0,1.9453849861753906e-05,0.0,0.6992417398385683,0.0,0.0,0
44780,780,freeze_hidden,1.248740346682098e-07,1.0,5.989510100334883e-05,1.0,0.0,1.9430769747609466e-05,0.0,0.7136440676461514,0.0,0.0,0
44790,790,freeze_hidden,1.2372240121294453e-07,1.0,6.109812966315076e-05,1.0,0.0,1.9239866307733587e-05,0.0,0.7281458976058819,0.0,0.0,0
44800,800,freeze_hidden,1.2378465896745183e-07,1.0,6.193447188707069e-05,1.0,0.0,1.9422137685835482e-05,0.0,0.7427929518840514,0.0,0.0,0
44810,810,freeze_hidden,1.23255532002986e-07,1.0,6.269995355978608e-05,1.0,0.0,1.9172188262110252e-05,0.0,0.7575374657154199,0.0,0.0,0
44820,820,freeze_hidden,1.2210389854772075e-07,1.0,6.405296153388917e-05,1.0,0.0,1.912031283280893e-05,0.0,0.7722653553840576,0.0,0.0,0
44830,830,freeze_hidden,1.2188603193408198e-07,1.0,6.537119043059647e-05,1.0,0.0,1.912887086084124e-05,0.0,0.7869867248386218,0.0,0.0,0
44840,840,freeze_hidden,1.2157477158325491e-07,1.0,6.657595804426819e-05,1.0,0.0,1.903317646352615e-05,0.0,0.8017731854446086,0.0,0.0,0
44850,850,freeze_hidden,1.2117014591694897e-07,1.0,6.803322321502492e-05,1.0,0.0,1.9324484003706976e-05,0.0,0.8167245114569412,0.0,0.0,0
44860,860,freeze_hidden,1.202363932861772e-07,1.0,6.865016621304676e-05,1.0,0.0,1.9239093890431027e-05,0.0,0.8319513307316222,0.0,0.0,0
44870,870,freeze_hidden,1.1880464967362059e-07,1.0,6.952187686692923e-05,1.0,0.0,1.9293960548176453e-05,0.0,0.8472473802348485,0.0,0.0,0
44880,880,freeze_hidden,1.193648984099127e-07,1.0,6.990248220972717e-05,1.0,0.0,1.957589959205098e-05,0.0,0.8625565255732391,0.0,0.0,0
44890,890,freeze_hidden,1.1930265486626013e-07,1.0,7.11579414200969e-05,1.0,0.0,1.947192936712412e-05,0.0,0.8781084722839783,0.0,0.0,0
44900,900,freeze_hidden,1.1762189444652904e-07,1.0,7.189317693701014e-05,1.0,0.0,1.9599330907531272e-05,0.0,0.8940030079495697,0.0,0.0,0
44910,910,freeze_hidden,1.175596437974491e-07,1.0,7.274237577803433e-05,1.0,0.0,1.970240060930242e-05,0.0,0.9101464979098607,0.0,0.0,0
44920,920,freeze_hidden,1.1703051683298327e-07,1.0,7.445067603839561e-05,1.0,0.0,1.9375362308523572e-05,0.0,0.9263925892019683,0.0,0.0,0
