step,local_step,branch,train_loss,train_accuracy,test_loss,test_accuracy,hidden_gradient_norm,auxiliary_gradient_norm,hidden_delta_norm,auxiliary_delta_norm,muon_applied_update_norm,muon_max_abs_applied_update,collapse_detected
44000,0,control,1.8678194635413092e-07,1.0,3.3246786188101396e-05,1.0,nan,nan,0.0,0.0,nan,nan,0
44010,10,control,1.8812032465120865e-07,1.0,3.337718590046279e-05,1.0,2.2698318729214733e-07,1.7895033091574363e-05,0.4245641629514878,0.006011219975379251,0.149690344359031,0.006732625886797905,0
44020,20,control,1.8581705774067814e-07,1.0,3.350433325977065e-05,1.0,2.245019702161654e-07,1.807284235793801e-05,0.8433710568441476,0.01205041712099602,0.1492610663833827,0.006766580976545811,0
44030,30,control,1.8587931549518544e-07,1.0,3.335423753014766e-05,1.0,2.2505546871129814e-07,1.806956856799244e-05,1.2614820163874942,0.01809202000617727,0.1491287131605525,0.006705400999635458,0
44040,40,control,1.8351380504100234e-07,1.0,3.345855657244101e-05,1.0,2.2666257437617761e-07,1.8284028357722657e-05,1.680250097791266,0.024279909287484885,0.14851571968955465,0.006601976230740547,0
44050,50,control,1.823310498139108e-07,1.0,3.317451410111971e-05,1.0,2.2934566471990362e-07,1.871951216925609e-05,2.0983244975409634,0.03063977985764081,0.14874088920534653,0.0065445685759186745,0
44060,60,control,1.8052578809601982e-07,1.0,3.2810621632961556e-05,1.0,2.2762513936967425e-07,1.894585365498711e-05,2.5195845207870633,0.03718874311648236,0.1487913558379565,0.006492791697382927,0
44070,70,control,1.8009004065788758e-07,1.0,3.322172415209934e-05,1.0,2.2967856673080456e-07,1.9106079083856234e-05,2.943627834358053,0.0439468418504491,0.14901584022529077,0.006526711862534285,0
44080,80,control,1.8015228420154017e-07,1.0,3.335198562126607e-05,1.0,2.297981205617372e-07,1.9289068569599784e-05,3.369526997285973,0.05100522888994137,0.14918326451676459,0.006549143698066473,0
44090,90,control,1.783159007118229e-07,1.0,3.2951600587693974e-05,1.0,2.3336482391463623e-07,1.9628551624022586e-05,3.7954072937960066,0.058291357952141756,0.14951776932003577,0.006571593694388866,0
44100,100,control,1.769464006429189e-07,1.0,3.300579555798322e-05,1.0,2.32832032002003e-07,1.9524300221909153e-05,4.224981731353905,0.06575218027129846,0.14983262478671341,0.00650958064943552,0
44110,110,control,1.768841428884116e-07,1.0,3.299135642009787e-05,1.0,2.3412845363245718e-07,1.9841572856138114e-05,4.657611202414765,0.07347620660553816,0.14992503067431612,0.006530383136123419,0
44120,120,control,1.760748915557997e-07,1.0,3.319382085464895e-05,1.0,2.3484338921993765e-07,1.9909271299008637e-05,5.094463073797134,0.08146002958823223,0.15001679261880435,0.006439330987632275,0
44130,130,control,1.7511001715320162e-07,1.0,3.347213350934908e-05,1.0,2.370075693949558e-07,1.9964939058658057e-05,5.535276219237873,0.0899431229355455,0.15022914284336208,0.006542562041431665,0
44140,140,control,1.7495437987236073e-07,1.0,3.3598316804273054e-05,1.0,2.4104120838632763e-07,2.0104901011441264e-05,5.977662833255389,0.098707262927046,0.15028779645086382,0.00660827336832881,0
44150,150,control,1.714372501737671e-07,1.0,3.357264358783141e-05,1.0,2.4258950676200726e-07,2.0203297039049878e-05,6.421265187252822,0.10765865212374082,0.15055515886929544,0.006636020261794329,0
44160,160,control,1.7097036675295385e-07,1.0,3.332989945192821e-05,1.0,2.4543850545901227e-07,2.0369110674936125e-05,6.86786256468588,0.11683553233580178,0.15019055194090902,0.0066617694683372974,0
44170,170,control,1.6932074231590377e-07,1.0,3.302011828054674e-05,1.0,2.470826411934415e-07,2.044550383757922e-05,7.315928651659316,0.12628170951458656,0.15012594207793886,0.0066961608827114105,0
44180,180,control,1.6876047936875693e-07,1.0,3.236640986870043e-05,1.0,2.5067723015111145e-07,2.0792395383163862e-05,7.764274099035367,0.1361366541212404,0.14973892703767208,0.006609086878597736,0
44190,190,control,1.6689297410721338e-07,1.0,3.216418554075062e-05,1.0,2.51376800247519e-07,2.0880145551748493e-05,8.211961300276892,0.1462672430401782,0.14942739213885664,0.006625616457313299,0
44200,200,control,1.6645722666908114e-07,1.0,3.1571391446050256e-05,1.0,2.511790006655234e-07,2.0718934120633388e-05,8.660947757788657,0.1566269198259448,0.14913737235218313,0.006638646125793457,0
44210,210,control,1.635314532677512e-07,1.0,3.169205228914507e-05,1.0,2.581444260577402e-07,2.1444128564978728e-05,9.109833883606731,0.16715889340172155,0.1491023216199324,0.006594647187739611,0
44220,220,control,1.6247319933881954e-07,1.0,3.158960316795856e-05,1.0,2.608567446577688e-07,2.1331685072390085e-05,9.559150796057175,0.17797087779129206,0.14877669023069523,0.006602515000849962,0
44230,230,control,1.6073019537543587e-07,1.0,3.179770283168182e-05,1.0,2.5873783410984676e-07,2.0783192672478013e-05,10.009593634543107,0.18916448925986407,0.1491371517318169,0.00666841771453619,0
44240,240,control,1.6013882486731745e-07,1.0,3.174468292854726e-05,1.0,2.6606077764457603e-07,2.107053525122094e-05,10.461855964635136,0.2004655632259857,0.14876297753883214,0.006592093035578728,0
44250,250,control,1.5939181707835814e-07,1.0,3.1789364584255964e-05,1.0,2.6296535789712205e-07,2.1178357852490986e-05,10.916562097667486,0.2119102310706749,0.14857646344714456,0.00649142125621438,0
44260,260,control,1.5873818881573243e-07,1.0,3.163207657053135e-05,1.0,2.682022356608168e-07,2.126352293687991e-05,11.37217862851212,0.22348977489298982,0.14871776762104433,0.006548605859279633,0
44270,270,control,1.5562567057259002e-07,1.0,3.1730720365885645e-05,1.0,2.730490801081115e-07,2.1897127104326278e-05,11.83008191006314,0.23528458218772802,0.14872123015200228,0.00659872405230999,0
44280,280,control,1.565594232033618e-07,1.0,3.210250724805519e-05,1.0,2.711978699367936e-07,2.1318829576324235e-05,12.290800543860618,0.24767482882743083,0.14902654029927612,0.006551926024258137,0
44290,290,control,1.5603029623889597e-07,1.0,3.224597458029166e-05,1.0,2.7460023637538424e-07,2.1569507205418527e-05,12.75383209662652,0.26051163810952593,0.1492560469460364,0.0065274653024971485,0
44300,300,control,1.5466079616999195e-07,1.0,3.257416028645821e-05,1.0,2.732535758682475e-07,2.195447933131927e-05,13.219845104428822,0.27361163453458837,0.1494260064935444,0.006607410032302141,0
44310,310,control,1.534780409429004e-07,1.0,3.34854812535923e-05,1.0,2.7722605432060915e-07,2.2172433553642674e-05,13.687565526102475,0.2870705648980701,0.149929256472262,0.006640502251684666,0
44320,320,control,1.5298003575026087e-07,1.0,3.4779379348037764e-05,1.0,2.852503519148301e-07,2.2100319977864004e-05,14.157603451190516,0.3010046066285503,0.14971831155952997,0.006675591692328453,0
44330,330,control,1.511125304887173e-07,1.0,3.54522344423458e-05,1.0,2.876374400477586e-07,2.259853311346929e-05,14.629206628296279,0.31528945812693115,0.1494479979814608,0.006753183901309967,0
44340,340,control,1.5136153308503708e-07,1.0,3.5774082789430395e-05,1.0,2.93894021072778e-07,2.2817930699465062e-05,15.100960270506663,0.32999061607616675,0.14956347990874055,0.0066166347824037075,0
44350,350,control,1.5098802919055743e-07,1.0,3.685404226416722e-05,1.0,2.938622007747744e-07,2.3223410434897147e-05,15.572100393723705,0.3450372145814181,0.14920947209322677,0.006640927866101265,0
44360,360,control,1.4921388924449275e-07,1.0,3.786141314776614e-05,1.0,3.000835121091865e-07,2.3285184389287694e-05,16.044854298177647,0.3606285185736051,0.14900168460823826,0.006618420127779245,0
44370,370,control,1.4927614699900005e-07,1.0,3.860077413264662e-05,1.0,3.1821010509304906e-07,2.363597575178059e-05,16.5185909387686,0.3769086380492372,0.14851326602555012,0.006565562449395657,0
44380,380,control,1.4865364050820062e-07,1.0,3.902202661265619e-05,1.0,3.090621554831268e-07,2.3816551288799876e-05,16.992144502435682,0.394000020116351,0.14805083127666724,0.006529450882226229,0
44390,390,control,1.4694175831664325e-07,1.0,3.9035567169776186e-05,1.0,3.205084947661383e-07,2.4248940695626527e-05,17.46510769164764,0.41184722326392403,0.14766591377413427,0.006498840171843767,0
44400,400,control,1.4781326740376244e-07,1.0,3.890341395162977e-05,1.0,3.207065709159451e-07,2.4321977483160813e-05,17.937716599828974,0.43064946678847993,0.14703393905852813,0.006704386789351702,0
44410,410,control,1.4765764433377626e-07,1.0,4.006048766314052e-05,1.0,3.4038250207377917e-07,2.4513746484735964e-05,18.410096281625258,0.45034745329992804,0.14682205022427103,0.006588438991457224,0
44420,420,control,1.480311340174012e-07,1.0,4.1776682337513193e-05,1.0,3.3610622745476435e-07,2.435375204354335e-05,18.884673504850337,0.4707711019100331,0.1472697866529105,0.00656520389020443,0
44430,430,control,1.4743976350928278e-07,1.0,4.3300839024595916e-05,1.0,3.4411053441071326e-07,2.5065458574876092e-05,19.357332182854936,0.49182103421185885,0.14737054767240218,0.006484117824584246,0
44440,440,control,1.4706625961480313e-07,1.0,4.4254953536437824e-05,1.0,3.5322052976609413e-07,2.5230345802205966e-05,19.830898271262704,0.5136749628034948,0.14741418201318132,0.006460143718868494,0
44450,450,control,1.4715963914113672e-07,1.0,4.486341276788153e-05,1.0,3.5302457854931257e-07,2.547098377321389e-05,20.302292082886503,0.5365294222520334,0.14724404411157982,0.006542426999658346,0
44460,460,control,1.4790663271924132e-07,1.0,4.715273098554462e-05,1.0,3.715131227336012e-07,2.534049084296079e-05,20.775528062510777,0.5604358756221699,0.14751542384071797,0.006550900638103485,0
44470,470,control,1.4837351614005456e-07,1.0,4.839245229959488e-05,1.0,3.715320872726181e-07,2.6054971438876353e-05,21.25495480475918,0.5852483868169911,0.14751322351804805,0.006514834705740213,0
44480,480,control,1.480933917719085e-07,1.0,5.086791134090163e-05,1.0,3.9562256371736943e-07,2.617240565219847e-05,21.738146799328295,0.6109649885525555,0.1475056419348893,0.006580997724086046,0
44490,490,control,1.4862251873637433e-07,1.0,5.389357465901412e-05,1.0,3.910629978358636e-07,2.639740945659254e-05,22.224965981994607,0.6376287512182235,0.14767080898771565,0.006567616481333971,0
44500,500,control,1.497741521916396e-07,1.0,5.729819895350374e-05,1.0,4.055724702537209e-07,2.6687006338010253e-05,22.713354559944893,0.66542562621603,0.1481312059765833,0.006954035721719265,0
44510,510,control,1.5024102140159812e-07,1.0,5.819071157020517e-05,1.0,4.042231970896543e-07,2.6722827272726562e-05,23.20307135771373,0.6946035312966202,0.1483511293737499,0.006846452131867409,0
44520,520,control,1.5017877785794553e-07,1.0,5.8141715271631256e-05,1.0,4.2977102764524935e-07,2.7776478953140857e-05,23.691213288235605,0.7251611148172781,0.1478878139251961,0.006583865731954575,0
44530,530,control,1.4999201880527835e-07,1.0,5.9231926570646465e-05,1.0,4.548697059264206e-07,2.7778408332423152e-05,24.176751285590008,0.7572781308958223,0.1477205392137572,0.0067334286868572235,0
44540,540,control,1.503966444715843e-07,1.0,6.192265573190525e-05,1.0,4.743742257927445e-07,2.7777501695339866e-05,24.65961012004167,0.7906632832829755,0.1473827460210613,0.006701277568936348,0
44550,550,control,1.512059100150509e-07,1.0,6.550758553203195e-05,1.0,4.844909670418987e-07,2.8793188746515254e-05,25.141618526222626,0.8260187132539272,0.14711209842383977,0.006553734187036753,0
44560,560,control,1.5011652010343823e-07,1.0,6.844825838925317e-05,1.0,4.928001330166198e-07,2.8767698552541398e-05,25.6210188266412,0.8631272562589494,0.1471823028431019,0.006843890994787216,0
44570,570,control,1.5008539833161194e-07,1.0,7.092541636666283e-05,1.0,5.265509866142764e-07,3.0328512437963148e-05,26.097314773649913,0.9022438431852995,0.1462262700725642,0.0064597660675644875,0
44580,580,control,1.4992977526162576e-07,1.0,7.564602128695697e-05,1.0,5.519644500128567e-07,3.0218852811385842e-05,26.5748152212818,0.9435742809013553,0.14610078461592135,0.0065265437588095665,0
44590,590,control,1.4843575968370715e-07,1.0,8.014758350327611e-05,1.0,5.784955021113842e-07,3.1588774471231426e-05,27.05465646329311,0.9869688179945394,0.1464524112667721,0.006336851976811886,0
44600,600,control,1.497741521916396e-07,1.0,8.27482872409746e-05,1.0,5.92001430469411e-07,3.0554003302112475e-05,27.535962149890228,1.032044678902283,0.1464046516672236,0.006494335364550352,0
44610,610,control,1.472530044566156e-07,1.0,8.665394125273451e-05,1.0,6.485570003973886e-07,3.150795555831163e-05,28.01921368310793,1.0780990446012066,0.14614046435861686,0.0068013411946594715,0
44620,620,control,1.4824901484189468e-07,1.0,9.488983778283e-05,1.0,6.577130343204063e-07,3.163792168450743e-05,28.501430083127772,1.1263287053101163,0.14531693368558843,0.006643930450081825,0
44630,630,control,1.465682544221636e-07,1.0,0.00010182304686168209,1.0,6.458071819260168e-07,3.2124317355951515e-05,28.982538603217524,1.1765748334667305,0.14479107838155658,0.005979468580335379,0
44640,640,control,1.450119953005924e-07,1.0,0.00011360138887539506,1.0,7.326939860665803e-07,3.180945831997609e-05,29.46567789067823,1.2290825845014541,0.14365661384237394,0.006037987302988768,0
44650,650,control,1.4868476228002692e-07,1.0,0.00012181011697975919,1.0,7.107336562459111e-07,3.154361604138582e-05,29.94757646943766,1.2838572219802407,0.1442148639263666,0.006318859290331602,0
44660,660,control,1.480622700000822e-07,1.0,0.00013175314234104007,1.0,7.179111535228335e-07,3.262716285953119e-05,30.42985579123187,1.339205154833011,0.14430514918991158,0.006073313299566507,0
