step,is_reference,is_detected_collapse,train_accuracy,test_accuracy,diagonal_only_train_accuracy,diagonal_only_test_accuracy,off_diagonal_only_train_accuracy,off_diagonal_only_test_accuracy,full_test_mean_margin,diagonal_test_mean_margin,off_diagonal_test_mean_margin,hidden_non_dc_diagonal_power_fraction,sum_explained_hidden_variance,top_frequency_pairs,current_hidden_reference_readout_test_accuracy,reference_hidden_current_readout_test_accuracy,current_diagonal_reference_readout_test_accuracy,reference_diagonal_current_readout_test_accuracy,relative_unembedding_drift,relative_diagonal_hidden_drift,diagonal_pair_power_cosine_similarity_to_reference,top_frequency_jaccard_to_reference,diagonal_logit_cosine_similarity_to_reference,full_logit_cosine_similarity_to_reference,diagonal_correct_full_wrong_fraction,mean_off_diagonal_interference_advantage_on_rescued_errors
44000,0,0,1.0,1.0,1.0,1.0,0.0174934733659029,0.012976842932403088,15.37320327758789,16.915830612182617,-6.367981910705566,0.2345416396856308,0.23454159498214722,12|11|7|56|47,0.3935563266277313,0.017004139721393585,0.41290971636772156,0.017675355076789856,0.41258302330970764,0.6779632568359375,0.9787644147872925,1.0,0.9100841283798218,0.9012702703475952,0.0,0.0
44010,0,0,1.0,1.0,1.0,1.0,0.016710182651877403,0.012864973396062851,15.376546859741211,16.919879913330078,-6.368704795837402,0.2345476895570755,0.23454761505126953,12|11|7|56|47,0.3912070691585541,0.016780400648713112,0.41290971636772156,0.017675355076789856,0.4106389880180359,0.6753286719322205,0.978882372379303,1.0,0.9129058122634888,0.9042131900787354,0.0,0.0
44020,0,0,1.0,1.0,1.0,1.0,0.016971278935670853,0.012976842932403088,15.381841659545898,16.925621032714844,-6.369048118591309,0.23460634052753448,0.2346065640449524,12|11|7|56|47,0.3897527754306793,0.016780400648713112,0.41290971636772156,0.017675355076789856,0.4086437225341797,0.6726331114768982,0.9790051579475403,1.0,0.9156838059425354,0.9071063995361328,0.0,0.0
44030,0,0,1.0,1.0,1.0,1.0,0.016187990084290504,0.012864973396062851,15.387711524963379,16.932086944580078,-6.369476795196533,0.2346552461385727,0.23465538024902344,12|11|7|56|47,0.3878509998321533,0.01722787693142891,0.41290971636772156,0.017675355076789856,0.40657660365104675,0.6698209643363953,0.9791207909584045,1.0,0.9185000658035278,0.9100307822227478,0.0,0.0
44040,0,0,1.0,1.0,1.0,1.0,0.015665795654058456,0.012529365718364716,15.394636154174805,16.941312789916992,-6.374521732330322,0.2347135990858078,0.23471373319625854,12|11|7|56|47,0.38617295026779175,0.01722787693142891,0.41290971636772156,0.017675355076789856,0.40448442101478577,0.6668959856033325,0.9792550802230835,1.0,0.9212478399276733,0.9129021167755127,0.0,0.0
44050,0,0,1.0,1.0,1.0,1.0,0.015926893800497055,0.012529365718364716,15.40062141418457,16.948179244995117,-6.380361557006836,0.23470072448253632,0.23470085859298706,12|11|7|56|47,0.384718656539917,0.01722787693142891,0.41290971636772156,0.017675355076789856,0.40232691168785095,0.6637693047523499,0.979404091835022,1.0,0.9240292310714722,0.9158255457878113,0.0,0.0
44060,0,0,1.0,1.0,1.0,1.0,0.016710182651877403,0.012864973396062851,15.407891273498535,16.95671272277832,-6.384983062744141,0.23459625244140625,0.2345961332321167,12|11|7|56|47,0.3818100392818451,0.01733974739909172,0.41290971636772156,0.017675355076789856,0.4001239538192749,0.6604992151260376,0.9795690774917603,1.0,0.9268080592155457,0.9187546372413635,0.0,0.0
44070,0,0,1.0,1.0,1.0,1.0,0.016449086368083954,0.012641235254704952,15.413888931274414,16.96497917175293,-6.392613887786865,0.2344416230916977,0.2344418168067932,12|11|7|56|47,0.38046762347221375,0.017451616004109383,0.41290971636772156,0.017675355076789856,0.397854208946228,0.6570546627044678,0.979759693145752,1.0,0.9295812249183655,0.9216883182525635,0.0,0.0
44080,0,0,1.0,1.0,1.0,1.0,0.015665795654058456,0.012864973396062851,15.418580055236816,16.972110748291016,-6.402384281158447,0.23426510393619537,0.23426520824432373,12|11|7|56|47,0.3790132999420166,0.017451616004109383,0.41290971636772156,0.017675355076789856,0.39550358057022095,0.6534504890441895,0.9799869060516357,1.0,0.9323229193687439,0.9246256351470947,0.0,0.0
44090,0,0,1.0,1.0,1.0,1.0,0.015926893800497055,0.01342432014644146,15.425166130065918,16.981393814086914,-6.413467884063721,0.23407284915447235,0.23407286405563354,12|11|7|56|47,0.3769996762275696,0.017451616004109383,0.41290971636772156,0.017675355076789856,0.39308521151542664,0.6497415900230408,0.9802525639533997,1.0,0.9350259304046631,0.9275124669075012,0.0,0.0
