comparison_type,run,depth,regime,target_role,target_step,target_checkpoint,reference_role,reference_step,reference_checkpoint,hidden_source,readout_source,target_baseline_accuracy,reference_baseline_accuracy,readout_weight_cosine,full_hidden_spectral_power_cosine,intervention_accuracy
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_full,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_full,reference_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,reference_full,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,reference_full,reference_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_addition_only,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,1.0
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_addition_only,reference_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,1.0
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,reference_addition_only,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,1.0
matched_control_target_freeze_reference,depth4_matched_control,4,control,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,reference_addition_only,reference_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,1.0
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_full,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_full,reference_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,reference_full,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,reference_full,reference_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,0.9407157897949219
matched_freeze_target_control_reference,depth4_matched_freeze,4,freeze,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,paired_trajectory,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,target_addition_only,target_readout,0.9407157897949219,0.9407157897949219,1.000000238418579,1.0000008344650269,1.0
