study,run,depth,regime,role,step,checkpoint,baseline_full_accuracy,stage_name,stage_kind,layer,stage_order,activation_width,direct_readout_accuracy,addition_only_direct_readout_accuracy,nonaddition_only_direct_readout_accuracy,reference_frequency_set_direct_readout_accuracy,top_final_token_modes,top_mode_overlap_with_final,final_token_power_cosine_with_final,final_token_complex_cosine_with_final,all_token_total_power,all_token_non_dc_power,all_token_dc_power_fraction_total,all_token_dc_power_fraction_non_dc,all_token_addition_power_fraction_total,all_token_addition_power_fraction_non_dc,all_token_subtraction_power_fraction_total,all_token_subtraction_power_fraction_non_dc,all_token_a_only_power_fraction_total,all_token_a_only_power_fraction_non_dc,all_token_b_only_power_fraction_total,all_token_b_only_power_fraction_non_dc,all_token_generic_interaction_power_fraction_total,all_token_generic_interaction_power_fraction_non_dc,final_token_total_power,final_token_non_dc_power,final_token_dc_power_fraction_total,final_token_dc_power_fraction_non_dc,final_token_addition_power_fraction_total,final_token_addition_power_fraction_non_dc,final_token_subtraction_power_fraction_total,final_token_subtraction_power_fraction_non_dc,final_token_a_only_power_fraction_total,final_token_a_only_power_fraction_non_dc,final_token_b_only_power_fraction_total,final_token_b_only_power_fraction_non_dc,final_token_generic_interaction_power_fraction_total,final_token_generic_interaction_power_fraction_non_dc
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,input_residual,residual_state,0,0,128,0.008849557489156723,0.008849557489156723,0.008849557489156723,0.008849557489156723,"(0,45)/(0,68)|(0,23)/(0,90)|(23,0)/(90,0)|(45,0)/(68,0)|(5,0)/(108,0)|(0,36)/(0,77)|(54,0)/(59,0)|(0,54)/(0,59)|(0,6)/(0,107)|(36,0)/(77,0)",0.0,0.1685134917497635,-0.008298591710627079,698.4651489257812,265.2781066894531,0.6201984882354736,nan,1.5678724113975929e-16,4.1281365647322045e-16,1.5899111498939657e-16,4.1861636155750444e-16,0.1899007260799408,0.4999999403953552,0.1899007260799408,0.4999999403953552,1.4355028193154158e-14,3.779613137766015e-14,319.38134765625,0.0,1.0,nan,1.5671009086518356e-29,nan,1.4653773514977783e-29,nan,3.343041175916245e-14,nan,3.440751847392891e-14,nan,1.1275780564002837e-27,nan
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_1_attention_output,attention_write,1,1,128,nan,nan,nan,nan,"(0,36)/(0,77)|(36,0)/(77,0)|(0,38)/(0,75)|(38,0)/(75,0)|(0,9)/(0,104)|(9,0)/(104,0)|(0,37)/(0,76)|(37,0)/(76,0)|(0,27)/(0,86)|(27,0)/(86,0)",0.1,0.17305006086826324,0.0033639848697930574,2367.638671875,726.33349609375,0.6932244896888733,nan,2.689245963028862e-16,8.766169493656961e-16,2.0725222005752922e-16,6.755827319995117e-16,0.24245162308216095,0.7903226613998413,0.06432390213012695,0.20967745780944824,1.9818702411068985e-14,6.460328420224842e-14,256.30718994140625,93.72044372558594,0.6343432664871216,nan,8.743395954078845e-16,2.391148810868709e-15,5.693742236553606e-16,1.5571277719918925e-15,0.1828283965587616,0.5000001192092896,0.1828283965587616,0.5000001192092896,6.200399080887736e-14,1.6956886741102684e-13
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_1_post_attention,residual_state,1,2,128,0.007204949390143156,0.008849557489156723,0.007204949390143156,0.008849557489156723,"(0,36)/(0,77)|(36,0)/(77,0)|(0,38)/(0,75)|(38,0)/(75,0)|(0,9)/(0,104)|(9,0)/(104,0)|(0,37)/(0,76)|(37,0)/(76,0)|(0,27)/(0,86)|(27,0)/(86,0)",0.1,0.16991503536701202,-0.003403052454814315,3860.466064453125,1132.363037109375,0.7066771388053894,nan,2.3522364349092017e-16,8.019273310822656e-16,1.9254759574429656e-16,6.564356581059466e-16,0.2073613554239273,0.7069389224052429,0.08596166223287582,0.2930615544319153,1.852243198771121e-14,6.314690252900296e-14,770.3373413085938,93.72039794921875,0.8783385157585144,nan,4.0116295651175396e-16,3.2973696676200613e-15,3.1044620431685123e-16,2.5517208466797068e-15,0.060830794274806976,0.5000003576278687,0.060830794274806976,0.5000003576278687,3.2626557163427383e-14,2.681748865942385e-13
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_1_mlp_activation,mlp_activation,1,3,512,nan,nan,nan,nan,"(0,38)/(0,75)|(38,0)/(75,0)|(0,36)/(0,77)|(36,0)/(77,0)|(0,9)/(0,104)|(9,0)/(104,0)|(0,37)/(0,76)|(37,0)/(76,0)|(0,18)/(0,95)|(18,0)/(95,0)",0.1,0.16907276213169098,nan,13787.744140625,4897.849609375,0.6447678804397583,nan,0.001500955899246037,0.004225281998515129,0.0014878959627822042,0.004188517574220896,0.06128794699907303,0.17252929508686066,0.28169551491737366,0.79298996925354,0.009259798564016819,0.026066895574331284,2938.9765625,106.71533203125,0.9636896252632141,nan,0.00026866784901358187,0.007399204187095165,0.00026059316587634385,0.007176824379712343,0.017184926196932793,0.4732787311077118,0.017184928059577942,0.47327879071235657,0.0014112511416897178,0.03886633738875389
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_1_mlp_output,mlp_write,1,4,128,nan,nan,nan,nan,"(0,38)/(0,75)|(38,0)/(75,0)|(0,9)/(0,104)|(9,0)/(104,0)|(0,36)/(0,77)|(36,0)/(77,0)|(0,37)/(0,76)|(37,0)/(76,0)|(0,18)/(0,95)|(18,0)/(95,0)",0.1,0.1688302606344223,0.04688986390829086,74657.5,31525.21875,0.577735424041748,nan,0.0004906284739263356,0.0011618982534855604,0.0008724385406821966,0.0020660944283008575,0.033913467079401016,0.0803133100271225,0.38334017992019653,0.9078198075294495,0.0036480582784861326,0.00863927137106657,13308.609375,285.044921875,0.9785819053649902,nan,6.531314284075052e-05,0.003049439052119851,6.997904711170122e-05,0.003267287975177169,0.010481785051524639,0.48938947916030884,0.010481785051524639,0.48938947916030884,0.00031913703423924744,0.014900353737175465
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_1_post_block,residual_state,1,5,128,0.009241131134331226,0.008849557489156723,0.009084501303732395,0.008849557489156723,"(0,38)/(0,75)|(38,0)/(75,0)|(0,9)/(0,104)|(9,0)/(104,0)|(0,36)/(0,77)|(36,0)/(77,0)|(37,0)/(76,0)|(0,37)/(0,76)|(18,0)/(95,0)|(0,18)/(0,95)",0.1,0.168880432844162,0.043162278831005096,81986.9921875,33718.9453125,0.588728129863739,nan,0.0004467671678867191,0.001086306176148355,0.0007944440585561097,0.0019316760590299964,0.04236370325088501,0.10300655663013458,0.36434510350227356,0.8858983516693115,0.0033219284377992153,0.008077207952737808,15162.69921875,401.2412109375,0.9735376238822937,nan,5.732667705160566e-05,0.002166345715522766,6.142203346826136e-05,0.0023211068473756313,0.013031733222305775,0.49246251583099365,0.01303173415362835,0.49246254563331604,0.0002801130758598447,0.010585328564047813
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_2_attention_output,attention_write,2,6,128,nan,nan,nan,nan,"(36,0)/(77,0)|(38,0)/(75,0)|(0,36)/(0,77)|(0,38)/(0,75)|(0,9)/(0,104)|(9,0)/(104,0)|(0,37)/(0,76)|(37,0)/(76,0)|(0,39)/(0,74)|(0,2)/(0,111)",0.1,0.17391638457775116,0.013075979426503181,74187.2421875,56278.7734375,0.241395503282547,nan,0.0005969995399937034,0.0007869707769714296,0.0006101335748098791,0.0008042841800488532,0.5841003656387329,0.7699669599533081,0.1654605120420456,0.21811170876026154,0.00783640705049038,0.01033003069460392,30660.734375,18141.5703125,0.40831258893013,nan,0.00046418426791206,0.0007845092914067209,0.00038083476829342544,0.000643641862552613,0.31468454003334045,0.5318425297737122,0.27136334776878357,0.4586261808872223,0.0047944774851202965,0.008103057742118835
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_2_post_attention,residual_state,2,7,128,0.0067350612953305244,0.008849557489156723,0.007048320025205612,0.008849557489156723,"(36,0)/(77,0)|(38,0)/(75,0)|(0,36)/(0,77)|(0,38)/(0,75)|(0,9)/(0,104)|(9,0)/(104,0)|(0,37)/(0,76)|(37,0)/(76,0)|(0,39)/(0,74)|(0,2)/(0,111)",0.1,0.1736563891172409,0.031591206789016724,168378.625,86180.84375,0.4881722927093506,nan,0.0005084977019578218,0.0009934938279911876,0.0006286654970608652,0.0012282757088541985,0.2800155580043793,0.5470895171165466,0.22525225579738617,0.44009390473365784,0.0054226526990532875,0.010594683699309826,57953.43359375,19026.42578125,0.6716945767402649,nan,0.00026774764410220087,0.0008155443938449025,0.00021114411356393248,0.0006431332440115511,0.1748351901769638,0.5325382947921753,0.1503780037164688,0.45804303884506226,0.0026132601778954268,0.00795984547585249
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_2_mlp_activation,mlp_activation,2,8,512,nan,nan,nan,nan,"(36,0)/(77,0)|(38,0)/(75,0)|(0,36)/(0,77)|(0,38)/(0,75)|(0,9)/(0,104)|(9,0)/(104,0)|(38,38)/(75,75)|(37,0)/(76,0)|(38,75)/(75,38)|(36,36)/(77,77)",0.3,0.1742224097251892,nan,1848722.0,797060.75,0.5688585042953491,nan,0.003582676174119115,0.008309745229780674,0.0035354839637875557,0.008200286887586117,0.1481882780790329,0.3437114953994751,0.2572324872016907,0.5966312885284424,0.018602555617690086,0.043147217482328415,494408.78125,133123.09375,0.730742871761322,nan,0.003093793522566557,0.011490107513964176,0.0028558005578815937,0.010606219992041588,0.1320084035396576,0.4902689456939697,0.11860943585634232,0.4405061900615692,0.012689768336713314,0.04712881147861481
matched,depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,layer_2_mlp_output,mlp_write,2,9,128,nan,nan,nan,nan,"(36,0)/(77,0)|(0,36)/(0,77)|(38,0)/(75,0)|(0,38)/(0,75)|(0,9)/(0,104)|(9,0)/(104,0)|(0,37)/(0,76)|(37,0)/(76,0)|(38,38)/(75,75)|(0,2)/(0,111)",0.2,0.1745348572731018,0.01809835433959961,5820132.5,3514698.75,0.39611363410949707,nan,0.0022352200467139482,0.0037013916298747063,0.0019398716976866126,0.0032123124692589045,0.12716545164585114,0.21057842671871185,0.4610161781311035,0.7634154558181763,0.011529757641255856,0.01909259520471096,1087623.875,365832.5625,0.663640558719635,nan,0.001579739386215806,0.004696581047028303,0.0014555890811607242,0.004327480681240559,0.1689435988664627,0.5022709965705872,0.1573544591665268,0.46781638264656067,0.007025892846286297,0.02088804915547371
