step,branch_step,branch,stage_name,stage_kind,layer,stage_order,representative_k,representative_l,conjugate_k,conjugate_l,family,pair_power,rank,pair_power_fraction_total,pair_power_fraction_non_dc
126200,126200,control,input_residual,input_residual,0,0,0,45,0,68,b_only,7.780251052788567e-13,1,2.436038018463886e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,0,23,0,90,b_only,7.423664547673292e-13,2,2.324388885622519e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,23,0,90,0,a_only,6.471806597574403e-13,3,2.0263570947605888e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,45,0,68,0,a_only,6.046398733257352e-13,4,1.893159628020948e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,5,0,108,0,a_only,4.782495471693238e-13,5,1.4974247891397325e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,0,36,0,77,b_only,4.521005423328839e-13,6,1.4155508631001192e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,54,0,59,0,a_only,4.137651050777069e-13,7,1.295520568480543e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,0,54,0,59,b_only,3.93592818927202e-13,8,1.232360066783943e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,0,6,0,107,b_only,3.807803410690175e-13,9,1.1922435166090262e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,36,0,77,0,a_only,3.714960739205353e-13,10,1.1631739819708455e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,0,5,0,108,b_only,3.6948395731872807e-13,11,1.1568739377867599e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,6,0,107,0,a_only,3.4967563783752653e-13,12,1.0948530351054885e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,11,0,102,0,a_only,3.4081117377023074e-13,13,1.0670979262603827e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,0,11,0,102,b_only,3.2397077642104533e-13,14,1.0143697457552684e-15,0.0
126200,126200,control,input_residual,input_residual,0,0,27,0,86,0,a_only,3.1799779823260543e-13,15,9.956680331090164e-16,0.0
126200,126200,control,input_residual,input_residual,0,0,0,27,0,86,b_only,3.175870482395593e-13,16,9.943819530167996e-16,0.0
126200,126200,control,input_residual,input_residual,0,0,0,32,0,81,b_only,3.065990657972334e-13,17,9.599779951057938e-16,0.0
