step,branch_step,control_checkpoint,freeze_checkpoint,control_full_accuracy,freeze_full_accuracy,paired_accuracy_advantage_freeze,readout_weight_cosine,final_full_power_spectral_cosine,final_top_5_global_mode_overlap,final_top_20_global_mode_overlap,control_final_total_spectral_power,control_final_non_dc_spectral_power,control_final_dc_power_fraction_total,control_final_dc_power_fraction_non_dc,control_final_addition_power_fraction_total,control_final_addition_power_fraction_non_dc,control_final_subtraction_power_fraction_total,control_final_subtraction_power_fraction_non_dc,control_final_a_only_power_fraction_total,control_final_a_only_power_fraction_non_dc,control_final_b_only_power_fraction_total,control_final_b_only_power_fraction_non_dc,control_final_generic_interaction_power_fraction_total,control_final_generic_interaction_power_fraction_non_dc,control_final_dominant_non_dc_family,control_final_dominant_non_dc_family_fraction,freeze_final_total_spectral_power,freeze_final_non_dc_spectral_power,freeze_final_dc_power_fraction_total,freeze_final_dc_power_fraction_non_dc,freeze_final_addition_power_fraction_total,freeze_final_addition_power_fraction_non_dc,freeze_final_subtraction_power_fraction_total,freeze_final_subtraction_power_fraction_non_dc,freeze_final_a_only_power_fraction_total,freeze_final_a_only_power_fraction_non_dc,freeze_final_b_only_power_fraction_total,freeze_final_b_only_power_fraction_non_dc,freeze_final_generic_interaction_power_fraction_total,freeze_final_generic_interaction_power_fraction_non_dc,freeze_final_dominant_non_dc_family,freeze_final_dominant_non_dc_family_fraction,final_dc_power_spectral_cosine,final_addition_power_spectral_cosine,final_subtraction_power_spectral_cosine,final_a_only_power_spectral_cosine,final_b_only_power_spectral_cosine,final_generic_interaction_power_spectral_cosine
126200,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9407157897949219,0.0,1.0000002000151211,1.0000008689012256,1.0,1.0,33130899456.0,31435413504.0,0.051175390582188,nan,0.7965776147746733,0.8395414573007552,0.007946305241414814,0.008374893492859588,0.04554386028679752,0.04800029291194146,0.017202543648321772,0.01813037210175328,0.08155427049568599,0.08595294398326232,addition,0.8395414573007552,33130899456.0,31435413504.0,0.051175390582188,nan,0.7965776147746733,0.8395414573007552,0.007946305241414814,0.008374893492859588,0.04554386028679752,0.04800029291194146,0.017202543648321772,0.01813037210175328,0.08155427049568599,0.08595294398326232,addition,0.8395414573007552,1.0,1.0,0.9999998953935394,1.0,1.0000000827721587,1.0000014394316465
130000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_130000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_130000.pt,0.9487038850784302,0.9906805753707886,0.0419766902923584,0.6252753294397584,0.9108732991465965,0.6,0.75,44803198976.0,42443259904.0,0.052673490240376895,nan,0.7945522701418989,0.8387311327291587,0.005156784276135345,0.005443512881022269,0.027111875485736743,0.028619355693871258,0.021627191409235143,0.02282971105875591,0.09887833380766137,0.10437618773911604,addition,0.8387311327291587,86193086464.0,80934649856.0,0.061007590373228754,nan,0.8040469444953185,0.8562869911874003,0.005838892057893763,0.006218252984295705,0.03199469007472901,0.03407342952501276,0.020961436167558654,0.022323329787854267,0.07615045054386603,0.08109805107797612,addition,0.8562869911874003,1.0,0.9078299407231376,0.9511268877705518,0.677530098271083,0.7934101086354984,0.5474619495639257
140000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_140000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_140000.pt,0.9847286343574524,0.9804996252059937,-0.00422900915145874,0.24632021538946736,0.8325670355210583,0.4,0.85,112760807424.0,110117380096.0,0.023442818727434655,nan,0.8590413612396944,0.879663114210966,0.005251014829767667,0.005377068283715081,0.019494342140832666,0.01996231437838076,0.01624028328490164,0.01663014007782883,0.07653019339912313,0.0783673421259817,addition,0.879663114210966,118658375680.0,110861418496.0,0.06570926907871187,nan,0.8295063089135993,0.887846038480478,0.004108159927240292,0.004397089543082009,0.029457479254784286,0.031529243332982584,0.0172741741006782,0.018489078236663157,0.053944615736711894,0.05773857638517366,addition,0.887846038480478,1.0,0.8350929686087321,0.7090187289553891,0.9504772295783721,0.9462932949293337,0.7494313343336704
150000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_150000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_150000.pt,0.8120447993278503,0.9810478687286377,0.16900306940078735,0.07169293749626847,0.816833596690901,0.6,0.55,54404108288.0,49001975808.0,0.09929643525085692,nan,0.30351825477198785,0.3369790651850444,0.023232123157118,0.0257933057424524,0.21464259489711573,0.23830547204371208,0.11394663239738018,0.12650846880725025,0.24536394540896037,0.27241364120302863,addition,0.3369790651850444,171223056384.0,163024306176.0,0.047883489228300775,nan,0.8099897556376049,0.8507254215838976,0.0053405162792401146,0.005609099289849444,0.02506886908018716,0.026329622156870194,0.02139615248885569,0.022472198839140544,0.09032125802798799,0.09486365695250373,addition,0.8507254215838976,1.0,0.9911085680789238,0.9043175184071799,0.8649317640792737,0.9626284461383846,0.7552650077963564
160000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_160000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_160000.pt,0.03289216011762619,0.9896624684333801,0.9567703083157539,-0.01496238370185887,0.16235424317268984,0.0,0.1,22316609536.0,16104534016.0,0.2783610565027363,nan,0.08576261895484373,0.11884422598620316,0.01314737633092045,0.018218773899853272,0.3375450660571167,0.46774786730966783,0.07913391311306402,0.1096585991401839,0.2060499604378614,0.2855305535342725,a_only,0.46774786730966783,138981769216.0,131597746176.0,0.05312941409260697,nan,0.8458732956931305,0.8933357187650685,0.003936561428784971,0.004157444089264947,0.025230832876721693,0.026646549001760313,0.01723793787857604,0.018205168200949966,0.05459193684754539,0.05765512091561734,addition,0.8933357187650685,1.0,0.008865571179908221,0.02892254475330289,0.25589103682104447,0.0658854373854244,0.04153903702929177
170000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_170000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_170000.pt,0.334795206785202,0.997337281703949,0.662542074918747,0.00031703725267799967,0.16380299771547174,0.2,0.25,319356010496.0,306030641152.0,0.04172575411154475,nan,0.18519826703791065,0.19326228082705005,0.01657055089015236,0.01729207573489873,0.20419199849948266,0.2130830487121431,0.14714445619174774,0.15355150817287008,0.40516897647561473,0.42281108655303806,generic_interaction,0.42281108655303806,87378837504.0,82699698176.0,0.05355000608454879,nan,0.85562068866592,0.9040316079617418,0.008466884169363462,0.008945939493340285,0.021122021266482424,0.02231710277916843,0.01444912754695556,0.015266657507178179,0.04679138140070626,0.04943883233163397,addition,0.9040316079617418,1.0,0.11362548151942009,0.06177450663637901,0.3995237255913823,0.17150024864051455,0.10692059664105942
180000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_180000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_180000.pt,0.00971101876348257,0.97948157787323,0.9697705591097474,-0.006372749323780105,0.16222337408659446,0.0,0.05,3084418048.0,1939773952.0,0.3711053683991412,nan,0.0020158452593777585,0.00320537838627498,0.0018595147968736047,0.0029567986486705848,0.4506915711057336,0.7166408305291028,0.03438047059436737,0.05466809361506469,0.13994709967408414,0.2225286918380065,a_only,0.7166408305291028,220754788352.0,209030463488.0,0.05311019093866817,nan,0.8362759942385977,0.8831819392803393,0.0037429203242581176,0.0039528572544519774,0.02297906120120652,0.024267935435598433,0.022434228480259062,0.023692543552554055,0.06145759756914956,0.06490469722743956,addition,0.8831819392803393,1.0,0.044875071645030115,0.04448349837444675,0.31993687589618086,0.1405416677086899,0.10996515847633695
190000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_190000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_190000.pt,0.1889732927083969,0.9862166047096252,0.7972433120012283,0.009954357388429551,0.4353684184781755,0.2,0.35,165773164544.0,156784558080.0,0.054222350069297355,nan,0.08851024625343114,0.09358462208065944,0.013639421785905917,0.014421382690292046,0.2775590529780072,0.2934717750489322,0.09691424290652166,0.1024704277815572,0.469154696816789,0.4960517777032344,generic_interaction,0.4960517777032344,86453706752.0,81782128640.0,0.05403562594951348,nan,0.842944251968862,0.8910951130753058,0.0044299922165123365,0.004683043280591235,0.027283701030498993,0.028842207059481106,0.01274070992883736,0.013468487777429414,0.058565728529423274,0.06191113393841836,addition,0.8910951130753058,1.0,0.5529958482206594,0.8628537257038854,0.7675558871745124,0.7940112688107698,0.5077297134677725
200000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_200000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_200000.pt,0.10556817054748535,0.9837888479232788,0.8782206773757935,-0.0013954897649379057,0.148103877182267,0.0,0.05,29928263680.0,27835316224.0,0.06993215905801589,nan,0.1315753817897397,0.14146858215337083,0.020155057922825678,0.02167052398994869,0.3374579923508613,0.3628315803824798,0.11275290982734351,0.12123084174234959,0.3281265974197672,0.35279855450439734,a_only,0.3628315803824798,149135736832.0,137375006720.0,0.07885922122910319,nan,0.8011011342679387,0.8696837276922682,0.004662786470712571,0.0050619695139840935,0.026437735312506212,0.028701080568726032,0.020186597578495544,0.02191478039477835,0.0687526551704401,0.07463859789938943,addition,0.8696837276922682,1.0,0.0005822691364643112,0.0028680372031307665,0.18830553800037958,0.04362575613243291,0.027905307018255117
210000,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_210000.pt,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_210000.pt,0.5073224306106567,0.9636619687080383,0.4563395380973816,0.005585627680894277,0.039591239094373336,0.0,0.0,443836596224.0,427868618752.0,0.035977176843572205,nan,0.3442293576776004,0.3570759334433798,0.017403851421259407,0.018053359927471646,0.17499371346296422,0.1815244463838982,0.10814380267051207,0.11217970932292319,0.3192519456518353,0.33116636903471824,addition,0.3570759334433798,159837011968.0,150755573760.0,0.05681687313960886,nan,0.8600772657807346,0.9118878778097657,0.0028277863958723727,0.002998130793621942,0.01710775044110214,0.018138312526694338,0.01525911368068049,0.016178314838845,0.047911221973626225,0.05079736933767615,addition,0.9118878778097657,1.0,0.0005087234609678259,0.004153605041789663,0.12641263207936718,0.0821606124727152,0.03043047580260405
