step,branch,branch_step,train_loss,train_accuracy,test_loss,test_accuracy,hidden_parameter_norm,auxiliary_parameter_norm,unembedding_parameter_norm,hidden_gradient_norm,auxiliary_gradient_norm,unembedding_gradient_norm,muon_applied_update_norm,muon_max_abs_applied_update,auxiliary_frozen,generalization_collapse_detected,elapsed_post_branch_seconds
126200,freeze,126200,0.14509549736976624,0.9553524851799011,0.19480212032794952,0.9344445466995239,93.86367816750504,1.097518852290625,0.2729472517967224,nan,nan,nan,nan,nan,1,0,0.0
126300,freeze,126200,0.010743956081569195,0.9963446259498596,0.03195491060614586,0.9907148480415344,97.50270804155637,1.097518852290625,0.2729472517967224,0.5975689663439644,0.0,0.0,1.5917307836765546,0.01721637323498726,1,0,21.46143379100249
126400,freeze,126200,0.03765421360731125,0.9861618876457214,0.04965021833777428,0.9816534519195557,92.94922491131751,1.097518852290625,0.2729472517967224,5.708939206056909,0.0,0.0,1.421159416862375,0.01509009301662445,1,0,43.57510529100546
126500,freeze,126200,0.08205769956111908,0.9772846102714539,0.11443948745727539,0.960398256778717,90.4302082967641,1.097518852290625,0.2729472517967224,0.6182028021341112,0.0,0.0,1.6143323244622325,0.022890590131282806,1,0,65.56170304099214
126600,freeze,126200,0.3637823164463043,0.8874673843383789,0.4485305845737457,0.8635194301605225,92.75448343877505,1.097518852290625,0.2729472517967224,0.6393437390657581,0.0,0.0,1.6656124048947096,0.01622077450156212,1,1,87.57213533300092
126700,freeze,126200,0.005577620584517717,0.9994778037071228,0.03953481465578079,0.9891486763954163,95.0934956820674,1.097518852290625,0.2729472517967224,0.1305590909835032,0.0,0.0,1.7767242740397216,0.01713794842362404,1,0,109.63450937499874
126800,freeze,126200,0.018308192491531372,0.9953002333641052,0.058438073843717575,0.9806466102600098,95.58979811190382,1.097518852290625,0.2729472517967224,0.38923488367511416,0.0,0.0,1.4397140834468418,0.014998536556959152,1,0,131.6529657499923
126900,freeze,126200,0.03551468625664711,0.9916449189186096,0.06470049172639847,0.9809821844100952,92.49868564370718,1.097518852290625,0.2729472517967224,3.562233763535197,0.0,0.0,1.499301818946883,0.02016349881887436,1,0,153.65552166599082
127000,freeze,126200,0.008936481550335884,0.9966057538986206,0.02755379118025303,0.9917216897010803,94.1931818025723,1.097518852290625,0.2729472517967224,0.8025852988488283,0.0,0.0,1.6913849809541388,0.016156017780303955,1,0,175.65969445797964
127100,freeze,126200,0.0038032890297472477,0.9997389316558838,0.019546473398804665,0.9935115575790405,91.58841204672062,1.097518852290625,0.2729472517967224,0.1317232164130603,0.0,0.0,1.7339689782332632,0.015643225982785225,1,0,197.6536329999799
127200,freeze,126200,0.18617701530456543,0.9519582390785217,0.2370922863483429,0.9439534544944763,90.09038904145015,1.097518852290625,0.2729472517967224,0.7209425596767274,0.0,0.0,1.5188451763737372,0.016508040949702263,1,0,219.65766054100823
127300,freeze,126200,0.037790894508361816,0.9879895448684692,0.10865044593811035,0.9664391875267029,93.46215284215177,1.097518852290625,0.2729472517967224,0.41044748205315457,0.0,0.0,1.7226008704061058,0.015093056485056877,1,0,241.676041291008
127400,freeze,126200,0.02564053423702717,0.9932115077972412,0.06637784838676453,0.9784092307090759,95.78395294381745,1.097518852290625,0.2729472517967224,0.4076692962471942,0.0,0.0,1.4901097664343734,0.015044803731143475,1,0,263.6646359580045
127500,freeze,126200,0.014982582069933414,0.997650146484375,0.04002858325839043,0.9862400889396667,93.28003209929948,1.097518852290625,0.2729472517967224,0.1737181875683771,0.0,0.0,1.7036078738093294,0.01652364619076252,1,0,285.71689625
127600,freeze,126200,0.008132130838930607,0.9984334111213684,0.021345358341932297,0.9940709471702576,92.62671760830897,1.097518852290625,0.2729472517967224,9.765828132582591,0.0,0.0,1.427196310069458,0.01727009192109108,1,0,307.6924998750037
127700,freeze,126200,0.04732086881995201,0.9832898378372192,0.11571191996335983,0.9684528708457947,88.49552982486946,1.097518852290625,0.2729472517967224,1.1267355570642537,0.0,0.0,1.4569115242346256,0.015553940087556839,1,0,329.52829241598374
127800,freeze,126200,0.07330905646085739,0.9738903641700745,0.14977070689201355,0.9498825669288635,90.1778928696431,1.097518852290625,0.2729472517967224,1.4460716193284164,0.0,0.0,1.5259322797046861,0.016138697043061256,1,0,351.26436608299264
127900,freeze,126200,0.03322010114789009,0.9859007596969604,0.07936860620975494,0.9746056795120239,90.88281668197145,1.097518852290625,0.2729472517967224,0.9702951006498265,0.0,0.0,1.5223356487946944,0.019073486328125,1,0,373.2594928749895
