comparison_type,run,depth,regime,target_role,target_step,target_checkpoint,reference_role,reference_step,reference_checkpoint,hidden_source,readout_source,target_baseline_accuracy,reference_baseline_accuracy,readout_weight_cosine,full_hidden_spectral_power_cosine,intervention_accuracy
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,target_full,target_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,target_full,reference_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,reference_full,target_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,reference_full,reference_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,target_addition_only,target_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,target_addition_only,reference_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,reference_addition_only,target_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,reference_addition_only,reference_readout,1.0,1.0,1.0000003576278687,1.0000001192092896,1.0
within_run_reference,depth2_adamw,2,adamw,minimum_after_first_generalized,29000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_029000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,target_full,target_readout,0.1823948621749878,1.0,0.04060840606689453,0.9548317193984985,0.1823948621749878
within_run_reference,depth2_adamw,2,adamw,minimum_after_first_generalized,29000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_029000.pt,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,target_full,reference_readout,0.1823948621749878,1.0,0.04060840606689453,0.9548317193984985,0.021536534652113914
