run,depth,regime,role,step,checkpoint,baseline_full_accuracy,requested_addition_power_threshold,control,replicate,selected_pair_count,source_pairs,control_pairs,target_selected_power,control_native_power,scale_factor,context,intervention_accuracy
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,0,1,"(20,20)/(93,93)","(50,50)/(63,63)",48137040.0,18917.748046875,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,0,1,"(20,20)/(93,93)","(6,6)/(107,107)",48137040.0,48137040.0,1.0,addition_only,0.0
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,1,1,"(20,20)/(93,93)","(35,35)/(78,78)",48137040.0,0.571458101272583,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,1,1,"(20,20)/(93,93)","(50,50)/(63,63)",48137040.0,48137040.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,2,1,"(20,20)/(93,93)","(17,17)/(96,96)",48137040.0,0.3925616145133972,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,2,1,"(20,20)/(93,93)","(27,27)/(86,86)",48137040.0,48137040.0,1.0,addition_only,0.0
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,3,1,"(20,20)/(93,93)","(47,47)/(66,66)",48137040.0,19787.59765625,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,3,1,"(20,20)/(93,93)","(42,42)/(71,71)",48137040.0,48137040.0,1.0,addition_only,0.0
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,4,1,"(20,20)/(93,93)","(36,36)/(77,77)",48137040.0,1.1507856845855713,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,4,1,"(20,20)/(93,93)","(19,19)/(94,94)",48137040.0,48137040.0,1.0,addition_only,0.017699114978313446
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,5,1,"(20,20)/(93,93)","(6,6)/(107,107)",48137040.0,2893.16162109375,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,5,1,"(20,20)/(93,93)","(28,28)/(85,85)",48137040.0,48137040.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,6,1,"(20,20)/(93,93)","(15,15)/(98,98)",48137040.0,0.8047779202461243,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,6,1,"(20,20)/(93,93)","(50,50)/(63,63)",48137040.0,48137040.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,7,1,"(20,20)/(93,93)","(38,38)/(75,75)",48137040.0,680.035888671875,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,7,1,"(20,20)/(93,93)","(31,31)/(82,82)",48137040.0,48137040.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,8,1,"(20,20)/(93,93)","(10,10)/(103,103)",48137040.0,0.493891179561615,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,8,1,"(20,20)/(93,93)","(45,45)/(68,68)",48137040.0,48137040.0,1.0,addition_only,0.0
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,random_native_addition_subset,9,1,"(20,20)/(93,93)","(56,56)/(57,57)",48137040.0,60.47687911987305,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.5,equal_power_frequency_relocation,9,1,"(20,20)/(93,93)","(16,16)/(97,97)",48137040.0,48137040.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,0,2,"(20,20)/(93,93)|(44,44)/(69,69)","(37,37)/(76,76)|(13,13)/(100,100)",88267120.0,5542.846893310547,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,0,2,"(20,20)/(93,93)|(44,44)/(69,69)","(8,8)/(105,105)|(10,10)/(103,103)",88267120.0,88267120.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,1,2,"(20,20)/(93,93)|(44,44)/(69,69)","(29,29)/(84,84)|(12,12)/(101,101)",88267120.0,67.68747615814209,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,equal_power_frequency_relocation,1,2,"(20,20)/(93,93)|(44,44)/(69,69)","(14,14)/(99,99)|(3,3)/(110,110)",88267120.0,88267120.0,1.0,addition_only,0.008849557489156723
depth2_adamw,2,adamw,maximum_accuracy_reference,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,0.75,random_native_addition_subset,2,2,"(20,20)/(93,93)|(44,44)/(69,69)","(37,37)/(76,76)|(26,26)/(87,87)",88267120.0,149.365478515625,1.0,addition_only,0.008849557489156723
