study,run,depth,regime,role,step,checkpoint,baseline_full_accuracy,stage_name,stage_kind,layer,stage_order,activation_width,direct_readout_accuracy,addition_only_direct_readout_accuracy,nonaddition_only_direct_readout_accuracy,reference_frequency_set_direct_readout_accuracy,top_final_token_modes,top_mode_overlap_with_final,final_token_power_cosine_with_final,final_token_complex_cosine_with_final,all_token_total_power,all_token_non_dc_power,all_token_dc_power_fraction_total,all_token_dc_power_fraction_non_dc,all_token_addition_power_fraction_total,all_token_addition_power_fraction_non_dc,all_token_subtraction_power_fraction_total,all_token_subtraction_power_fraction_non_dc,all_token_a_only_power_fraction_total,all_token_a_only_power_fraction_non_dc,all_token_b_only_power_fraction_total,all_token_b_only_power_fraction_non_dc,all_token_generic_interaction_power_fraction_total,all_token_generic_interaction_power_fraction_non_dc,final_token_total_power,final_token_non_dc_power,final_token_dc_power_fraction_total,final_token_dc_power_fraction_non_dc,final_token_addition_power_fraction_total,final_token_addition_power_fraction_non_dc,final_token_subtraction_power_fraction_total,final_token_subtraction_power_fraction_non_dc,final_token_a_only_power_fraction_total,final_token_a_only_power_fraction_non_dc,final_token_b_only_power_fraction_total,final_token_b_only_power_fraction_non_dc,final_token_generic_interaction_power_fraction_total,final_token_generic_interaction_power_fraction_non_dc
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,input_residual,residual_state,0,0,128,0.008849557489156723,0.008849557489156723,0.008849557489156723,0.008849557489156723,"(0,23)/(0,90)|(23,0)/(90,0)|(45,0)/(68,0)|(0,45)/(0,68)|(36,0)/(77,0)|(0,36)/(0,77)|(0,54)/(0,59)|(54,0)/(59,0)|(5,0)/(108,0)|(0,5)/(0,108)",0.0,0.7862381339073181,0.1600111573934555,31530.80859375,11602.72265625,0.6320195198059082,nan,1.0248673821814427e-16,2.7851134166969e-16,1.0211226362867416e-16,2.7749368452312316e-16,0.1839902698993683,0.5000000596046448,0.1839902698993683,0.5000000596046448,1.3101064524412894e-14,3.560260403547358e-14,13212.7451171875,0.0,1.0,nan,1.8608506650805145e-29,nan,1.594883350879283e-29,nan,3.461232765244321e-14,nan,3.4860691265105326e-14,nan,1.1615805421614348e-27,nan
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_1_attention_output,attention_write,1,1,128,nan,nan,nan,nan,"(0,20)/(0,93)|(20,0)/(93,0)|(0,44)/(0,69)|(44,0)/(69,0)|(0,22)/(0,91)|(22,0)/(91,0)|(0,19)/(0,94)|(19,0)/(94,0)|(0,47)/(0,66)|(47,0)/(66,0)",0.6,0.795805037021637,0.21075771749019623,561146.8125,112779.1875,0.7990201711654663,nan,3.751176336663775e-06,1.866444290499203e-05,2.5382114472449757e-06,1.2629185221157968e-05,0.15670572221279144,0.7797086834907532,0.04426436126232147,0.22024279832839966,3.4802028494596016e-06,1.7316180674242787e-05,130158.203125,16280.703125,0.8749160170555115,nan,1.3547689377446659e-05,0.00010830876271938905,8.704178071639035e-06,6.958668382139876e-05,0.05968337133526802,0.4771464765071869,0.06536659598350525,0.5225818157196045,1.1860216545755975e-05,9.481804590905085e-05
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_1_post_attention,residual_state,1,2,128,0.008301354944705963,0.008849557489156723,0.008144725114107132,0.008849557489156723,"(0,20)/(0,93)|(20,0)/(93,0)|(0,44)/(0,69)|(44,0)/(69,0)|(0,22)/(0,91)|(22,0)/(91,0)|(0,19)/(0,94)|(19,0)/(94,0)|(0,47)/(0,66)|(47,0)/(66,0)",0.6,0.7928551435470581,0.21898850798606873,745179.6875,170656.6875,0.7709858417510986,nan,2.824769353537704e-06,1.2334475286479574e-05,1.911362687678775e-06,8.346046342921909e-06,0.16709637641906738,0.7296334505081177,0.061910394579172134,0.2703343629837036,2.620715804368956e-06,1.1443466974014882e-05,185938.078125,16280.703125,0.9124401807785034,nan,9.483496796747204e-06,0.00010830877727130428,6.09299422649201e-06,6.958665471756831e-05,0.04177885502576828,0.4771464467048645,0.04575716331601143,0.5225818157196045,8.302249625558034e-06,9.481803135713562e-05
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_1_mlp_activation,mlp_activation,1,3,512,nan,nan,nan,nan,"(0,20)/(0,93)|(20,0)/(93,0)|(0,44)/(0,69)|(44,0)/(69,0)|(0,22)/(0,91)|(22,0)/(91,0)|(0,19)/(0,94)|(19,0)/(94,0)|(0,25)/(0,88)|(0,47)/(0,66)",0.6,0.7930737137794495,nan,6237871.0,1414545.5,0.773232638835907,nan,4.792338950210251e-05,0.00021133283735252917,4.9344318540534005e-05,0.00021759886294603348,0.1661890596151352,0.7328615188598633,0.060182105749845505,0.26539140939712524,0.00029886813717894256,0.0013179504312574863,1617545.125,137909.125,0.9147416949272156,nan,9.90808621281758e-06,0.00011621259181993082,6.629881681874394e-06,7.776231359457597e-05,0.04057953506708145,0.47595998644828796,0.04465135186910629,0.5237186551094055,1.0802814358612522e-05,0.0001267069164896384
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_1_mlp_output,mlp_write,1,4,128,nan,nan,nan,nan,"(0,20)/(0,93)|(20,0)/(93,0)|(0,44)/(0,69)|(44,0)/(69,0)|(0,22)/(0,91)|(22,0)/(91,0)|(0,19)/(0,94)|(19,0)/(94,0)|(0,25)/(0,88)|(25,0)/(88,0)",0.6,0.7997334599494934,0.3759992718696594,20277888.0,7784954.0,0.6160865426063538,nan,1.6842679542605765e-05,4.387103035696782e-05,3.305438076495193e-05,8.609851647634059e-05,0.28122854232788086,0.7325311303138733,0.10252474993467331,0.26705172657966614,0.0001102843671105802,0.0002872635959647596,4785552.0,746441.25,0.8440219163894653,nan,1.6076899555628188e-05,0.00010307152115274221,1.0508672858122736e-05,6.737275543855503e-05,0.07459335774183273,0.47822970151901245,0.08134417235851288,0.5215102434158325,1.4024748452357017e-05,8.991486538434401e-05
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_1_post_block,residual_state,1,5,128,0.008771242573857307,0.008849557489156723,0.008692928589880466,0.008849557489156723,"(0,20)/(0,93)|(20,0)/(93,0)|(0,44)/(0,69)|(44,0)/(69,0)|(0,22)/(0,91)|(22,0)/(91,0)|(0,19)/(0,94)|(19,0)/(94,0)|(0,25)/(0,88)|(0,47)/(0,66)",0.6,0.7993422150611877,0.37025186419487,26322550.0,9716803.0,0.6308563351631165,nan,1.4248633306124248e-05,3.859915159409866e-05,2.6630843422026373e-05,7.214221841422841e-05,0.2705790400505066,0.7329911589622498,0.09843776375055313,0.26666519045829773,8.603123569628224e-05,0.000233056241995655,6133484.5,936058.5,0.8473855257034302,nan,1.5905714462860487e-05,0.0001042215371853672,1.0423368621559348e-05,6.829869380453601e-05,0.07294988632202148,0.47800111770629883,0.07962475717067719,0.5217379331588745,1.357988548988942e-05,8.898163650883362e-05
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_2_attention_output,attention_write,2,6,128,nan,nan,nan,nan,"(20,0)/(93,0)|(0,20)/(0,93)|(44,0)/(69,0)|(0,44)/(0,69)|(22,0)/(91,0)|(44,44)/(69,69)|(0,22)/(0,91)|(44,69)/(69,44)|(25,0)/(88,0)|(0,25)/(0,88)",0.8,0.34574493765830994,0.5470482110977173,173367136.0,166140080.0,0.041686441749334335,nan,0.00599983474239707,0.006260826252400875,0.001629116595722735,0.001699982793070376,0.7632721662521362,0.7964743375778198,0.186210498213768,0.19431062042713165,0.0012020462891086936,0.0012543350458145142,50134864.0,48001308.0,0.042556338012218475,nan,0.01105601154267788,0.011547427624464035,0.002855519065633416,0.002982440870255232,0.6188884973526001,0.646396815776825,0.322311669588089,0.3366377353668213,0.0023319951724261045,0.002435647416859865
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_2_post_attention,residual_state,2,7,128,0.020831702277064323,0.03539822995662689,0.010337536223232746,0.02654867246747017,"(20,0)/(93,0)|(0,20)/(0,93)|(44,0)/(69,0)|(0,44)/(0,69)|(22,0)/(91,0)|(0,22)/(0,91)|(44,44)/(69,69)|(44,69)/(69,44)|(25,0)/(88,0)|(0,25)/(0,88)",0.8,0.4583674669265747,0.6169098019599915,232660752.0,212292720.0,0.08754388242959976,nan,0.0044844793155789375,0.00491473451256752,0.0012262944364920259,0.0013439489994198084,0.7088643908500671,0.7768750786781311,0.19694551825523376,0.21584108471870422,0.0009354428621008992,0.0010251922067254782,60297796.0,54572072.0,0.09495740383863449,nan,0.009222615510225296,0.01019025593996048,0.002394073875620961,0.0026452611200511456,0.5565786361694336,0.614975094795227,0.33490148186683655,0.3700394928455353,0.0019458604510873556,0.002150020794942975
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_2_mlp_activation,mlp_activation,2,8,512,nan,nan,nan,nan,"(20,0)/(93,0)|(0,20)/(0,93)|(44,0)/(69,0)|(0,44)/(0,69)|(20,20)/(93,93)|(20,93)/(93,20)|(44,44)/(69,69)|(44,69)/(69,44)|(22,0)/(91,0)|(40,0)/(73,0)",0.8,0.8599021434783936,nan,823332928.0,506184256.0,0.38520100712776184,nan,0.04299246519804001,0.06992930173873901,0.03214132413268089,0.05227940157055855,0.4016512930393219,0.6533050537109375,0.13476164638996124,0.21919627487659454,0.0032521821558475494,0.005289830267429352,207574736.0,135331328.0,0.348035603761673,nan,0.08125484734773636,0.12463081628084183,0.05963872745633125,0.09147544205188751,0.26706770062446594,0.40963542461395264,0.23799100518226624,0.36503684520721436,0.006012279540300369,0.009221792221069336
main,depth2_adamw,2,adamw,first_generalized,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt,1.0,layer_2_mlp_output,mlp_write,2,9,128,nan,nan,nan,nan,"(20,20)/(93,93)|(44,44)/(69,69)|(22,22)/(91,91)|(20,0)/(93,0)|(44,0)/(69,0)|(0,20)/(0,93)|(44,69)/(69,44)|(0,44)/(0,69)|(25,0)/(88,0)|(20,93)/(93,20)",0.8,0.9533506631851196,0.8423017859458923,486700992.0,329123008.0,0.3237675428390503,nan,0.35647228360176086,0.5271445512771606,0.005825728643685579,0.008614979684352875,0.2985130846500397,0.4414355754852295,0.01259587425738573,0.018626544624567032,0.002825523726642132,0.004178332164883614,128454744.0,89161864.0,0.3058888912200928,nan,0.6436978578567505,0.927370011806488,0.009920687414705753,0.014292650856077671,0.01958887092769146,0.02822152152657509,0.016625866293907166,0.023952746763825417,0.004277938511222601,0.006163190118968487
