study,run,depth,regime,role,step,emergence_stage,emergence_stage_order,commitment_stage,commitment_stage_order,readout_ready_stage,readout_ready_stage_order
main,depth2_adamw,2,adamw,final,100000,,nan,layer_1_post_block,5.0,,nan
main,depth2_adamw,2,adamw,first_generalized,6000,layer_2_post_block,10.0,layer_2_post_block,10.0,layer_2_post_block,10.0
main,depth2_adamw,2,adamw,minimum_after_first_generalized,29000,,nan,layer_2_post_block,10.0,,nan
main,depth2_muon,2,muon,final,100000,layer_2_post_block,10.0,layer_2_post_block,10.0,,nan
main,depth2_muon,2,muon,first_generalized,2000,layer_2_post_block,10.0,layer_2_post_block,10.0,layer_2_post_block,10.0
main,depth2_muon,2,muon,maximum_accuracy,83000,layer_1_post_block,5.0,layer_1_post_block,5.0,layer_2_post_block,10.0
main,depth2_muon,2,muon,minimum_after_first_generalized,75000,layer_2_post_block,10.0,layer_1_post_block,5.0,,nan
main,depth2_stable_muon,2,stable_muon,final,100000,layer_2_post_block,10.0,layer_2_post_block,10.0,layer_2_post_block,10.0
main,depth2_stable_muon,2,stable_muon,first_generalized,2000,layer_2_post_block,10.0,layer_2_post_block,10.0,layer_2_post_block,10.0
main,depth2_stable_muon,2,stable_muon,maximum_accuracy,29000,layer_2_post_block,10.0,layer_2_post_block,10.0,layer_2_post_block,10.0
main,depth4_adamw,4,adamw,best_available,25000,,nan,layer_2_post_attention,7.0,,nan
main,depth4_adamw,4,adamw,final,300000,,nan,input_residual,0.0,,nan
main,depth4_adamw,4,adamw,minimum_after_best,50000,,nan,input_residual,0.0,,nan
main,depth4_muon,4,muon,final,300000,layer_4_post_block,20.0,layer_4_post_block,20.0,,nan
main,depth4_muon,4,muon,first_generalized,50000,layer_3_post_block,15.0,layer_3_post_block,15.0,layer_4_post_block,20.0
main,depth4_muon,4,muon,maximum_accuracy,53000,layer_3_post_block,15.0,layer_3_post_block,15.0,layer_4_post_block,20.0
main,depth4_muon,4,muon,minimum_after_first_generalized,105000,,nan,layer_4_post_block,20.0,,nan
main,depth4_stable_muon_observed,4,stable_muon,final,300000,layer_4_post_block,20.0,layer_4_post_block,20.0,layer_4_post_block,20.0
main,depth4_stable_muon_observed,4,stable_muon,first_generalized,25000,layer_4_post_block,20.0,layer_3_post_block,15.0,layer_4_post_block,20.0
main,depth4_stable_muon_observed,4,stable_muon,maximum_accuracy,115000,layer_4_post_block,20.0,layer_4_post_block,20.0,layer_4_post_block,20.0
main,depth4_stable_muon_observed,4,stable_muon,minimum_after_first_generalized,75000,,nan,layer_3_post_block,15.0,,nan
