run,depth,regime,step,checkpoint,stage_name,stage_kind,layer,stage_order,activation_width,sum_explained_variance,direct_readout_train_accuracy,direct_readout_test_accuracy,direct_readout_full_accuracy,total_spectral_power,non_dc_spectral_power,dc_power_fraction_total,dc_power_fraction_non_dc,addition_power_fraction_total,addition_power_fraction_non_dc,subtraction_power_fraction_total,subtraction_power_fraction_non_dc,a_only_power_fraction_total,a_only_power_fraction_non_dc,b_only_power_fraction_total,b_only_power_fraction_non_dc,generic_interaction_power_fraction_total,generic_interaction_power_fraction_non_dc,dominant_non_dc_family,dominant_non_dc_family_fraction,top_1_non_dc_pair_power_fraction,top_5_non_dc_pair_power_fraction,top_10_non_dc_pair_power_fraction,top_20_non_dc_pair_power_fraction,normalized_non_dc_pair_entropy,effective_non_dc_pair_count,top_non_dc_mode_pairs
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,input_residual,input_residual,0,0,128,-3.240668296813965,0.009921670891344547,0.008390200324356556,0.008849557489156723,3389664.25,0.0,1.0,nan,1.5924176502803556e-29,0.0,1.4136771101933235e-29,0.0,3.341999229446493e-14,0.0,3.339825466021448e-14,0.0,1.1227039394817556e-27,0.0,addition,0.0,0.0,0.0,0.0,0.0,0.5176745759723131,93.28242815962025,"(0,23)/(0,90):b_only|(45,0)/(68,0):a_only|(0,45)/(0,68):b_only|(23,0)/(90,0):a_only|(5,0)/(108,0):a_only|(0,5)/(0,108):b_only|(36,0)/(77,0):a_only|(0,54)/(0,59):b_only|(54,0)/(59,0):a_only|(0,6)/(0,107):b_only|(0,36)/(0,77):b_only|(0,11)/(0,102):b_only|(27,0)/(86,0):a_only|(6,0)/(107,0):a_only|(11,0)/(102,0):a_only|(9,0)/(104,0):a_only|(0,9)/(0,104):b_only|(56,0)/(57,0):a_only|(0,35)/(0,78):b_only|(0,27)/(0,86):b_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_1_attention_output,attention_output,1,1,128,0.00026047229766845703,nan,nan,nan,163944.8125,56600.296875,0.6547600621703111,nan,8.993314694921217e-05,0.0002604946215509322,5.072327514447447e-05,0.00014692180592819156,0.21062682773967,0.6100882448993339,0.12940597007300855,0.37482908520521785,0.005066365299493884,0.014674910820987302,a_only,0.6100882448993339,0.014631308655555859,0.06905220180561664,0.13291660752973358,0.2512005250324438,0.549800738478546,123.60694548761313,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(41,0)/(72,0):a_only|(12,0)/(101,0):a_only|(26,0)/(87,0):a_only|(55,0)/(58,0):a_only|(14,0)/(99,0):a_only|(7,0)/(106,0):a_only|(13,0)/(100,0):a_only|(48,0)/(65,0):a_only|(6,0)/(107,0):a_only|(23,0)/(90,0):a_only|(35,0)/(78,0):a_only|(27,0)/(86,0):a_only|(43,0)/(70,0):a_only|(25,0)/(88,0):a_only|(34,0)/(79,0):a_only|(1,0)/(112,0):a_only|(10,0)/(103,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_1_post_attention_residual,post_attention_residual,1,2,128,0.00026047229766845703,0.009399477392435074,0.00827833078801632,0.008614613674581051,3533681.25,56600.0,0.9839827092497377,nan,4.172440516945938e-06,0.00026049602158078033,2.3533016264403523e-06,0.00014692257655383,0.009772010951751803,0.6100913758833922,0.006003778482602244,0.37483108574425794,0.0002350535462365292,0.01467498779296875,a_only,0.6100913758833922,0.014631384320478136,0.06905256507253478,0.13291731116628477,0.2512018533982995,0.5498007382165384,123.6069452038619,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(41,0)/(72,0):a_only|(12,0)/(101,0):a_only|(26,0)/(87,0):a_only|(55,0)/(58,0):a_only|(14,0)/(99,0):a_only|(7,0)/(106,0):a_only|(13,0)/(100,0):a_only|(48,0)/(65,0):a_only|(6,0)/(107,0):a_only|(23,0)/(90,0):a_only|(35,0)/(78,0):a_only|(27,0)/(86,0):a_only|(43,0)/(70,0):a_only|(25,0)/(88,0):a_only|(34,0)/(79,0):a_only|(1,0)/(112,0):a_only|(10,0)/(103,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_1_mlp_activation,mlp_activation,1,3,512,0.0003820061683654785,nan,nan,nan,2517406.25,40719.75,0.9838247203843241,nan,6.176924574393946e-06,0.0003818743614427375,3.9876443513986995e-06,0.0002465270737906859,0.009853325130032151,0.6091594930132184,0.005920308756532641,0.3660096701385691,0.000391629456665777,0.024211603506763456,a_only,0.6091594930132184,0.014873678394889765,0.06942542530133565,0.1345848724419757,0.2529882048656518,0.55829681685938,133.15921978097572,"(47,0)/(66,0):a_only|(51,0)/(62,0):a_only|(18,0)/(95,0):a_only|(1,0)/(112,0):a_only|(7,0)/(106,0):a_only|(48,0)/(65,0):a_only|(41,0)/(72,0):a_only|(14,0)/(99,0):a_only|(12,0)/(101,0):a_only|(34,0)/(79,0):a_only|(6,0)/(107,0):a_only|(5,0)/(108,0):a_only|(29,0)/(84,0):a_only|(23,0)/(90,0):a_only|(55,0)/(58,0):a_only|(13,0)/(100,0):a_only|(26,0)/(87,0):a_only|(31,0)/(82,0):a_only|(10,0)/(103,0):a_only|(11,0)/(102,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_1_mlp_output,mlp_output,1,4,128,0.00038242340087890625,nan,nan,nan,172003.421875,3380.171875,0.980348228900606,nan,7.515358559874672e-06,0.0003824265264369184,4.748500845726753e-06,0.00024163220819690804,0.012018843602221213,0.6115908607642918,0.007146031353936545,0.3636329426896746,0.00047472240010225543,0.024156723467886016,a_only,0.6115908607642918,0.015690520301138648,0.07398629439485961,0.13998756828547745,0.2602181627741459,0.5575064948010547,132.24035090950034,"(48,0)/(65,0):a_only|(7,0)/(106,0):a_only|(34,0)/(79,0):a_only|(41,0)/(72,0):a_only|(14,0)/(99,0):a_only|(6,0)/(107,0):a_only|(55,0)/(58,0):a_only|(52,0)/(61,0):a_only|(1,0)/(112,0):a_only|(51,0)/(62,0):a_only|(29,0)/(84,0):a_only|(25,0)/(88,0):a_only|(2,0)/(111,0):a_only|(47,0)/(66,0):a_only|(35,0)/(78,0):a_only|(11,0)/(102,0):a_only|(32,0)/(81,0):a_only|(38,0)/(75,0):a_only|(12,0)/(101,0):a_only|(31,0)/(82,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_1_post_block_residual,post_block_residual,1,5,128,0.0002689957618713379,0.007571801543235779,0.008390200324356556,0.008144725114107132,3763864.0,59353.5,0.9842307001528217,nan,4.241491571007859e-06,0.0002689714579665887,2.439559683325413e-06,0.00015470310711112104,0.009616052977737771,0.6097958102723513,0.005906336276862023,0.3745465134217022,0.00024059316078461855,0.015257060434910114,a_only,0.6097958102723513,0.014644362216752698,0.06902862227217013,0.13314018238907036,0.2517029758259175,0.5503597863230488,124.21387303673757,"(51,0)/(62,0):a_only|(47,0)/(66,0):a_only|(18,0)/(95,0):a_only|(14,0)/(99,0):a_only|(55,0)/(58,0):a_only|(41,0)/(72,0):a_only|(7,0)/(106,0):a_only|(12,0)/(101,0):a_only|(6,0)/(107,0):a_only|(26,0)/(87,0):a_only|(23,0)/(90,0):a_only|(25,0)/(88,0):a_only|(48,0)/(65,0):a_only|(27,0)/(86,0):a_only|(1,0)/(112,0):a_only|(35,0)/(78,0):a_only|(32,0)/(81,0):a_only|(13,0)/(100,0):a_only|(11,0)/(102,0):a_only|(10,0)/(103,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_2_attention_output,attention_output,2,6,128,0.0004628896713256836,nan,nan,nan,250743.828125,68018.28125,0.7287339761914629,nan,0.00012555849212000795,0.00046286110717879157,7.779277314667827e-05,0.0002867766926888911,0.140040943804387,0.5162494802638078,0.12330724740545396,0.45456207775023716,0.00771457212774118,0.02843913889188798,a_only,0.5162494802638078,0.013540644303461614,0.06579533833246806,0.12285291523188849,0.22740030989629395,0.5646771624618667,140.81504213053108,"(5,0)/(108,0):a_only|(41,0)/(72,0):a_only|(27,0)/(86,0):a_only|(0,27)/(0,86):b_only|(39,0)/(74,0):a_only|(30,0)/(83,0):a_only|(7,0)/(106,0):a_only|(43,0)/(70,0):a_only|(51,0)/(62,0):a_only|(55,0)/(58,0):a_only|(28,0)/(85,0):a_only|(26,0)/(87,0):a_only|(4,0)/(109,0):a_only|(0,43)/(0,70):b_only|(8,0)/(105,0):a_only|(33,0)/(80,0):a_only|(23,0)/(90,0):a_only|(0,8)/(0,105):b_only|(6,0)/(107,0):a_only|(0,33)/(0,80):b_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_2_post_attention_residual,post_attention_residual,2,7,128,0.0003764033317565918,0.01044386439025402,0.008949547074735165,0.009397760033607483,4064165.5,126416.0,0.9688949674908662,nan,1.170832438385731e-05,0.0003764125429034429,7.1857221939899935e-06,0.00023101477845682855,0.017422799495985093,0.5601279950718263,0.012964579152226945,0.41680005151642197,0.0006987072414335428,0.022462835916611624,a_only,0.5601279950718263,0.013812854159951074,0.06548593026477315,0.12574666675895457,0.2347140720774442,0.5589050610417757,133.8707410438572,"(41,0)/(72,0):a_only|(5,0)/(108,0):a_only|(7,0)/(106,0):a_only|(27,0)/(86,0):a_only|(55,0)/(58,0):a_only|(14,0)/(99,0):a_only|(51,0)/(62,0):a_only|(6,0)/(107,0):a_only|(43,0)/(70,0):a_only|(25,0)/(88,0):a_only|(26,0)/(87,0):a_only|(23,0)/(90,0):a_only|(30,0)/(83,0):a_only|(39,0)/(74,0):a_only|(0,27)/(0,86):b_only|(8,0)/(105,0):a_only|(47,0)/(66,0):a_only|(13,0)/(100,0):a_only|(29,0)/(84,0):a_only|(1,0)/(112,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_2_mlp_activation,mlp_activation,2,8,512,0.0005500912666320801,nan,nan,nan,2866575.5,81467.75,0.9715801136233809,nan,1.563689125795595e-05,0.0005502094924214883,1.0586876776399267e-05,0.0003725165060867045,0.01553892713186867,0.5467624650551905,0.011819348448174486,0.4158830296344259,0.0010352001864899424,0.036425204969911404,a_only,0.5467624650551905,0.013467222147529236,0.06313815153273841,0.1202698065758287,0.227093862157351,0.5713579832302935,149.30357024150396,"(55,0)/(58,0):a_only|(41,0)/(72,0):a_only|(5,0)/(108,0):a_only|(7,0)/(106,0):a_only|(25,0)/(88,0):a_only|(6,0)/(107,0):a_only|(27,0)/(86,0):a_only|(30,0)/(83,0):a_only|(39,0)/(74,0):a_only|(0,13)/(0,100):b_only|(43,0)/(70,0):a_only|(51,0)/(62,0):a_only|(8,0)/(105,0):a_only|(31,0)/(82,0):a_only|(14,0)/(99,0):a_only|(23,0)/(90,0):a_only|(29,0)/(84,0):a_only|(47,0)/(66,0):a_only|(0,27)/(0,86):b_only|(13,0)/(100,0):a_only"
depth2_adamw,2,adamw,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt,layer_2_mlp_output,mlp_output,2,9,128,0.0005531907081604004,nan,nan,nan,193925.828125,6947.421875,0.9641748500332722,nan,1.9820599428687317e-05,0.0005532593568232229,1.3676780816447507e-05,0.0003817647889583064,0.01967228726825567,0.5491194673721143,0.014838435581403424,0.41419046661868725,0.0012810960998458415,0.03575968561291846,a_only,0.5491194673721143,0.013288634041123619,0.06367568452389319,0.12395607294993366,0.23793024997856388,0.5704525433529394,148.12382221709757,"(27,0)/(86,0):a_only|(30,0)/(83,0):a_only|(55,0)/(58,0):a_only|(0,13)/(0,100):b_only|(18,0)/(95,0):a_only|(6,0)/(107,0):a_only|(7,0)/(106,0):a_only|(41,0)/(72,0):a_only|(32,0)/(81,0):a_only|(25,0)/(88,0):a_only|(0,27)/(0,86):b_only|(31,0)/(82,0):a_only|(20,0)/(93,0):a_only|(23,0)/(90,0):a_only|(51,0)/(62,0):a_only|(39,0)/(74,0):a_only|(5,0)/(108,0):a_only|(22,0)/(91,0):a_only|(29,0)/(84,0):a_only|(47,0)/(66,0):a_only"
