run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
depth2_adamw,2,adamw,regular_stride,0,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt
depth2_adamw,2,adamw,regular_stride,25000,25000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_025000.pt
depth2_adamw,2,adamw,regular_stride,50000,50000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_050000.pt
depth2_adamw,2,adamw,regular_stride,75000,75000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_075000.pt
depth2_adamw,2,adamw,regular_stride,100000,100000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_100000.pt
depth2_adamw,2,adamw,initial,0,0,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_000000.pt
depth2_adamw,2,adamw,final,100000,100000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_100000.pt
depth2_adamw,2,adamw,maximum_test_accuracy,5300,5000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_005000.pt
depth2_adamw,2,adamw,grokking_before,5100,5000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_005000.pt
depth2_adamw,2,adamw,grokking_after,5100,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt
depth2_adamw,2,adamw,minimum_post_grokking_accuracy,32400,32000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_032000.pt
depth2_adamw,2,adamw,first_post_grokking_below_90_before,29000,29000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_029000.pt
depth2_adamw,2,adamw,first_post_grokking_below_90_after,29000,29000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_029000.pt
depth2_adamw,2,adamw,first_99_before,5100,5000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_005000.pt
depth2_adamw,2,adamw,first_99_after,5100,6000,checkpoints/depth_sweep_v2_depth_2_adamw_seed_0/step_006000.pt
depth2_muon,2,muon,regular_stride,0,0,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_000000.pt
depth2_muon,2,muon,regular_stride,25000,25000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_025000.pt
depth2_muon,2,muon,regular_stride,50000,50000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_050000.pt
depth2_muon,2,muon,regular_stride,75000,75000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_075000.pt
depth2_muon,2,muon,regular_stride,100000,100000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_100000.pt
depth2_muon,2,muon,initial,0,0,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_000000.pt
depth2_muon,2,muon,final,100000,100000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_100000.pt
depth2_muon,2,muon,maximum_test_accuracy,83500,83000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_083000.pt
depth2_muon,2,muon,grokking_before,2300,2000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_002000.pt
depth2_muon,2,muon,grokking_after,2300,3000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_003000.pt
depth2_muon,2,muon,minimum_post_grokking_accuracy,66700,67000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_067000.pt
depth2_muon,2,muon,first_post_grokking_below_90_before,9800,9000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_009000.pt
depth2_muon,2,muon,first_post_grokking_below_90_after,9800,10000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_010000.pt
depth2_muon,2,muon,first_99_before,4300,4000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_004000.pt
depth2_muon,2,muon,first_99_after,4300,5000,checkpoints/depth_sweep_v2_depth_2_muon_seed_0/step_005000.pt
depth2_stable_muon,2,stable_muon,regular_stride,0,0,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_000000.pt
depth2_stable_muon,2,stable_muon,regular_stride,25000,25000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_025000.pt
depth2_stable_muon,2,stable_muon,regular_stride,50000,50000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_050000.pt
depth2_stable_muon,2,stable_muon,regular_stride,75000,75000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_075000.pt
depth2_stable_muon,2,stable_muon,regular_stride,100000,100000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_100000.pt
depth2_stable_muon,2,stable_muon,initial,0,0,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_000000.pt
depth2_stable_muon,2,stable_muon,final,100000,100000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_100000.pt
depth2_stable_muon,2,stable_muon,maximum_test_accuracy,72300,72000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_072000.pt
depth2_stable_muon,2,stable_muon,grokking_before,2300,2000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_002000.pt
depth2_stable_muon,2,stable_muon,grokking_after,2300,3000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_003000.pt
depth2_stable_muon,2,stable_muon,minimum_post_grokking_accuracy,6300,6000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_006000.pt
depth2_stable_muon,2,stable_muon,first_99_before,29000,29000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_029000.pt
depth2_stable_muon,2,stable_muon,first_99_after,29000,29000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_029000.pt
depth2_stable_muon,2,stable_muon,freeze_before,4400,4000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_004000.pt
depth2_stable_muon,2,stable_muon,freeze_after,4400,5000,checkpoints/depth_sweep_v2_depth_2_stable_muon_seed_0/step_005000.pt
depth4_adamw,4,adamw,regular_stride,0,0,checkpoints/depth_sweep_v2_depth_4_adamw_seed_0/step_000000.pt
depth4_adamw,4,adamw,regular_stride,25000,25000,checkpoints/depth_sweep_v2_depth_4_adamw_seed_0/step_025000.pt
depth4_adamw,4,adamw,regular_stride,50000,50000,checkpoints/depth_sweep_v2_depth_4_adamw_seed_0/step_050000.pt
depth4_adamw,4,adamw,regular_stride,75000,75000,checkpoints/depth_sweep_v2_depth_4_adamw_seed_0/step_075000.pt
depth4_adamw,4,adamw,regular_stride,100000,100000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_100000.pt
depth4_adamw,4,adamw,regular_stride,125000,125000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_125000.pt
depth4_adamw,4,adamw,regular_stride,150000,150000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_150000.pt
depth4_adamw,4,adamw,regular_stride,175000,175000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_175000.pt
depth4_adamw,4,adamw,regular_stride,200000,200000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_200000.pt
depth4_adamw,4,adamw,regular_stride,225000,225000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_225000.pt
depth4_adamw,4,adamw,regular_stride,250000,250000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_250000.pt
depth4_adamw,4,adamw,regular_stride,275000,275000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_275000.pt
depth4_adamw,4,adamw,regular_stride,300000,300000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_300000.pt
depth4_adamw,4,adamw,initial,0,0,checkpoints/depth_sweep_v2_depth_4_adamw_seed_0/step_000000.pt
depth4_adamw,4,adamw,final,300000,300000,checkpoints/depth_sweep_v3_depth_4_adamw_seed_0_to_300k/step_300000.pt
depth4_adamw,4,adamw,maximum_test_accuracy,55700,56000,checkpoints/depth_sweep_v2_depth_4_adamw_seed_0/step_056000.pt
depth4_muon,4,muon,regular_stride,0,0,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_000000.pt
depth4_muon,4,muon,regular_stride,25000,25000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_025000.pt
depth4_muon,4,muon,regular_stride,50000,50000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_050000.pt
depth4_muon,4,muon,regular_stride,75000,75000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_075000.pt
depth4_muon,4,muon,regular_stride,100000,100000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_100000.pt
depth4_muon,4,muon,regular_stride,125000,125000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_125000.pt
depth4_muon,4,muon,regular_stride,150000,150000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_150000.pt
depth4_muon,4,muon,regular_stride,175000,175000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_175000.pt
depth4_muon,4,muon,regular_stride,200000,200000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_200000.pt
depth4_muon,4,muon,regular_stride,225000,225000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_225000.pt
depth4_muon,4,muon,regular_stride,250000,250000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_250000.pt
depth4_muon,4,muon,regular_stride,275000,275000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_275000.pt
depth4_muon,4,muon,regular_stride,300000,300000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_300000.pt
depth4_muon,4,muon,initial,0,0,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_000000.pt
depth4_muon,4,muon,final,300000,300000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_300000.pt
depth4_muon,4,muon,maximum_test_accuracy,52900,53000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_053000.pt
depth4_muon,4,muon,grokking_before,52600,52000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_052000.pt
depth4_muon,4,muon,grokking_after,52600,53000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_053000.pt
depth4_muon,4,muon,minimum_post_grokking_accuracy,104500,105000,checkpoints/depth_sweep_v3_depth_4_muon_seed_0_to_300k/step_105000.pt
depth4_muon,4,muon,first_post_grokking_below_90_before,54300,54000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_054000.pt
depth4_muon,4,muon,first_post_grokking_below_90_after,54300,55000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_055000.pt
depth4_muon,4,muon,first_99_before,52800,52000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_052000.pt
depth4_muon,4,muon,first_99_after,52800,53000,checkpoints/depth_sweep_v2_depth_4_muon_seed_0/step_053000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,0,0,checkpoints/depth_sweep_v2_depth_4_stable_muon_seed_0/step_000000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,25000,25000,checkpoints/depth_sweep_v2_depth_4_stable_muon_seed_0/step_025000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,50000,50000,checkpoints/depth_sweep_v2_depth_4_stable_muon_seed_0/step_050000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,75000,75000,checkpoints/depth_sweep_v2_depth_4_stable_muon_seed_0/step_075000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,100000,100000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_100000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,125000,125000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_125000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,150000,150000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_150000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,175000,175000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_175000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,200000,200000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_200000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,225000,225000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_225000.pt
depth4_stable_muon_observed,4,stable_muon,regular_stride,250000,250000,checkpoints/depth_sweep_v3_depth_4_stable_muon_seed_0_to_300k/step_250000.pt
